group_1	group_2	U_statistic	p_value	n1	n2	p_adj_FDR_BH	significant_FDR_0.05
Sterol	Polyketide	8986142.0	0.03248387627575202	6783	2576	0.034982635989271406	True
Sterol	Prenol	39009664.5	4.824974432025933e-297	6783	16586	3.377482102418153e-296	True
Sterol	Saccharolipid	660117.0	5.1451093947626926e-36	6783	329	9.604204203557026e-36	True
Sterol	Sphingolipid	448837.5	1.1158452665714706e-24	6783	222	1.735759303555621e-24	True
Sterol	Fatty Acyl	122959757.0	3.414170532744858e-264	6783	28530	1.9119354983371203e-263	True
Sterol	Glycerophospholipid	79977414.0	8.094063959247758e-118	6783	28752	2.266337908589372e-117	True
Sterol	Glycerolipid	22781412.0	3.392905983819388e-23	6783	7432	5.000071976154887e-23	True
Polyketide	Prenol	14574852.5	6.844448381115428e-149	2576	16586	2.3955569333904e-148	True
Polyketide	Saccharolipid	198952.0	1.7230434621023237e-55	2576	329	3.711170533758851e-55	True
Polyketide	Sphingolipid	165245.5	1.465662410320443e-25	2576	222	2.414032205233671e-25	True
Polyketide	Fatty Acyl	47486540.5	9.830566647358459e-134	2576	28530	3.0583985125115204e-133	True
Polyketide	Glycerophospholipid	29549955.0	6.04846373073915e-65	2576	28752	1.411308203839135e-64	True
Polyketide	Glycerolipid	8487250.5	8.86310499641041e-18	2576	7432	1.2408346994974573e-17	True
Prenol	Saccharolipid	2874213.0	0.09638867609030534	16586	329	0.09995862705661294	False
Prenol	Sphingolipid	1831625.0	0.8956340359081889	16586	222	0.8956340359081889	False
Prenol	Fatty Acyl	349494123.0	0.0	16586	28530	0.0	True
Prenol	Glycerophospholipid	277715953.0	3.138961641769879e-188	16586	28752	1.2555846567079516e-187	True
Prenol	Glycerolipid	76248560.5	2.678624942590706e-190	16586	7432	1.250024973208996e-189	True
Saccharolipid	Sphingolipid	30182.0	0.000545967239825054	329	222	0.0006114833086040604	True
Saccharolipid	Fatty Acyl	7500193.5	6.388041071706445e-78	329	28530	1.6260468182525499e-77	True
Saccharolipid	Glycerophospholipid	5256201.0	0.0005057709442834791	329	28752	0.000590066101664059	True
Saccharolipid	Glycerolipid	1478446.5	1.238498831984423e-10	329	7432	1.5762712407074475e-10	True
Sphingolipid	Fatty Acyl	4894861.5	1.0190683123850005e-44	222	28530	2.038136624770001e-44	True
Sphingolipid	Glycerophospholipid	3878599.0	3.104143561193928e-08	222	28752	3.778957378844782e-08	True
Sphingolipid	Glycerolipid	1074875.5	1.3178246370666875e-14	222	7432	1.7570995160889168e-14	True
Fatty Acyl	Glycerophospholipid	258502287.0	0.0	28530	28752	0.0	True
Fatty Acyl	Glycerolipid	73385976.5	0.0	28530	7432	0.0	True
Glycerophospholipid	Glycerolipid	115647408.5	5.320214974676174e-28	28752	7432	9.310376205683305e-28	True
