class	as_max_dst
Sterol	20.84
Sterol	14.12
Sterol	11.05
Sterol	-1.0
Sterol	10.91
Sterol	20.43
Sterol	17.81
Sterol	15.39
Sterol	18.27
Sterol	5.7
Sterol	-1.0
Sterol	20.8
Sterol	22.26
Sterol	15.27
Sterol	15.42
Sterol	20.83
Sterol	17.02
Sterol	15.5
Sterol	22.96
Sterol	18.91
Sterol	15.27
Sterol	18.06
Sterol	14.32
Sterol	12.63
Sterol	15.25
Sterol	13.07
Sterol	9.93
Sterol	12.79
Sterol	19.72
Sterol	17.0
Sterol	16.47
Sterol	16.97
Sterol	12.63
Sterol	21.2
Sterol	15.42
Sterol	13.07
Sterol	16.64
Sterol	12.45
Sterol	24.91
Sterol	17.54
Sterol	14.8
Sterol	14.77
Sterol	12.84
Sterol	16.58
Sterol	14.56
Sterol	12.34
Sterol	14.56
Sterol	12.64
Sterol	15.6
Sterol	10.93
Sterol	11.47
Sterol	17.2
Sterol	14.63
Sterol	21.77
Sterol	3.94
Sterol	-1.0
Sterol	15.4
Sterol	11.81
Sterol	-1.0
Sterol	16.45
Sterol	16.36
Sterol	21.61
Sterol	16.49
Sterol	18.89
Sterol	9.84
Sterol	8.43
Sterol	13.69
Sterol	12.54
Sterol	15.97
Sterol	13.93
Sterol	12.6
Sterol	11.27
Sterol	7.47
Sterol	5.28
Sterol	2.74
Sterol	11.81
Sterol	13.78
Sterol	18.49
Sterol	14.98
Sterol	17.58
Sterol	6.07
Sterol	14.63
Sterol	20.15
Sterol	18.3
Sterol	24.08
Sterol	5.06
Sterol	11.01
Sterol	16.02
Sterol	12.16
Sterol	1.08
Sterol	15.92
Sterol	15.74
Sterol	16.42
Sterol	9.98
Sterol	22.55
Sterol	11.1
Sterol	10.61
Sterol	14.55
Sterol	18.26
Sterol	12.75
Sterol	-1.0
Sterol	9.29
Sterol	16.82
Sterol	17.58
Sterol	15.65
Sterol	17.93
Sterol	15.05
Sterol	20.63
Sterol	18.23
Sterol	13.9
Sterol	8.99
Sterol	25.36
Sterol	11.29
Sterol	15.44
Sterol	17.24
Sterol	19.89
Sterol	24.02
Sterol	11.61
Sterol	4.32
Sterol	5.24
Sterol	17.16
Sterol	-1.0
Sterol	21.38
Sterol	12.01
Sterol	13.7
Sterol	19.94
Sterol	19.49
Sterol	-1.0
Sterol	23.7
Sterol	10.4
Sterol	16.75
Sterol	21.81
Sterol	21.03
Sterol	21.7
Sterol	-1.0
Sterol	21.24
Sterol	18.11
Sterol	11.09
Sterol	17.12
Sterol	10.7
Sterol	17.51
Sterol	16.72
Sterol	18.36
Sterol	17.68
Sterol	-1.0
Sterol	18.85
Sterol	17.5
Sterol	10.26
Sterol	16.74
Sterol	11.78
Sterol	15.54
Sterol	10.45
Sterol	11.92
Sterol	22.03
Sterol	14.39
Sterol	13.12
Sterol	-1.0
Sterol	14.01
Sterol	20.3
Sterol	17.86
Sterol	14.89
Sterol	6.42
Sterol	21.26
Sterol	-1.0
Sterol	15.92
Sterol	19.4
Sterol	19.35
Sterol	16.72
Sterol	-1.0
Sterol	17.24
Sterol	13.56
Sterol	14.89
Sterol	15.37
Sterol	16.45
Sterol	13.84
Sterol	14.05
Sterol	8.47
Sterol	18.09
Sterol	20.87
Sterol	10.1
Sterol	14.42
Sterol	12.06
Sterol	7.68
Sterol	6.37
Sterol	20.29
Sterol	18.24
Sterol	4.37
Sterol	18.99
Sterol	14.94
Sterol	15.13
Sterol	19.66
Sterol	20.49
Sterol	11.75
Sterol	13.63
Sterol	13.05
Sterol	16.44
Sterol	18.42
Sterol	18.17
Sterol	2.43
Sterol	17.22
Sterol	13.58
Sterol	16.85
Sterol	12.4
Sterol	17.91
Sterol	6.3
Sterol	18.88
Sterol	22.18
Sterol	-1.0
Sterol	14.7
Sterol	11.93
Sterol	12.26
Sterol	7.21
Sterol	17.65
Sterol	1.44
Sterol	14.96
Sterol	15.95
Sterol	7.7
Sterol	19.89
Sterol	7.88
Sterol	13.37
Sterol	17.74
Sterol	18.83
Sterol	11.33
Sterol	8.22
Sterol	11.39
Sterol	5.97
Sterol	6.23
Sterol	13.27
Sterol	15.97
Sterol	24.49
Sterol	13.77
Sterol	12.82
Sterol	18.02
Sterol	12.65
Sterol	8.63
Sterol	9.25
Sterol	15.91
Sterol	10.48
Sterol	17.48
Sterol	21.48
Sterol	11.51
Sterol	17.88
Sterol	15.86
Sterol	20.14
Sterol	15.43
Sterol	11.64
Sterol	13.34
Sterol	7.01
Sterol	23.28
Sterol	14.1
Sterol	16.91
Sterol	5.37
Sterol	17.3
Sterol	13.5
Sterol	9.27
Sterol	16.14
Sterol	10.47
Sterol	5.38
Sterol	-1.0
Sterol	18.48
Sterol	12.47
Sterol	30.78
Sterol	13.37
Sterol	13.95
Sterol	19.42
Sterol	6.12
Sterol	20.57
Sterol	13.83
Sterol	9.36
Sterol	16.28
Sterol	18.82
Sterol	4.48
Sterol	8.1
Sterol	5.06
Sterol	11.33
Sterol	20.89
Sterol	15.41
Sterol	10.89
Sterol	17.21
Sterol	11.35
Sterol	-1.0
Sterol	14.53
Sterol	18.0
Sterol	24.6
Sterol	6.96
Sterol	20.25
Sterol	21.9
Sterol	14.65
Sterol	11.7
Sterol	9.46
Sterol	9.25
Sterol	13.86
Sterol	19.38
Sterol	11.7
Sterol	8.88
Sterol	20.32
Sterol	17.76
Sterol	11.89
Sterol	13.87
Sterol	2.14
Sterol	13.64
Sterol	15.9
Sterol	21.58
Sterol	14.05
Sterol	6.69
Sterol	11.24
Sterol	15.59
Sterol	16.67
Sterol	7.75
Sterol	18.28
Sterol	9.95
Sterol	11.18
Sterol	17.19
Sterol	17.9
Sterol	18.88
Sterol	13.77
Sterol	11.79
Sterol	2.01
Sterol	15.33
Sterol	16.85
Sterol	16.53
Sterol	17.92
Sterol	16.27
Sterol	17.58
Sterol	17.34
Sterol	13.91
Sterol	21.47
Sterol	18.89
Sterol	14.24
Sterol	15.38
Sterol	10.77
Sterol	16.74
Sterol	21.89
Sterol	14.49
Sterol	14.55
Sterol	15.51
Sterol	7.09
Sterol	17.33
Sterol	12.68
Sterol	15.04
Sterol	18.36
Sterol	18.35
Sterol	13.02
Sterol	14.27
Sterol	16.13
Sterol	8.5
Sterol	11.14
Sterol	17.93
Sterol	19.45
Sterol	9.26
Sterol	15.69
Sterol	15.6
Sterol	23.13
Sterol	14.62
Sterol	13.53
Sterol	21.64
Sterol	16.75
Sterol	18.15
Sterol	15.72
Sterol	13.76
Sterol	-1.0
Sterol	17.41
Sterol	17.09
Sterol	14.2
Sterol	11.85
Sterol	4.09
Sterol	10.59
Sterol	14.81
Sterol	14.56
Sterol	20.89
Sterol	12.19
Sterol	16.16
Sterol	12.4
Sterol	0.3
Sterol	14.75
Sterol	11.68
Sterol	14.57
Sterol	17.28
Sterol	13.11
Sterol	8.77
Sterol	18.38
Sterol	8.11
Sterol	14.7
Sterol	15.42
Sterol	13.32
Sterol	12.99
Sterol	24.44
Sterol	17.25
Sterol	21.0
Sterol	29.65
Sterol	33.45
Sterol	14.85
Sterol	21.94
Sterol	13.08
Sterol	14.57
Sterol	18.19
Sterol	17.89
Sterol	11.42
Sterol	20.19
Sterol	24.05
Sterol	7.45
Sterol	14.89
Sterol	10.86
Sterol	-1.0
Sterol	20.57
Sterol	19.18
Sterol	14.32
Sterol	16.77
Sterol	4.41
Sterol	8.72
Sterol	18.73
Sterol	14.93
Sterol	21.59
Sterol	14.6
Sterol	10.44
