group_1	group_2	U_statistic	p_value	n1	n2	p_adj_FDR_BH	significant_FDR_0.05
Sterol	Polyketide	12300116.0	1.1971917777255258e-204	6783	2576	6.704273955262945e-204	True
Sterol	Prenol	50067211.0	7.48409157536306e-40	6783	16586	1.2326739065303865e-39	True
Sterol	Saccharolipid	1939873.5	1.1593633914488943e-113	6783	329	2.705181246714087e-113	True
Sterol	Sphingolipid	806608.0	0.07015059017209795	6783	222	0.07274876017847194	False
Sterol	Fatty Acyl	115659330.0	1.9582028859347282e-138	6783	28530	6.092186756241377e-138	True
Sterol	Glycerophospholipid	103946895.5	2.5163130394158248e-17	6783	28752	3.355084052554433e-17	True
Sterol	Glycerolipid	24661816.5	0.026060727300080824	6783	7432	0.02918801457609052	True
Polyketide	Prenol	10501277.5	0.0	2576	16586	0.0	True
Polyketide	Saccharolipid	631195.5	1.61864334126358e-47	2576	329	3.021467570358683e-47	True
Polyketide	Sphingolipid	191463.0	2.841779637206658e-16	2576	222	3.6168104473539283e-16	True
Polyketide	Fatty Acyl	30890268.5	4.753578414283105e-41	2576	28530	8.318762224995434e-41	True
Polyketide	Glycerophospholipid	24092854.0	2.492096090686888e-190	2576	28752	1.1629781756538811e-189	True
Polyketide	Glycerolipid	5359042.5	9.248925815730889e-244	2576	7432	8.632330761348831e-243	True
Prenol	Saccharolipid	4880069.0	6.544879925111317e-133	16586	329	1.8325663790311687e-132	True
Prenol	Sphingolipid	2172673.5	3.8800001337043296e-06	16586	222	4.723478423640054e-06	True
Prenol	Fatty Acyl	304255665.5	0.0	16586	28530	0.0	True
Prenol	Glycerophospholipid	280659657.5	3.7663510002229765e-217	16586	28752	2.6364457001560837e-216	True
Prenol	Glycerolipid	67269659.0	7.699802788308449e-30	16586	7432	1.0779723903631828e-29	True
Saccharolipid	Sphingolipid	13788.0	2.5612730910100604e-35	329	222	3.9842025860156493e-35	True
Saccharolipid	Fatty Acyl	2281071.5	5.27292319956889e-58	329	28530	1.054584639913778e-57	True
Saccharolipid	Glycerophospholipid	1468969.5	7.114578289690766e-103	329	28752	1.5323707085487802e-102	True
Saccharolipid	Glycerolipid	310538.0	2.1641904870393548e-116	329	7432	5.508848512463812e-116	True
Sphingolipid	Fatty Acyl	3532026.5	0.00303069988851739	222	28530	0.0035358165366036216	True
Sphingolipid	Glycerophospholipid	3188475.5	0.9807461472435297	222	28752	0.9807461472435297	False
Sphingolipid	Glycerolipid	764117.0	0.06076690865069581	222	7432	0.06544128623921087	False
Fatty Acyl	Glycerophospholipid	353965267.5	2.5003512463370355e-177	28530	28752	1.0001404985348142e-176	True
Fatty Acyl	Glycerolipid	83406757.0	5.423289110647668e-177	28530	7432	1.8981511887266838e-176	True
Glycerophospholipid	Glycerolipid	97709202.5	5.373493135118878e-30	28752	7432	7.91883198859624e-30	True
