class	hydrophobicity_score
Sterol	54.03
Sterol	76.86
Sterol	72.0
Sterol	0.0
Sterol	35.22
Sterol	67.5
Sterol	66.89
Sterol	57.33
Sterol	59.58
Sterol	34.4
Sterol	0.0
Sterol	50.58
Sterol	47.13
Sterol	41.53
Sterol	77.0
Sterol	53.57
Sterol	55.56
Sterol	56.45
Sterol	29.59
Sterol	37.94
Sterol	42.6
Sterol	58.34
Sterol	44.1
Sterol	33.11
Sterol	2.62
Sterol	41.67
Sterol	16.0
Sterol	11.96
Sterol	51.85
Sterol	47.29
Sterol	68.06
Sterol	46.09
Sterol	33.11
Sterol	67.73
Sterol	40.34
Sterol	49.57
Sterol	42.89
Sterol	36.13
Sterol	60.89
Sterol	14.64
Sterol	36.33
Sterol	57.5
Sterol	51.5
Sterol	70.83
Sterol	39.5
Sterol	55.3
Sterol	42.2
Sterol	23.67
Sterol	43.95
Sterol	34.4
Sterol	11.57
Sterol	56.17
Sterol	10.43
Sterol	49.5
Sterol	98.67
Sterol	0.0
Sterol	77.6
Sterol	86.12
Sterol	0.0
Sterol	85.18
Sterol	68.6
Sterol	49.93
Sterol	59.58
Sterol	29.52
Sterol	38.83
Sterol	34.4
Sterol	64.86
Sterol	24.33
Sterol	70.64
Sterol	62.0
Sterol	67.04
Sterol	65.96
Sterol	5.83
Sterol	16.0
Sterol	31.5
Sterol	21.0
Sterol	68.43
Sterol	69.55
Sterol	55.12
Sterol	55.3
Sterol	60.75
Sterol	64.5
Sterol	68.59
Sterol	77.71
Sterol	47.53
Sterol	57.0
Sterol	62.44
Sterol	57.67
Sterol	49.57
Sterol	98.67
Sterol	50.53
Sterol	39.21
Sterol	53.3
Sterol	20.83
Sterol	76.18
Sterol	75.62
Sterol	21.0
Sterol	68.29
Sterol	83.1
Sterol	31.0
Sterol	100.0
Sterol	55.8
Sterol	29.38
Sterol	77.22
Sterol	49.31
Sterol	41.81
Sterol	38.9
Sterol	52.75
Sterol	48.95
Sterol	53.43
Sterol	20.83
Sterol	45.07
Sterol	61.16
Sterol	50.18
Sterol	58.34
Sterol	71.75
Sterol	70.73
Sterol	57.83
Sterol	16.8
Sterol	48.0
Sterol	69.83
Sterol	0.0
Sterol	56.89
Sterol	38.83
Sterol	62.0
Sterol	73.5
Sterol	53.5
Sterol	0.0
Sterol	16.88
Sterol	38.83
Sterol	56.87
Sterol	51.83
Sterol	47.07
Sterol	51.83
Sterol	0.0
Sterol	38.0
Sterol	75.82
Sterol	64.86
Sterol	30.41
Sterol	66.05
Sterol	59.81
Sterol	65.0
Sterol	34.38
Sterol	29.82
Sterol	97.0
Sterol	41.0
Sterol	25.93
Sterol	54.0
Sterol	51.3
Sterol	56.9
Sterol	31.0
Sterol	20.0
Sterol	19.38
Sterol	44.57
Sterol	56.88
Sterol	26.5
Sterol	97.0
Sterol	62.4
Sterol	38.36
Sterol	61.62
Sterol	50.83
Sterol	34.4
Sterol	51.64
Sterol	66.0
Sterol	77.5
Sterol	77.85
Sterol	54.0
Sterol	67.22
Sterol	100.0
Sterol	61.62
Sterol	41.67
Sterol	50.83
Sterol	46.44
Sterol	50.67
Sterol	88.9
Sterol	67.8
Sterol	5.2
Sterol	61.38
Sterol	65.77
Sterol	20.83
Sterol	35.09
Sterol	62.86
Sterol	27.75
Sterol	98.75
Sterol	77.88
Sterol	66.07
Sterol	-3.75
Sterol	28.38
Sterol	43.82
Sterol	40.78
Sterol	71.07
Sterol	55.5
Sterol	34.33
Sterol	36.88
Sterol	4.8
Sterol	48.27
Sterol	40.6
Sterol	57.44
Sterol	57.67
Sterol	72.0
Sterol	55.73
Sterol	44.0
Sterol	55.75
Sterol	44.5
Sterol	54.67
Sterol	78.57
Sterol	73.88
Sterol	0.0
Sterol	79.94
Sterol	63.29
Sterol	25.8
Sterol	34.4
Sterol	62.58
Sterol	-7.0
Sterol	33.48
Sterol	67.5
Sterol	3.75
Sterol	68.0
Sterol	79.4
Sterol	55.75
Sterol	43.62
Sterol	68.53
Sterol	75.25
Sterol	28.83
Sterol	46.8
Sterol	50.88
Sterol	90.33
Sterol	22.82
Sterol	47.27
Sterol	71.44
Sterol	89.82
Sterol	27.07
Sterol	46.69
Sterol	34.48
Sterol	39.0
Sterol	79.29
Sterol	64.77
Sterol	39.75
Sterol	31.86
Sterol	57.67
Sterol	10.86
Sterol	39.65
Sterol	42.28
Sterol	50.0
Sterol	46.39
Sterol	-12.83
Sterol	80.71
Sterol	34.4
Sterol	44.26
Sterol	88.8
Sterol	48.93
Sterol	78.5
Sterol	60.68
Sterol	64.84
Sterol	48.0
Sterol	39.08
Sterol	45.8
Sterol	69.67
Sterol	0.0
Sterol	65.33
Sterol	50.22
Sterol	45.12
Sterol	36.79
Sterol	61.6
Sterol	78.88
Sterol	55.4
Sterol	50.59
Sterol	70.21
Sterol	44.14
Sterol	80.6
Sterol	46.5
Sterol	53.6
Sterol	64.71
Sterol	47.0
Sterol	53.33
Sterol	61.62
Sterol	45.0
Sterol	61.0
Sterol	60.36
Sterol	64.5
Sterol	100.0
Sterol	35.09
Sterol	53.5
Sterol	60.82
Sterol	37.8
Sterol	46.78
Sterol	56.47
Sterol	17.4
Sterol	42.2
Sterol	56.75
Sterol	10.71
Sterol	62.0
Sterol	66.94
Sterol	42.2
Sterol	46.25
Sterol	50.56
Sterol	84.18
Sterol	33.3
Sterol	40.21
Sterol	46.0
Sterol	70.0
Sterol	38.87
Sterol	45.41
Sterol	62.0
Sterol	34.4
Sterol	47.42
Sterol	75.14
Sterol	61.33
Sterol	71.8
Sterol	58.83
Sterol	33.42
Sterol	54.14
Sterol	60.47
Sterol	41.29
Sterol	59.81
Sterol	50.58
Sterol	38.83
Sterol	97.0
Sterol	42.0
Sterol	57.17
Sterol	54.23
Sterol	67.25
Sterol	72.83
Sterol	58.0
Sterol	68.62
Sterol	58.5
Sterol	51.31
Sterol	37.79
Sterol	40.9
Sterol	65.78
Sterol	64.5
Sterol	29.44
Sterol	56.5
Sterol	49.04
Sterol	47.0
Sterol	75.14
Sterol	34.4
Sterol	13.07
Sterol	64.0
Sterol	35.09
Sterol	77.69
Sterol	66.67
Sterol	67.15
Sterol	35.09
Sterol	78.0
Sterol	46.6
Sterol	38.83
Sterol	58.9
Sterol	58.38
Sterol	21.2
Sterol	58.86
Sterol	50.67
