group_1	group_2	U_statistic	p_value	n1	n2	p_adj_FDR_BH	significant_FDR_0.05
Sterol	Polyketide	10261564.5	5.330242873889332e-39	6783	2576	7.462340023445065e-39	True
Sterol	Prenol	22485911.5	0.0	6783	16586	0.0	True
Sterol	Saccharolipid	332024.5	5.286540351213791e-103	6783	329	1.1386394602614318e-102	True
Sterol	Sphingolipid	351795.0	1.0661277197271708e-41	6783	222	1.571135586966357e-41	True
Sterol	Fatty Acyl	168093191.0	0.0	6783	28530	0.0	True
Sterol	Glycerophospholipid	42060730.0	0.0	6783	28752	0.0	True
Sterol	Glycerolipid	20792646.5	6.82218022502929e-73	6783	7432	1.2734736420054675e-72	True
Polyketide	Prenol	11598252.5	7.582864535892441e-306	2576	16586	2.359113411166537e-305	True
Polyketide	Saccharolipid	209637.0	1.6598468067652893e-50	2576	329	2.733865328789888e-50	True
Polyketide	Sphingolipid	148009.5	7.127473223558074e-33	2576	222	9.503297631410766e-33	True
Polyketide	Fatty Acyl	58009483.5	0.0	2576	28530	0.0	True
Polyketide	Glycerophospholipid	20174812.0	0.0	2576	28752	0.0	True
Polyketide	Glycerolipid	7422014.5	6.1194628678192395e-65	2576	7432	1.070906001868367e-64	True
Prenol	Saccharolipid	3066615.5	0.00011512075084034947	16586	329	0.0001289352409411914	True
Prenol	Sphingolipid	1605636.0	0.0010458061423936984	16586	222	0.0011262527687316752	True
Prenol	Fatty Acyl	427280173.0	0.0	16586	28530	0.0	True
Prenol	Glycerophospholipid	207522789.0	2.1663455407293708e-117	16586	28752	5.514334103674762e-117	True
Prenol	Glycerolipid	68565540.5	2.912022173853849e-44	16586	7432	4.52981227043932e-44	True
Saccharolipid	Sphingolipid	30911.5	0.0022208861132966486	329	222	0.002303141154529858	True
Saccharolipid	Fatty Acyl	8676275.0	7.385254892002696e-155	329	28530	2.0678713697607547e-154	True
Saccharolipid	Glycerophospholipid	3838943.5	4.02619977851881e-09	329	28752	5.124254263569395e-09	True
Saccharolipid	Glycerolipid	1395910.5	1.3077822515738321e-05	329	7432	1.525745960169471e-05	True
Sphingolipid	Fatty Acyl	5708846.5	1.337386994915726e-94	222	28530	2.674773989831452e-94	True
Sphingolipid	Glycerophospholipid	3275172.0	0.5001817030209559	222	28752	0.5001817030209559	False
Sphingolipid	Glycerolipid	993899.5	1.912795197132717e-07	222	7432	2.3286202399876557e-07	True
Fatty Acyl	Glycerophospholipid	91124174.5	0.0	28530	28752	0.0	True
Fatty Acyl	Glycerolipid	36664877.0	0.0	28530	7432	0.0	True
Glycerophospholipid	Glycerolipid	125004221.0	2.4322473325649711e-113	28752	7432	5.675243775984933e-113	True
