class	lig_vol
Sterol	322.47
Sterol	417.39
Sterol	323.94
Sterol	312.67
Sterol	345.57
Sterol	336.18
Sterol	340.94
Sterol	329.29
Sterol	344.9
Sterol	334.89
Sterol	355.29
Sterol	672.93
Sterol	336.28
Sterol	302.29
Sterol	392.11
Sterol	380.54
Sterol	321.46
Sterol	356.61
Sterol	309.49
Sterol	362.59
Sterol	375.08
Sterol	276.88
Sterol	348.28
Sterol	346.92
Sterol	285.16
Sterol	339.16
Sterol	363.07
Sterol	382.88
Sterol	464.23
Sterol	251.67
Sterol	325.09
Sterol	288.14
Sterol	300.67
Sterol	441.76
Sterol	339.56
Sterol	371.91
Sterol	203.65
Sterol	310.93
Sterol	464.36
Sterol	323.92
Sterol	330.34
Sterol	328.69
Sterol	340.41
Sterol	325.77
Sterol	312.22
Sterol	277
Sterol	252.94
Sterol	318.1
Sterol	379.83
Sterol	292.61
Sterol	341.36
Sterol	361.57
Sterol	506.9
Sterol	360.14
Sterol	353.38
Sterol	341.31
Sterol	343.09
Sterol	337.89
Sterol	335
Sterol	339.11
Sterol	329.88
Sterol	310.02
Sterol	335.23
Sterol	434
Sterol	350.18
Sterol	336.06
Sterol	211.74
Sterol	248.72
Sterol	404.57
Sterol	275.65
Sterol	252.54
Sterol	322.32
Sterol	304.58
Sterol	260.8
Sterol	267.79
Sterol	326.45
Sterol	344.88
Sterol	347.56
Sterol	423.4
Sterol	356.4
Sterol	323.7
Sterol	363.24
Sterol	343.74
Sterol	373.29
Sterol	351.64
Sterol	393.31
Sterol	331.82
Sterol	330.93
Sterol	329.34
Sterol	261.5
Sterol	261.18
Sterol	350.92
Sterol	369.75
Sterol	374.43
Sterol	404.74
Sterol	473.1
Sterol	389.07
Sterol	327.99
Sterol	378.3
Sterol	520.59
Sterol	279.59
Sterol	326.53
Sterol	278.88
Sterol	304.71
Sterol	325.15
Sterol	295.99
Sterol	400.08
Sterol	346.15
Sterol	244.19
Sterol	286.17
Sterol	291.89
Sterol	766.51
Sterol	250.63
Sterol	362.64
Sterol	403.9
Sterol	331.66
Sterol	289.4
Sterol	273.05
Sterol	269.4
Sterol	341.76
Sterol	321.42
Sterol	346.65
Sterol	350.2
Sterol	324.57
Sterol	343.25
Sterol	374.63
Sterol	368.08
Sterol	288.79
Sterol	462.4
Sterol	286.22
Sterol	425.58
Sterol	325.44
Sterol	299.44
Sterol	361.11
Sterol	410.44
Sterol	437.57
Sterol	327.19
Sterol	220.93
Sterol	310.62
Sterol	260.3
Sterol	420.97
Sterol	190.01
Sterol	311.1
Sterol	276.17
Sterol	340.29
Sterol	289.51
Sterol	231.67
Sterol	353.55
Sterol	331.33
Sterol	322
Sterol	550.53
Sterol	325.29
Sterol	374.56
Sterol	325.45
Sterol	375.28
Sterol	413.02
Sterol	325.53
Sterol	357.06
Sterol	354.7
Sterol	336.87
