group_1	group_2	U_statistic	p_value	n1	n2	p_adj_FDR_BH	significant_FDR_0.05
Sterol	Polyketide	11425171.0	5.308721415850468e-153	6620	2548	1.4864419964381312e-152	True
Sterol	Prenol	49357421.0	2.4463314213383797e-21	6620	16206	3.8054044331930345e-21	True
Sterol	Saccharolipid	1513590.0	2.393968344427499e-35	6620	325	4.189444602748123e-35	True
Sterol	Sphingolipid	906490.0	6.112006070640697e-10	6620	220	7.778916817179069e-10	True
Sterol	Fatty Acyl	128604994.5	0.0	6620	27271	0.0	True
Sterol	Glycerophospholipid	69346060.0	3.616069093597327e-211	6620	27746	1.2656241827590645e-210	True
Sterol	Glycerolipid	19472991.0	6.915283605162511e-86	6620	7286	1.760254008586821e-85	True
Polyketide	Prenol	12243331.0	6.230282857284426e-240	2548	16206	2.4921131429137706e-239	True
Polyketide	Saccharolipid	422685.0	0.5397992747157291	2548	325	0.5397992747157291	False
Polyketide	Sphingolipid	260336.0	0.07950673319481366	2548	220	0.08562263574826086	False
Polyketide	Fatty Acyl	38406355.0	1.1940183248156473e-18	2548	27271	1.759605952359901e-18	True
Polyketide	Glycerophospholipid	16820261.0	0.0	2548	27746	0.0	True
Polyketide	Glycerolipid	5020826.0	1.5167480197673937e-261	2548	7286	7.078157425581171e-261	True
Prenol	Saccharolipid	3829698.0	8.501983954359935e-45	16206	325	1.5870370048138546e-44	True
Prenol	Sphingolipid	2309609.0	4.6012014719966105e-14	16206	220	6.13493529599548e-14	True
Prenol	Fatty Acyl	325011039.0	0.0	16206	27271	0.0	True
Prenol	Glycerophospholipid	187909157.0	5.6985380650006696e-182	16206	27746	1.7728785091113194e-181	True
Prenol	Glycerolipid	51927817.5	1.717343253217382e-49	16206	7286	3.6988931607759e-49	True
Saccharolipid	Sphingolipid	33004.0	0.1279668670896819	325	220	0.13270638068559606	False
Saccharolipid	Fatty Acyl	4861213.0	0.0026159922098245763	325	27271	0.002929911275003525	True
Saccharolipid	Glycerophospholipid	2012960.0	3.519848356154948e-66	325	27746	8.21297949769488e-66	True
Saccharolipid	Glycerolipid	620552.0	7.012618430090525e-48	325	7286	1.402523686018105e-47	True
Sphingolipid	Fatty Acyl	3511450.0	1.2767677777819398e-05	220	27271	1.5543259903432313e-05	True
Sphingolipid	Glycerophospholipid	1825476.0	8.338136730755126e-25	220	27746	1.3733401674184913e-24	True
Sphingolipid	Glycerolipid	522725.0	1.3413594121988741e-18	220	7286	1.8779031770784238e-18	True
Fatty Acyl	Glycerophospholipid	159730777.5	0.0	27271	27746	0.0	True
Fatty Acyl	Glycerolipid	47752943.0	0.0	27271	7286	0.0	True
Glycerophospholipid	Glycerolipid	103872063.0	0.00027677817335789503	27746	7286	0.0003229078689175442	True
