group_1	group_2	U_statistic	p_value	n1	n2	p_adj_FDR_BH	significant_FDR_0.05
Sterol	Polyketide	4513350.5	4.1149286664502185e-289	6783	2576	2.3043600532121224e-288	True
Sterol	Prenol	55646167.5	0.1933559187606173	6783	16586	0.20051724908508461	False
Sterol	Saccharolipid	232456.0	4.980728436337543e-132	6783	329	1.74325495271814e-131	True
Sterol	Sphingolipid	354006.5	8.148085140450753e-42	6783	222	1.4259148995788817e-41	True
Sterol	Fatty Acyl	94445924.0	0.002047342388893553	6783	28530	0.0026057084949554312	True
Sterol	Glycerophospholipid	96098477.0	0.060919430505528005	6783	28752	0.06560554054441477	False
Sterol	Glycerolipid	27551727.0	3.2501579034276223e-22	6783	7432	4.550221064798671e-22	True
Polyketide	Prenol	31249445.5	0.0	2576	16586	0.0	True
Polyketide	Saccharolipid	172930.5	6.961434375341705e-69	2576	329	1.7720014773597067e-68	True
Polyketide	Sphingolipid	253073.0	0.0043475344444579055	2576	222	0.005292650628035711	True
Polyketide	Fatty Acyl	53006859.5	1.2379291011962619e-306	2576	28530	8.665503708373833e-306	True
Polyketide	Glycerophospholipid	55362809.0	0.0	2576	28752	0.0	True
Polyketide	Glycerolipid	15265982.5	0.0	2576	7432	0.0	True
Prenol	Saccharolipid	600610.0	2.232305862008349e-131	16586	329	6.944951570692641e-131	True
Prenol	Sphingolipid	905840.5	3.632695719922048e-39	16586	222	5.983263538695138e-39	True
Prenol	Fatty Acyl	233274376.5	0.01219988217213101	16586	28530	0.01366386803278673	True
Prenol	Glycerophospholipid	238501013.0	0.9637133927508156	16586	28752	0.9637133927508156	False
Prenol	Glycerolipid	67969693.0	9.36622293814784e-38	16586	7432	1.456968012600775e-37	True
Saccharolipid	Sphingolipid	53619.0	9.309548983644481e-21	329	222	1.2412731978192641e-20	True
Saccharolipid	Fatty Acyl	8296239.5	2.0886506268226138e-128	329	28530	5.848221755103319e-128	True
Saccharolipid	Glycerophospholipid	8478203.5	3.11118987765971e-137	329	28752	1.244475951063884e-136	True
Saccharolipid	Glycerolipid	2244015.0	1.3898008130589675e-148	329	7432	6.485737127608516e-148	True
Sphingolipid	Fatty Acyl	4728048.5	3.5030176311456598e-37	222	28530	5.162341772214656e-37	True
Sphingolipid	Glycerophospholipid	4913701.0	2.2652206018665996e-44	222	28752	4.228411790150986e-44	True
Sphingolipid	Glycerolipid	1339313.5	7.629943250816864e-58	222	7432	1.7803200918572683e-57	True
Fatty Acyl	Glycerophospholipid	415566639.0	0.005858731240111164	28530	28752	0.006835186446796359	True
Fatty Acyl	Glycerolipid	118176694.0	3.5658356416439385e-53	28530	7432	7.680261382002329e-53	True
Glycerophospholipid	Glycerolipid	118967796.0	2.3694636080678748e-52	28752	7432	4.7389272161357495e-52	True
