class	polarity_score
Sterol	12
Sterol	2
Sterol	2
Sterol	0
Sterol	7
Sterol	5
Sterol	3
Sterol	3
Sterol	14
Sterol	2
Sterol	0
Sterol	6
Sterol	5
Sterol	12
Sterol	2
Sterol	5
Sterol	3
Sterol	3
Sterol	15
Sterol	11
Sterol	8
Sterol	14
Sterol	6
Sterol	2
Sterol	16
Sterol	3
Sterol	4
Sterol	16
Sterol	4
Sterol	12
Sterol	4
Sterol	16
Sterol	2
Sterol	2
Sterol	10
Sterol	3
Sterol	10
Sterol	10
Sterol	7
Sterol	7
Sterol	3
Sterol	4
Sterol	3
Sterol	3
Sterol	2
Sterol	1
Sterol	6
Sterol	5
Sterol	8
Sterol	2
Sterol	5
Sterol	2
Sterol	5
Sterol	3
Sterol	0
Sterol	0
Sterol	3
Sterol	0
Sterol	0
Sterol	0
Sterol	2
Sterol	3
Sterol	7
Sterol	11
Sterol	3
Sterol	2
Sterol	5
Sterol	6
Sterol	2
Sterol	2
Sterol	6
Sterol	6
Sterol	3
Sterol	1
Sterol	3
Sterol	2
Sterol	2
Sterol	4
Sterol	2
Sterol	3
Sterol	2
Sterol	5
Sterol	7
Sterol	2
Sterol	4
Sterol	1
Sterol	5
Sterol	7
Sterol	3
Sterol	0
Sterol	3
Sterol	12
Sterol	5
Sterol	4
Sterol	0
Sterol	2
Sterol	2
Sterol	2
Sterol	0
Sterol	7
Sterol	0
Sterol	0
Sterol	3
Sterol	2
Sterol	7
Sterol	13
Sterol	3
Sterol	12
Sterol	3
Sterol	2
Sterol	4
Sterol	7
Sterol	4
Sterol	1
Sterol	14
Sterol	3
Sterol	4
Sterol	7
Sterol	4
Sterol	1
Sterol	4
Sterol	0
Sterol	8
Sterol	3
Sterol	2
Sterol	2
Sterol	4
Sterol	0
Sterol	7
Sterol	3
Sterol	3
Sterol	6
Sterol	5
Sterol	6
Sterol	0
Sterol	4
Sterol	3
Sterol	5
Sterol	9
Sterol	5
Sterol	13
Sterol	5
Sterol	11
Sterol	8
Sterol	1
Sterol	6
Sterol	10
Sterol	0
Sterol	3
Sterol	6
Sterol	2
Sterol	4
Sterol	5
Sterol	4
Sterol	5
Sterol	2
Sterol	1
Sterol	2
Sterol	4
Sterol	4
Sterol	2
Sterol	2
Sterol	3
Sterol	0
Sterol	0
Sterol	6
Sterol	6
Sterol	4
Sterol	0
Sterol	5
Sterol	3
Sterol	2
Sterol	8
Sterol	7
Sterol	2
Sterol	3
Sterol	4
Sterol	2
Sterol	3
Sterol	4
Sterol	7
Sterol	5
Sterol	4
Sterol	1
Sterol	0
Sterol	4
Sterol	4
Sterol	11
Sterol	6
Sterol	9
Sterol	5
Sterol	3
Sterol	4
Sterol	13
Sterol	5
Sterol	4
Sterol	6
Sterol	6
Sterol	0
Sterol	5
Sterol	4
Sterol	3
Sterol	3
Sterol	10
Sterol	3
Sterol	2
Sterol	5
Sterol	0
Sterol	4
Sterol	1
Sterol	3
Sterol	2
Sterol	2
Sterol	1
Sterol	12
Sterol	4
Sterol	3
Sterol	1
Sterol	1
Sterol	3
Sterol	12
Sterol	3
Sterol	2
Sterol	2
Sterol	2
Sterol	5
Sterol	0
Sterol	6
Sterol	10
Sterol	3
Sterol	2
Sterol	7
Sterol	3
Sterol	8
Sterol	2
Sterol	1
Sterol	12
Sterol	6
Sterol	8
Sterol	7
Sterol	2
Sterol	9
Sterol	6
Sterol	5
Sterol	9
Sterol	3
Sterol	1
Sterol	2
Sterol	14
Sterol	2
Sterol	7
Sterol	1
Sterol	4
Sterol	6
Sterol	1
Sterol	5
Sterol	2
Sterol	1
Sterol	0
Sterol	3
Sterol	5
Sterol	6
Sterol	9
Sterol	2
Sterol	1
Sterol	1
Sterol	7
Sterol	4
Sterol	3
Sterol	2
Sterol	4
Sterol	1
Sterol	1
Sterol	1
Sterol	1
Sterol	5
Sterol	2
Sterol	1
Sterol	3
Sterol	0
Sterol	0
Sterol	7
Sterol	4
Sterol	5
Sterol	1
Sterol	3
Sterol	5
Sterol	9
Sterol	3
Sterol	1
Sterol	5
Sterol	2
Sterol	6
Sterol	3
Sterol	4
Sterol	2
Sterol	0
Sterol	4
Sterol	7
Sterol	1
Sterol	4
Sterol	5
Sterol	5
Sterol	2
Sterol	2
Sterol	6
Sterol	0
Sterol	3
Sterol	1
Sterol	2
Sterol	5
Sterol	5
Sterol	13
Sterol	2
Sterol	13
Sterol	5
Sterol	3
Sterol	1
Sterol	4
Sterol	10
Sterol	7
Sterol	4
Sterol	2
Sterol	4
Sterol	2
Sterol	2
Sterol	5
Sterol	6
Sterol	3
Sterol	2
Sterol	0
Sterol	6
Sterol	5
Sterol	11
Sterol	4
Sterol	0
Sterol	2
Sterol	11
Sterol	2
Sterol	7
Sterol	5
Sterol	3
Sterol	4
Sterol	7
Sterol	1
Sterol	3
Sterol	3
Sterol	9
Sterol	4
Sterol	1
Sterol	2
Sterol	7
Sterol	14
Sterol	3
Sterol	6
Sterol	2
Sterol	3
Sterol	2
Sterol	7
Sterol	2
Sterol	0
Sterol	14
Sterol	1
Sterol	2
Sterol	2
Sterol	2
Sterol	3
Sterol	7
Sterol	2
Sterol	4
Sterol	6
Sterol	8
Sterol	3
Sterol	1
Sterol	5
Sterol	2
Sterol	2
Sterol	5
Sterol	3
Sterol	5
Sterol	13
Sterol	2
Sterol	10
Sterol	1
Sterol	3
Sterol	3
Sterol	7
Sterol	6
Sterol	4
Sterol	4
Sterol	6
Sterol	3
Sterol	3
Sterol	13
Sterol	7
Sterol	9
Sterol	2
Sterol	4
Sterol	3
Sterol	3
Sterol	3
Sterol	6
Sterol	2
Sterol	0
Sterol	6
Sterol	2
Sterol	4
Sterol	8
Sterol	2
Sterol	4
Sterol	1
Sterol	0
Sterol	15
Sterol	7
Sterol	2
Sterol	2
Sterol	5
Sterol	2
Sterol	5
Sterol	1
Sterol	2
Sterol	5
Sterol	14
Sterol	14
Sterol	0
Sterol	3
Sterol	9
Sterol	7
Sterol	6
Sterol	1
Sterol	0
Sterol	3
Sterol	3
Sterol	3
Sterol	4
Sterol	0
Sterol	4
Sterol	5
Sterol	0
Sterol	0
Sterol	4
Sterol	3
Sterol	0
Sterol	4
Sterol	2
Sterol	4
Sterol	5
Sterol	3
Sterol	16
Sterol	2
Sterol	1
Sterol	2
Sterol	12
Sterol	5
Sterol	3
Sterol	2
Sterol	7
Sterol	2
Sterol	12
Sterol	6
Sterol	2
Sterol	3
Sterol	3
Sterol	12
Sterol	2
Sterol	4
Sterol	7
Sterol	10
Sterol	3
Sterol	3
Sterol	2
Sterol	5
Sterol	5
Sterol	4
Sterol	4
Sterol	0
Sterol	8
Sterol	0
Sterol	1
Sterol	2
Sterol	0
Sterol	7
Sterol	2
Sterol	7
Sterol	7
Sterol	7
Sterol	0
Sterol	0
Sterol	2
Sterol	3
Sterol	5
Sterol	1
Sterol	4
Sterol	3
Sterol	9
Sterol	4
Sterol	9
Sterol	2
Sterol	6
Sterol	1
Sterol	3
Sterol	2
Sterol	8
Sterol	0
Sterol	1
Sterol	2
Sterol	4
Sterol	3
Sterol	6
Sterol	3
Sterol	3
Sterol	2
Sterol	1
Sterol	4
Sterol	3
Sterol	9
Sterol	7
Sterol	3
Sterol	3
Sterol	1
Sterol	7
Sterol	2
Sterol	0
Sterol	1
Sterol	3
Sterol	4
Sterol	2
Sterol	4
Sterol	3
Sterol	4
Sterol	13
Sterol	2
Sterol	13
Sterol	1
Sterol	2
Sterol	13
Sterol	1
Sterol	0
Sterol	4
Sterol	2
Sterol	4
Sterol	4
Sterol	5
Sterol	4
Sterol	3
Sterol	2
Sterol	6
Sterol	2
Sterol	0
Sterol	0
Sterol	12
Sterol	4
Sterol	4
Sterol	3
Sterol	5
Sterol	1
Sterol	2
Sterol	1
Sterol	2
Sterol	2
Sterol	4
Sterol	2
Sterol	4
Sterol	6
Sterol	2
Sterol	4
Sterol	1
Sterol	3
Sterol	5
Sterol	3
Sterol	4
Sterol	3
Sterol	1
Sterol	0
Sterol	2
Sterol	13
Sterol	0
Sterol	0
Sterol	12
Sterol	1
Sterol	3
Sterol	5
Sterol	1
Sterol	4
Sterol	3
Sterol	4
Sterol	7
Sterol	2
Sterol	12
Sterol	4
Sterol	16
Sterol	2
Sterol	6
Sterol	15
Sterol	5
Sterol	1
Sterol	2
Sterol	14
Sterol	3
Sterol	3
Sterol	4
Sterol	0
Sterol	3
Sterol	5
Sterol	4
Sterol	0
Sterol	4
Sterol	5
Sterol	2
Sterol	3
Sterol	1
Sterol	2
Sterol	6
Sterol	0
Sterol	0
Sterol	1
Sterol	2
Sterol	13
Sterol	7
Sterol	6
Sterol	6
Sterol	0
Sterol	2
Sterol	0
Sterol	2
Sterol	12
Sterol	7
Sterol	6
Sterol	1
Sterol	2
Sterol	8
Sterol	1
Sterol	3
Sterol	4
Sterol	9
Sterol	8
Sterol	4
Sterol	4
Sterol	0
Sterol	2
Sterol	4
Sterol	9
Sterol	6
Sterol	13
Sterol	3
Sterol	3
Sterol	3
Sterol	3
Sterol	5
Sterol	7
Sterol	11
Sterol	2
Sterol	9
Sterol	1
Sterol	1
Sterol	5
Sterol	6
Sterol	2
Sterol	11
Sterol	5
Sterol	1
Sterol	7
Sterol	4
Sterol	5
Sterol	3
Sterol	2
Sterol	1
Sterol	2
Sterol	3
Sterol	1
Sterol	1
Sterol	6
Sterol	4
Sterol	5
Sterol	2
Sterol	8
Sterol	2
Sterol	7
Sterol	3
Sterol	7
Sterol	7
Sterol	0
Sterol	20
Sterol	3
Sterol	7
Sterol	3
Sterol	2
Sterol	14
Sterol	3
Sterol	2
Sterol	6
Sterol	5
Sterol	7
Sterol	7
Sterol	11
Sterol	5
Sterol	1
Sterol	16
Sterol	1
Sterol	5
Sterol	1
Sterol	12
Sterol	1
Sterol	3
Sterol	2
Sterol	9
Sterol	3
Sterol	6
Sterol	7
Sterol	4
Sterol	6
Sterol	4
Sterol	3
Sterol	7
Sterol	7
Sterol	3
Sterol	3
Sterol	0
Sterol	5
Sterol	1
Sterol	4
Sterol	5
Sterol	2
Sterol	5
Sterol	15
Sterol	3
Sterol	1
Sterol	4
Sterol	8
Sterol	0
Sterol	4
Sterol	2
Sterol	0
Sterol	3
Sterol	0
Sterol	2
Sterol	3
Sterol	9
Sterol	4
Sterol	3
Sterol	1
Sterol	5
Sterol	0
Sterol	0
Sterol	7
Sterol	2
Sterol	3
