class	pock_vol
Sterol	1005.37
Sterol	403.32
Sterol	439.82
Sterol	0.0
Sterol	421.26
Sterol	706.94
Sterol	491.89
Sterol	448.12
Sterol	906.45
Sterol	344.75
Sterol	0.0
Sterol	1218.49
Sterol	1225.66
Sterol	1652.9
Sterol	919.19
Sterol	585.55
Sterol	327.06
Sterol	589.4
Sterol	1196.93
Sterol	1588.82
Sterol	1140.43
Sterol	873.74
Sterol	626.81
Sterol	448.02
Sterol	1094.99
Sterol	330.79
Sterol	185.26
Sterol	929.19
Sterol	532.6
Sterol	838.06
Sterol	733.19
Sterol	1196.13
Sterol	439.53
Sterol	495.41
Sterol	1160.19
Sterol	422.55
Sterol	1024.1
Sterol	940.46
Sterol	969.91
Sterol	481.0
Sterol	351.47
Sterol	486.12
Sterol	421.98
Sterol	574.17
Sterol	413.33
Sterol	432.13
Sterol	881.87
Sterol	580.26
Sterol	929.5
Sterol	302.6
Sterol	329.79
Sterol	429.58
Sterol	447.57
Sterol	543.19
Sterol	110.51
Sterol	0.0
Sterol	594.58
Sterol	205.28
Sterol	0.0
Sterol	406.18
Sterol	441.28
Sterol	741.58
Sterol	1058.6
Sterol	1301.88
Sterol	311.04
Sterol	369.5
Sterol	560.17
Sterol	391.04
Sterol	555.11
Sterol	316.43
Sterol	667.73
Sterol	550.9
Sterol	160.57
Sterol	106.09
Sterol	178.13
Sterol	318.85
Sterol	400.51
Sterol	404.44
Sterol	444.09
Sterol	479.6
Sterol	137.94
Sterol	607.4
Sterol	1089.11
Sterol	266.97
Sterol	877.0
Sterol	189.18
Sterol	469.41
Sterol	584.57
Sterol	428.83
Sterol	113.0
Sterol	628.5
Sterol	1251.56
Sterol	390.57
Sterol	296.91
Sterol	476.84
Sterol	495.14
Sterol	371.95
Sterol	761.23
Sterol	650.75
Sterol	754.0
Sterol	96.9
Sterol	200.52
Sterol	527.23
Sterol	564.7
Sterol	792.54
Sterol	1012.16
Sterol	371.92
Sterol	1178.63
Sterol	893.43
Sterol	359.46
Sterol	284.35
Sterol	1014.75
Sterol	557.36
Sterol	381.81
Sterol	865.92
Sterol	611.28
Sterol	708.52
Sterol	656.57
Sterol	190.27
Sterol	89.17
Sterol	662.25
Sterol	0.0
Sterol	947.41
Sterol	368.07
Sterol	331.62
Sterol	637.77
Sterol	477.16
Sterol	0.0
Sterol	986.67
Sterol	359.27
Sterol	926.45
Sterol	547.56
Sterol	930.1
Sterol	527.52
Sterol	0.0
Sterol	673.27
Sterol	712.88
Sterol	506.58
Sterol	1153.46
Sterol	600.32
Sterol	759.18
Sterol	627.36
Sterol	1137.15
Sterol	890.06
Sterol	39.3
Sterol	604.45
Sterol	736.29
Sterol	262.27
Sterol	517.59
Sterol	544.51
Sterol	603.05
Sterol	348.64
Sterol	345.96
Sterol	472.86
Sterol	445.38
Sterol	575.44
Sterol	35.43
Sterol	429.42
Sterol	496.47
Sterol	740.14
