group_1	group_2	U_statistic	p_value	n1	n2	p_adj_FDR_BH	significant_FDR_0.05
Sterol	Polyketide	6216650.0	2.5011112126244476e-103	6783	2576	6.366464904862231e-103	True
Sterol	Prenol	46036342.0	1.388981390249383e-105	6783	16586	3.889147892698272e-105	True
Sterol	Saccharolipid	376924.0	9.343507762031206e-92	6783	329	2.0124478256682598e-91	True
Sterol	Sphingolipid	413743.5	2.6701829243480714e-30	6783	222	3.398414630988455e-30	True
Sterol	Fatty Acyl	121202022.5	3.7529648482602185e-230	6783	28530	2.1016603150257225e-229	True
Sterol	Glycerophospholipid	96568284.5	0.21410348968130555	6783	28752	0.22203324855839093	False
Sterol	Glycerolipid	28354887.0	5.334043872111422e-38	6783	7432	7.112058496148563e-38	True
Polyketide	Prenol	23712288.5	2.3644662981855853e-19	2576	16586	2.7585440145498494e-19	True
Polyketide	Saccharolipid	228379.5	2.3965738570194678e-42	2576	329	3.531793052449742e-42	True
Polyketide	Sphingolipid	205381.0	3.0637366208469706e-12	2576	222	3.2994086686044298e-12	True
Polyketide	Fatty Acyl	54598643.5	0.0	2576	28530	0.0	True
Polyketide	Glycerophospholipid	46177829.0	4.54703132546623e-96	2576	28752	1.0609739759421205e-95	True
Polyketide	Glycerolipid	13393385.0	7.646093208611515e-201	2576	7432	3.568176830685374e-200	True
Prenol	Saccharolipid	1297312.0	7.469489927035764e-60	16586	329	1.2302689291588319e-59	True
Prenol	Sphingolipid	1207790.0	1.1686512332502767e-18	16586	222	1.3088893812403098e-18	True
Prenol	Fatty Acyl	329634317.0	0.0	16586	28530	0.0	True
Prenol	Glycerophospholipid	274256842.0	7.358993244477997e-157	16586	28752	2.9435972977911987e-156	True
Prenol	Glycerolipid	79724961.0	1.910955189591421e-290	16586	7432	1.3376686327139948e-289	True
Saccharolipid	Sphingolipid	36792.0	0.881816712796923	329	222	0.881816712796923	False
Saccharolipid	Fatty Acyl	8221689.0	5.718903339190117e-122	329	28530	2.001616168716541e-121	True
Saccharolipid	Glycerophospholipid	7496670.5	1.3068384913375144e-74	329	28752	2.6136769826750287e-74	True
Saccharolipid	Glycerolipid	2115048.5	1.543678816960102e-111	329	7432	4.802556319431428e-111	True
Sphingolipid	Fatty Acyl	4968240.0	1.9879755660536e-48	222	28530	3.092406436083378e-48	True
Sphingolipid	Glycerophospholipid	4519309.0	1.0624633085431233e-26	222	28752	1.2934335930090196e-26	True
Sphingolipid	Glycerolipid	1252975.5	9.57421050899795e-40	222	7432	1.3403894712597129e-39	True
Fatty Acyl	Glycerophospholipid	313774160.5	0.0	28530	28752	0.0	True
Fatty Acyl	Glycerolipid	92176828.0	1.5688656635950657e-67	28530	7432	2.9285492387107895e-67	True
Glycerophospholipid	Glycerolipid	119950163.0	6.084080214094447e-60	28752	7432	1.0647140374665282e-59	True
