class	GO_CC	as_max_dst
Fatty Acyl	cytosol [GO:0005829]	8.4
Fatty Acyl	protein-containing complex [GO:0032991]	8.4
Fatty Acyl	apoptosome [GO:0043293]	8.4
Fatty Acyl	nucleus [GO:0005634]	8.4
Fatty Acyl	cytoplasm [GO:0005737]	20.37
Fatty Acyl	membrane [GO:0016020]	6.15
Fatty Acyl	membrane [GO:0016020]	8.47
Fatty Acyl	host multivesicular body [GO:0072494]	8.47
Fatty Acyl	viral nucleocapsid [GO:0019013]	8.47
Fatty Acyl	host cell plasma membrane [GO:0020002]	8.47
Fatty Acyl	virion membrane [GO:0055036]	8.47
Fatty Acyl	host cell nucleus [GO:0042025]	8.47
Fatty Acyl	pore complex [GO:0046930]	12.03
Fatty Acyl	cell outer membrane [GO:0009279]	12.03
Fatty Acyl	membrane [GO:0016020]	19.77
Fatty Acyl	cell-cell junction [GO:0005911]	19.77
Fatty Acyl	photoreceptor disc membrane [GO:0097381]	19.77
Fatty Acyl	G protein-coupled receptor complex [GO:0097648]	19.77
Fatty Acyl	plasma membrane [GO:0005886]	19.77
Fatty Acyl	sperm midpiece [GO:0097225]	19.77
Fatty Acyl	photoreceptor inner segment membrane [GO:0060342]	19.77
Fatty Acyl	photoreceptor outer segment [GO:0001750]	19.77
Fatty Acyl	photoreceptor outer segment membrane [GO:0042622]	19.77
Fatty Acyl	Golgi membrane [GO:0000139]	19.77
Fatty Acyl	outer membrane [GO:0019867]	19.77
Fatty Acyl	sperm head plasma membrane [GO:1990913]	19.77
Fatty Acyl	rod photoreceptor outer segment [GO:0120200]	19.77
Fatty Acyl	lysosomal lumen [GO:0043202]	5.31
Fatty Acyl	extracellular exosome [GO:0070062]	5.31
Fatty Acyl	azurophil granule lumen [GO:0035578]	5.31
Fatty Acyl	cytoplasm [GO:0005737]	5.31
Fatty Acyl	lysosome [GO:0005764]	5.31
Fatty Acyl	Golgi apparatus [GO:0005794]	5.31
Fatty Acyl	extracellular region [GO:0005576]	5.31
Fatty Acyl	membrane [GO:0016020]	18.88
Fatty Acyl	cytosol [GO:0005829]	2.54
Fatty Acyl	membrane [GO:0016020]	6.77
Fatty Acyl	plasma membrane [GO:0005886]	6.77
Fatty Acyl	membrane [GO:0016020]	20.13
Fatty Acyl	monoatomic ion channel complex [GO:0034702]	20.13
Fatty Acyl	pore complex [GO:0046930]	20.13
Fatty Acyl	cell outer membrane [GO:0009279]	20.13
Fatty Acyl	neuromuscular junction [GO:0031594]	11.5
Fatty Acyl	perikaryon [GO:0043204]	11.5
Fatty Acyl	membrane [GO:0016020]	11.5
Fatty Acyl	early endosome membrane [GO:0031901]	11.5
Fatty Acyl	synapse [GO:0045202]	11.5
Fatty Acyl	plasma membrane [GO:0005886]	11.5
Fatty Acyl	presynaptic membrane [GO:0042734]	11.5
Fatty Acyl	synaptic vesicle membrane [GO:0030672]	11.5
Fatty Acyl	axon [GO:0030424]	11.5
Fatty Acyl	dendrite [GO:0030425]	11.5
Fatty Acyl	T-tubule [GO:0030315]	37.78
Fatty Acyl	inward rectifying potassium channel [GO:0008282]	37.78
Fatty Acyl	nuclear envelope [GO:0005635]	37.78
Fatty Acyl	sarcolemma [GO:0042383]	37.78
Fatty Acyl	presynaptic membrane [GO:0042734]	37.78
Fatty Acyl	glutamatergic synapse [GO:0098978]	37.78
Fatty Acyl	axolemma [GO:0030673]	37.78
Fatty Acyl	neuronal cell body [GO:0043025]	37.78
Fatty Acyl	intercalated disc [GO:0014704]	37.78
Fatty Acyl	acrosomal vesicle [GO:0001669]	37.78
Fatty Acyl	plasma membrane [GO:0005886]	37.78
Fatty Acyl	cell body fiber [GO:0070852]	37.78
Fatty Acyl	endosome [GO:0005768]	37.78
Fatty Acyl	extracellular exosome [GO:0070062]	19.45
Fatty Acyl	cytoplasm [GO:0005737]	19.45
Fatty Acyl	protein-containing complex [GO:0032991]	19.45
Fatty Acyl	blood microparticle [GO:0072562]	19.45
Fatty Acyl	Golgi apparatus [GO:0005794]	19.45
Fatty Acyl	endoplasmic reticulum lumen [GO:0005788]	19.45
Fatty Acyl	extracellular region [GO:0005576]	19.45
Fatty Acyl	platelet alpha granule lumen [GO:0031093]	19.45
Fatty Acyl	extracellular space [GO:0005615]	19.45
Fatty Acyl	nucleus [GO:0005634]	19.45
Fatty Acyl	endoplasmic reticulum [GO:0005783]	19.45
