class	GO_CC	as_max_dst
Glycerolipid	fungal-type vacuole [GO:0000324]	23.09
Glycerolipid	fungal-type vacuole membrane [GO:0000329]	23.09
Glycerolipid	fungal-type vacuole [GO:0000324]	23.32
Glycerolipid	fungal-type vacuole membrane [GO:0000329]	23.32
Glycerolipid	fungal-type vacuole [GO:0000324]	11.54
Glycerolipid	fungal-type vacuole membrane [GO:0000329]	11.54
Glycerolipid	fungal-type vacuole [GO:0000324]	14.69
Glycerolipid	fungal-type vacuole membrane [GO:0000329]	14.69
Glycerolipid	fungal-type vacuole [GO:0000324]	21.45
Glycerolipid	fungal-type vacuole membrane [GO:0000329]	21.45
Glycerolipid	fungal-type vacuole [GO:0000324]	24.71
Glycerolipid	fungal-type vacuole membrane [GO:0000329]	24.71
Glycerolipid	fungal-type vacuole [GO:0000324]	13.76
Glycerolipid	fungal-type vacuole membrane [GO:0000329]	13.76
Glycerolipid	fungal-type vacuole [GO:0000324]	17.72
Glycerolipid	fungal-type vacuole membrane [GO:0000329]	17.72
Glycerolipid	host cell cytoplasm [GO:0030430]	21.47
Glycerolipid	host cell cytoplasm [GO:0030430]	7.64
Glycerolipid	nucleoplasm [GO:0005654]	27.05
Glycerolipid	respiratory chain complex IV [GO:0045277]	27.05
Glycerolipid	cytosol [GO:0005829]	27.05
Glycerolipid	mitochondrial respiratory chain complex IV [GO:0005751]	27.05
Glycerolipid	host cell cytoplasm [GO:0030430]	17.15
Glycerolipid	host cell cytoplasm [GO:0030430]	21.57
Glycerolipid	host cell cytoplasm [GO:0030430]	20.25
Glycerolipid	host cell cytoplasm [GO:0030430]	16.44
Glycerolipid	plasma membrane [GO:0005886]	6.11
Glycerolipid	plasma membrane [GO:0005886]	7.41
Glycerolipid	external side of plasma membrane [GO:0009897]	16.6
Glycerolipid	cell surface [GO:0009986]	16.6
Glycerolipid	plasma membrane [GO:0005886]	16.6
Glycerolipid	cytoplasm [GO:0005737]	16.6
Glycerolipid	endosome [GO:0005768]	16.6
Glycerolipid	external side of plasma membrane [GO:0009897]	9.87
Glycerolipid	cell surface [GO:0009986]	9.87
Glycerolipid	plasma membrane [GO:0005886]	9.87
Glycerolipid	cytoplasm [GO:0005737]	9.87
Glycerolipid	endosome [GO:0005768]	9.87
Glycerolipid	external side of plasma membrane [GO:0009897]	14.01
Glycerolipid	cell surface [GO:0009986]	14.01
Glycerolipid	plasma membrane [GO:0005886]	14.01
Glycerolipid	cytoplasm [GO:0005737]	14.01
Glycerolipid	endosome [GO:0005768]	14.01
Glycerolipid	external side of plasma membrane [GO:0009897]	24.64
Glycerolipid	cell surface [GO:0009986]	24.64
Glycerolipid	plasma membrane [GO:0005886]	24.64
Glycerolipid	cytoplasm [GO:0005737]	24.64
Glycerolipid	endosome [GO:0005768]	24.64
Glycerolipid	respiratory chain complex IV [GO:0045277]	0.89
Glycerolipid	mitochondrial inner membrane [GO:0005743]	0.89
Glycerolipid	external side of plasma membrane [GO:0009897]	23.36
Glycerolipid	cell surface [GO:0009986]	23.36
Glycerolipid	plasma membrane [GO:0005886]	23.36
Glycerolipid	cytoplasm [GO:0005737]	23.36
Glycerolipid	endosome [GO:0005768]	23.36
Glycerolipid	external side of plasma membrane [GO:0009897]	16.68
Glycerolipid	cell surface [GO:0009986]	16.68
Glycerolipid	plasma membrane [GO:0005886]	16.68
Glycerolipid	cytoplasm [GO:0005737]	16.68
Glycerolipid	endosome [GO:0005768]	16.68
Glycerolipid	external side of plasma membrane [GO:0009897]	7.15
Glycerolipid	cell surface [GO:0009986]	7.15
Glycerolipid	plasma membrane [GO:0005886]	7.15
Glycerolipid	cytoplasm [GO:0005737]	7.15
Glycerolipid	endosome [GO:0005768]	7.15
Glycerolipid	external side of plasma membrane [GO:0009897]	16.88
Glycerolipid	cell surface [GO:0009986]	16.88
Glycerolipid	plasma membrane [GO:0005886]	16.88
Glycerolipid	cytoplasm [GO:0005737]	16.88
Glycerolipid	endosome [GO:0005768]	16.88
Glycerolipid	external side of plasma membrane [GO:0009897]	9.79
