class	GO_CC	as_max_dst
Glycerophospholipid	photosystem II [GO:0009523]	24.7
Glycerophospholipid	chloroplast thylakoid membrane [GO:0009535]	24.7
Glycerophospholipid	photosystem I [GO:0009522]	24.7
Glycerophospholipid	plasma membrane-derived chromatophore membrane [GO:0042717]	13.99
Glycerophospholipid	plasma membrane light-harvesting complex [GO:0030077]	13.99
Glycerophospholipid	T-tubule [GO:0030315]	18.91
Glycerophospholipid	inward rectifying potassium channel [GO:0008282]	18.91
Glycerophospholipid	nuclear envelope [GO:0005635]	18.91
Glycerophospholipid	sarcolemma [GO:0042383]	18.91
Glycerophospholipid	presynaptic membrane [GO:0042734]	18.91
Glycerophospholipid	glutamatergic synapse [GO:0098978]	18.91
Glycerophospholipid	axolemma [GO:0030673]	18.91
Glycerophospholipid	neuronal cell body [GO:0043025]	18.91
Glycerophospholipid	intercalated disc [GO:0014704]	18.91
Glycerophospholipid	acrosomal vesicle [GO:0001669]	18.91
Glycerophospholipid	plasma membrane [GO:0005886]	18.91
Glycerophospholipid	cell body fiber [GO:0070852]	18.91
Glycerophospholipid	endosome [GO:0005768]	18.91
Glycerophospholipid	photosystem II [GO:0009523]	15.49
Glycerophospholipid	plasma membrane-derived thylakoid membrane [GO:0031676]	15.49
Glycerophospholipid	photosystem II [GO:0009523]	15.49
Glycerophospholipid	plasma membrane-derived thylakoid membrane [GO:0031676]	15.49
Glycerophospholipid	periplasmic space [GO:0042597]	15.49
Glycerophospholipid	photosystem II reaction center [GO:0009539]	18.51
Glycerophospholipid	plasma membrane-derived thylakoid membrane [GO:0031676]	18.51
Glycerophospholipid	photosystem II reaction center [GO:0009539]	18.51
Glycerophospholipid	plasma membrane-derived thylakoid membrane [GO:0031676]	18.51
Glycerophospholipid	respiratory chain complex IV [GO:0045277]	17.3
Glycerophospholipid	mitochondrial respiratory chain complex IV [GO:0005751]	17.3
Glycerophospholipid	basolateral plasma membrane [GO:0016323]	34.27
Glycerophospholipid	neuronal cell body [GO:0043025]	34.27
Glycerophospholipid	apical plasma membrane [GO:0016324]	34.27
Glycerophospholipid	cell surface [GO:0009986]	34.27
Glycerophospholipid	plasma membrane [GO:0005886]	34.27
Glycerophospholipid	axon terminus [GO:0043679]	34.27
Glycerophospholipid	membrane [GO:0016020]	23.28
Glycerophospholipid	apical plasma membrane [GO:0016324]	23.28
Glycerophospholipid	extracellular exosome [GO:0070062]	23.28
Glycerophospholipid	cytosol [GO:0005829]	23.28
Glycerophospholipid	plasma membrane [GO:0005886]	23.28
Glycerophospholipid	respiratory chain complex I [GO:0045271]	12.56
Glycerophospholipid	plasma membrane [GO:0005886]	12.56
Glycerophospholipid	membrane [GO:0016020]	12.56
Glycerophospholipid	NADH dehydrogenase complex [GO:0030964]	12.56
Glycerophospholipid	plasma membrane respiratory chain complex I [GO:0045272]	12.56
Glycerophospholipid	plasma membrane [GO:0005886]	-1.0
Glycerophospholipid	photosystem II reaction center [GO:0009539]	12.08
Glycerophospholipid	plasma membrane-derived thylakoid membrane [GO:0031676]	12.08
Glycerophospholipid	photosystem II reaction center [GO:0009539]	12.08
Glycerophospholipid	plasma membrane-derived thylakoid membrane [GO:0031676]	12.08
Glycerophospholipid	chloroplast thylakoid membrane [GO:0009535]	29.95
Glycerophospholipid	photosystem I [GO:0009522]	29.95
Glycerophospholipid	mitochondrial inner membrane [GO:0005743]	15.01
Glycerophospholipid	mitochondrial respiratory chain complex I [GO:0005747]	15.01
Glycerophospholipid	photosystem II [GO:0009523]	24.59
Glycerophospholipid	plasma membrane-derived thylakoid membrane [GO:0031676]	24.59
Glycerophospholipid	photosystem II [GO:0009523]	24.59
Glycerophospholipid	plasma membrane-derived thylakoid membrane [GO:0031676]	24.59
Glycerophospholipid	postsynaptic density membrane [GO:0098839]	25.33
Glycerophospholipid	postsynaptic membrane [GO:0045211]	25.33
Glycerophospholipid	perikaryon [GO:0043204]	25.33
Glycerophospholipid	membrane [GO:0016020]	25.33
Glycerophospholipid	AMPA glutamate receptor complex [GO:0032281]	25.33
Glycerophospholipid	presynaptic membrane [GO:0042734]	25.33
Glycerophospholipid	dendrite [GO:0030425]	25.33
Glycerophospholipid	glutamatergic synapse [GO:0098978]	25.33
Glycerophospholipid	neuron projection [GO:0043005]	25.33
Glycerophospholipid	perisynaptic space [GO:0099544]	25.33
Glycerophospholipid	spine synapse [GO:0106033]	25.33
Glycerophospholipid	dendritic shaft [GO:0043198]	25.33
Glycerophospholipid	dendritic spine [GO:0043197]	25.33
Glycerophospholipid	neuronal cell body [GO:0043025]	25.33
Glycerophospholipid	synaptic vesicle membrane [GO:0030672]	25.33
Glycerophospholipid	axon [GO:0030424]	25.33
Glycerophospholipid	dendritic spine neck [GO:0044326]	25.33
Glycerophospholipid	synaptic vesicle [GO:0008021]	25.33
Glycerophospholipid	somatodendritic compartment [GO:0036477]	25.33
Glycerophospholipid	synaptic membrane [GO:0097060]	25.33
Glycerophospholipid	terminal bouton [GO:0043195]	25.33
Glycerophospholipid	cell surface [GO:0009986]	25.33
Glycerophospholipid	dendritic spine head [GO:0044327]	25.33
Glycerophospholipid	plasma membrane [GO:0005886]	25.33
Glycerophospholipid	presynapse [GO:0098793]	25.33
Glycerophospholipid	growth cone [GO:0030426]	25.33
Glycerophospholipid	protein-containing complex [GO:0032991]	25.33
Glycerophospholipid	dendrite cytoplasm [GO:0032839]	25.33
Glycerophospholipid	endoplasmic reticulum membrane [GO:0005789]	25.33
Glycerophospholipid	presynaptic active zone membrane [GO:0048787]	25.33
Glycerophospholipid	dendrite membrane [GO:0032590]	25.33
Glycerophospholipid	ionotropic glutamate receptor complex [GO:0008328]	25.33
Glycerophospholipid	synapse [GO:0045202]	25.33
Glycerophospholipid	postsynaptic density [GO:0014069]	25.33
Glycerophospholipid	Schaffer collateral - CA1 synapse [GO:0098685]	25.33
Glycerophospholipid	asymmetric synapse [GO:0032279]	25.33
Glycerophospholipid	endoplasmic reticulum [GO:0005783]	25.33
Glycerophospholipid	mitochondrion [GO:0005739]	11.3
Glycerophospholipid	mitochondrial inner membrane [GO:0005743]	11.3
Glycerophospholipid	plasma membrane [GO:0005886]	14.18
Glycerophospholipid	type I protein secretion system complex [GO:0030256]	14.18
Glycerophospholipid	photosystem II [GO:0009523]	4.7
Glycerophospholipid	plasma membrane-derived thylakoid membrane [GO:0031676]	4.7
Glycerophospholipid	mitochondrion [GO:0005739]	12.33
Glycerophospholipid	mitochondrial inner membrane [GO:0005743]	12.33
Glycerophospholipid	mitochondrial respiratory chain complex I [GO:0005747]	12.33
Glycerophospholipid	photosystem II [GO:0009523]	24.91
Glycerophospholipid	chloroplast thylakoid membrane [GO:0009535]	24.91
Glycerophospholipid	photosystem I [GO:0009522]	24.91
Glycerophospholipid	photosystem II [GO:0009523]	24.91
Glycerophospholipid	chloroplast thylakoid membrane [GO:0009535]	24.91
Glycerophospholipid	photosystem I [GO:0009522]	24.91
Glycerophospholipid	plasma membrane [GO:0005886]	19.99
Glycerophospholipid	mitochondrial inner membrane [GO:0005743]	18.16
Glycerophospholipid	respiratory chain complex IV [GO:0045277]	18.16
Glycerophospholipid	mitochondrial inner membrane [GO:0005743]	18.16
Glycerophospholipid	respiratory chain complex IV [GO:0045277]	18.16
Glycerophospholipid	membrane [GO:0016020]	25.52
Glycerophospholipid	plasma membrane respiratory chain complex I [GO:0045272]	25.52
Glycerophospholipid	respiratory chain complex I [GO:0045271]	25.52
Glycerophospholipid	plasma membrane [GO:0005886]	25.52
Glycerophospholipid	NADH dehydrogenase complex [GO:0030964]	25.52
Glycerophospholipid	membrane [GO:0016020]	25.87
Glycerophospholipid	apical plasma membrane [GO:0016324]	25.87
Glycerophospholipid	extracellular exosome [GO:0070062]	25.87
Glycerophospholipid	cytosol [GO:0005829]	25.87
Glycerophospholipid	plasma membrane [GO:0005886]	25.87
Glycerophospholipid	photosystem II [GO:0009523]	13.6
Glycerophospholipid	chloroplast thylakoid membrane [GO:0009535]	13.6
Glycerophospholipid	photosystem I [GO:0009522]	13.6
Glycerophospholipid	periplasmic space [GO:0042597]	12.81
Glycerophospholipid	photosystem II [GO:0009523]	3.15
Glycerophospholipid	plasma membrane-derived thylakoid membrane [GO:0031676]	3.15
Glycerophospholipid	photosystem II [GO:0009523]	3.15
Glycerophospholipid	plasma membrane-derived thylakoid membrane [GO:0031676]	3.15
Glycerophospholipid	cell body fiber [GO:0070852]	4.1
Glycerophospholipid	nuclear envelope [GO:0005635]	4.1
Glycerophospholipid	endosome [GO:0005768]	4.1
Glycerophospholipid	axolemma [GO:0030673]	4.1
Glycerophospholipid	glutamatergic synapse [GO:0098978]	4.1
Glycerophospholipid	inward rectifying potassium channel [GO:0008282]	4.1
Glycerophospholipid	plasma membrane [GO:0005886]	4.1
Glycerophospholipid	T-tubule [GO:0030315]	4.1
Glycerophospholipid	acrosomal vesicle [GO:0001669]	4.1
Glycerophospholipid	presynaptic membrane [GO:0042734]	4.1
Glycerophospholipid	sarcolemma [GO:0042383]	4.1
Glycerophospholipid	intercalated disc [GO:0014704]	4.1
Glycerophospholipid	neuronal cell body [GO:0043025]	4.1
Glycerophospholipid	photosystem II reaction center [GO:0009539]	23.55
Glycerophospholipid	plasma membrane-derived thylakoid membrane [GO:0031676]	23.55
Glycerophospholipid	photosystem II reaction center [GO:0009539]	23.55
Glycerophospholipid	plasma membrane-derived thylakoid membrane [GO:0031676]	23.55
Glycerophospholipid	photosystem II reaction center [GO:0009539]	3.68
Glycerophospholipid	plasma membrane-derived thylakoid membrane [GO:0031676]	3.68
Glycerophospholipid	plasma membrane [GO:0005886]	19.57
Glycerophospholipid	type I protein secretion system complex [GO:0030256]	19.57
Glycerophospholipid	postsynaptic density membrane [GO:0098839]	26.2
Glycerophospholipid	postsynaptic membrane [GO:0045211]	26.2
Glycerophospholipid	perikaryon [GO:0043204]	26.2
Glycerophospholipid	membrane [GO:0016020]	26.2
Glycerophospholipid	AMPA glutamate receptor complex [GO:0032281]	26.2
Glycerophospholipid	presynaptic membrane [GO:0042734]	26.2
Glycerophospholipid	dendrite [GO:0030425]	26.2
Glycerophospholipid	glutamatergic synapse [GO:0098978]	26.2
Glycerophospholipid	neuron projection [GO:0043005]	26.2
Glycerophospholipid	perisynaptic space [GO:0099544]	26.2
Glycerophospholipid	spine synapse [GO:0106033]	26.2
Glycerophospholipid	dendritic shaft [GO:0043198]	26.2
Glycerophospholipid	dendritic spine [GO:0043197]	26.2
Glycerophospholipid	neuronal cell body [GO:0043025]	26.2
Glycerophospholipid	synaptic vesicle membrane [GO:0030672]	26.2
Glycerophospholipid	axon [GO:0030424]	26.2
Glycerophospholipid	dendritic spine neck [GO:0044326]	26.2
Glycerophospholipid	synaptic vesicle [GO:0008021]	26.2
Glycerophospholipid	somatodendritic compartment [GO:0036477]	26.2
Glycerophospholipid	synaptic membrane [GO:0097060]	26.2
Glycerophospholipid	terminal bouton [GO:0043195]	26.2
Glycerophospholipid	cell surface [GO:0009986]	26.2
Glycerophospholipid	dendritic spine head [GO:0044327]	26.2
Glycerophospholipid	plasma membrane [GO:0005886]	26.2
Glycerophospholipid	presynapse [GO:0098793]	26.2
Glycerophospholipid	growth cone [GO:0030426]	26.2
Glycerophospholipid	protein-containing complex [GO:0032991]	26.2
Glycerophospholipid	dendrite cytoplasm [GO:0032839]	26.2
Glycerophospholipid	endoplasmic reticulum membrane [GO:0005789]	26.2
Glycerophospholipid	presynaptic active zone membrane [GO:0048787]	26.2
Glycerophospholipid	dendrite membrane [GO:0032590]	26.2
Glycerophospholipid	ionotropic glutamate receptor complex [GO:0008328]	26.2
Glycerophospholipid	synapse [GO:0045202]	26.2
Glycerophospholipid	postsynaptic density [GO:0014069]	26.2
Glycerophospholipid	Schaffer collateral - CA1 synapse [GO:0098685]	26.2
Glycerophospholipid	asymmetric synapse [GO:0032279]	26.2
Glycerophospholipid	endoplasmic reticulum [GO:0005783]	26.2
Glycerophospholipid	mitochondrial inner membrane [GO:0005743]	16.45
Glycerophospholipid	photosystem II [GO:0009523]	19.83
Glycerophospholipid	chloroplast thylakoid membrane [GO:0009535]	19.83
Glycerophospholipid	photosystem II [GO:0009523]	19.83
Glycerophospholipid	chloroplast thylakoid membrane [GO:0009535]	19.83
Glycerophospholipid	mitochondrial respiratory chain complex IV [GO:0005751]	32.15
Glycerophospholipid	mitochondrion [GO:0005739]	19.23
Glycerophospholipid	mitochondrial inner membrane [GO:0005743]	19.23
Glycerophospholipid	mitochondrial respiratory chain complex I [GO:0005747]	19.23
Glycerophospholipid	photosystem II [GO:0009523]	23.68
Glycerophospholipid	plasma membrane-derived thylakoid membrane [GO:0031676]	23.68
Glycerophospholipid	photosystem II [GO:0009523]	23.68
Glycerophospholipid	plasma membrane-derived thylakoid membrane [GO:0031676]	23.68
Glycerophospholipid	photosystem II [GO:0009523]	23.8
Glycerophospholipid	plasma membrane-derived thylakoid membrane [GO:0031676]	23.8
Glycerophospholipid	photosystem II [GO:0009523]	23.8
Glycerophospholipid	plasma membrane-derived thylakoid membrane [GO:0031676]	23.8
Glycerophospholipid	mitochondrion [GO:0005739]	10.4
Glycerophospholipid	mitochondrial respiratory chain complex I [GO:0005747]	10.4
Glycerophospholipid	cytoplasm [GO:0005737]	10.4
Glycerophospholipid	mitochondrial respirasome [GO:0005746]	10.4
Glycerophospholipid	nucleoplasm [GO:0005654]	10.4
Glycerophospholipid	mitochondrion [GO:0005739]	13.63
Glycerophospholipid	mitochondrial respiratory chain complex I [GO:0005747]	17.7
Glycerophospholipid	membrane [GO:0016020]	21.7
Glycerophospholipid	methane monooxygenase complex [GO:0015050]	21.7
Glycerophospholipid	mitochondrial inner membrane [GO:0005743]	13.35
Glycerophospholipid	mitochondrial respiratory chain complex I [GO:0005747]	13.35
Glycerophospholipid	mitochondrial respiratory chain complex IV [GO:0005751]	21.63
Glycerophospholipid	respiratory chain complex IV [GO:0045277]	21.63
Glycerophospholipid	membrane [GO:0016020]	24.78
Glycerophospholipid	Z disc [GO:0030018]	24.78
Glycerophospholipid	ankyrin-1 complex [GO:0170014]	24.78
Glycerophospholipid	extracellular exosome [GO:0070062]	24.78
Glycerophospholipid	plasma membrane [GO:0005886]	24.78
Glycerophospholipid	basolateral plasma membrane [GO:0016323]	24.78
Glycerophospholipid	blood microparticle [GO:0072562]	24.78
Glycerophospholipid	cytoplasmic side of plasma membrane [GO:0009898]	24.78
Glycerophospholipid	cortical cytoskeleton [GO:0030863]	24.78
Glycerophospholipid	mitochondrial inner membrane [GO:0005743]	30.9
Glycerophospholipid	respiratory chain complex IV [GO:0045277]	30.9
Glycerophospholipid	plasma membrane [GO:0005886]	9.85
Glycerophospholipid	dendrite [GO:0030425]	9.85
Glycerophospholipid	calcium channel complex [GO:0034704]	9.85
Glycerophospholipid	growth cone [GO:0030426]	9.85
Glycerophospholipid	cation channel complex [GO:0034703]	9.85
Glycerophospholipid	neuronal cell body [GO:0043025]	9.85
Glycerophospholipid	mitochondrion [GO:0005739]	12.62
Glycerophospholipid	mitochondrial matrix [GO:0005759]	12.62
Glycerophospholipid	photosystem II [GO:0009523]	15.95
Glycerophospholipid	plasma membrane-derived thylakoid membrane [GO:0031676]	15.95
Glycerophospholipid	organelle inner membrane [GO:0019866]	18.58
Glycerophospholipid	plasma membrane [GO:0005886]	18.58
Glycerophospholipid	plasma membrane light-harvesting complex [GO:0030077]	18.58
Glycerophospholipid	photosystem II reaction center [GO:0009539]	4.12
Glycerophospholipid	plasma membrane-derived thylakoid membrane [GO:0031676]	4.12
Glycerophospholipid	photosystem II reaction center [GO:0009539]	4.12
Glycerophospholipid	plasma membrane-derived thylakoid membrane [GO:0031676]	4.12
Glycerophospholipid	plasma membrane [GO:0005886]	-1.0
Glycerophospholipid	tertiary granule membrane [GO:0070821]	25.15
Glycerophospholipid	specific granule membrane [GO:0035579]	25.15
Glycerophospholipid	nuclear envelope [GO:0005635]	25.15
Glycerophospholipid	plasma membrane [GO:0005886]	25.15
Glycerophospholipid	NADPH oxidase complex [GO:0043020]	25.15
Glycerophospholipid	dendrite [GO:0030425]	25.15
Glycerophospholipid	perinuclear endoplasmic reticulum [GO:0097038]	25.15
Glycerophospholipid	endoplasmic reticulum membrane [GO:0005789]	25.15
Glycerophospholipid	phagocytic vesicle membrane [GO:0030670]	25.15
Glycerophospholipid	neuronal cell body [GO:0043025]	25.15
Glycerophospholipid	monoatomic ion channel complex [GO:0034702]	25.15
Glycerophospholipid	membrane [GO:0016020]	3.55
Glycerophospholipid	plastid [GO:0009536]	3.55
Glycerophospholipid	light-harvesting complex [GO:0030076]	3.55
Glycerophospholipid	membrane [GO:0016020]	23.59
