class	GO_CC	as_max_dst
Polyketide	protein-containing complex [GO:0032991]	16.69
Polyketide	axonal growth cone [GO:0044295]	16.69
Polyketide	perinuclear region of cytoplasm [GO:0048471]	16.69
Polyketide	cytosol [GO:0005829]	16.69
Polyketide	extracellular exosome [GO:0070062]	16.69
Polyketide	nucleoplasm [GO:0005654]	16.69
Polyketide	microtubule [GO:0005874]	16.69
Polyketide	mitochondrion [GO:0005739]	16.69
Polyketide	cytoplasm [GO:0005737]	16.69
Polyketide	neuronal cell body [GO:0043025]	16.69
Polyketide	periplasmic space [GO:0042597]	12.6
Polyketide	intracellular membrane-bounded organelle [GO:0043231]	18.53
Polyketide	endoplasmic reticulum membrane [GO:0005789]	18.53
Polyketide	lysosomal lumen [GO:0043202]	11.75
Polyketide	basolateral plasma membrane [GO:0016323]	11.75
Polyketide	secretory granule lumen [GO:0034774]	11.75
Polyketide	extracellular exosome [GO:0070062]	11.75
Polyketide	nucleoplasm [GO:0005654]	11.75
Polyketide	brush border membrane [GO:0031526]	11.75
Polyketide	cytoplasm [GO:0005737]	11.75
Polyketide	cell surface [GO:0009986]	11.75
Polyketide	neuronal cell body [GO:0043025]	11.75
Polyketide	endocytic vesicle lumen [GO:0071682]	11.75
Polyketide	melanosome [GO:0042470]	11.75
Polyketide	protein-containing complex [GO:0032991]	11.75
Polyketide	axonal growth cone [GO:0044295]	11.75
Polyketide	perinuclear region of cytoplasm [GO:0048471]	11.75
Polyketide	cytosol [GO:0005829]	11.75
Polyketide	sperm mitochondrial sheath [GO:0097226]	11.75
Polyketide	membrane [GO:0016020]	11.75
Polyketide	extracellular region [GO:0005576]	11.75
Polyketide	nucleus [GO:0005634]	11.75
Polyketide	sperm plasma membrane [GO:0097524]	11.75
Polyketide	collagen-containing extracellular matrix [GO:0062023]	11.75
Polyketide	myelin sheath [GO:0043209]	11.75
Polyketide	apical plasma membrane [GO:0016324]	11.75
Polyketide	ficolin-1-rich granule lumen [GO:1904813]	11.75
Polyketide	dendritic growth cone [GO:0044294]	11.75
Polyketide	plasma membrane [GO:0005886]	11.75
Polyketide	mitochondrion [GO:0005739]	11.75
Polyketide	DNA-directed RNA polymerase complex [GO:0000428]	27.33
Polyketide	protein kinase CK2 complex [GO:0005956]	14.26
Polyketide	cytosol [GO:0005829]	14.26
Polyketide	nucleoplasm [GO:0005654]	14.26
Polyketide	chromatin [GO:0000785]	14.26
Polyketide	nucleus [GO:0005634]	14.26
Polyketide	acrosomal vesicle [GO:0001669]	14.26
Polyketide	lysosomal lumen [GO:0043202]	12.94
Polyketide	basolateral plasma membrane [GO:0016323]	12.94
Polyketide	secretory granule lumen [GO:0034774]	12.94
Polyketide	extracellular exosome [GO:0070062]	12.94
Polyketide	nucleoplasm [GO:0005654]	12.94
Polyketide	brush border membrane [GO:0031526]	12.94
Polyketide	cytoplasm [GO:0005737]	12.94
Polyketide	cell surface [GO:0009986]	12.94
Polyketide	neuronal cell body [GO:0043025]	12.94
Polyketide	endocytic vesicle lumen [GO:0071682]	12.94
