class	GO_CC	as_max_dst
Prenol	protein-containing complex [GO:0032991]	17.0
Prenol	Cul3-RING ubiquitin ligase complex [GO:0031463]	17.0
Prenol	endoplasmic reticulum [GO:0005783]	17.0
Prenol	centriolar satellite [GO:0034451]	17.0
Prenol	focal adhesion [GO:0005925]	17.0
Prenol	actin filament [GO:0005884]	17.0
Prenol	cytosol [GO:0005829]	17.0
Prenol	nucleoplasm [GO:0005654]	17.0
Prenol	inclusion body [GO:0016234]	17.0
Prenol	adherens junction [GO:0005912]	17.0
Prenol	midbody [GO:0030496]	17.0
Prenol	cytoplasm [GO:0005737]	17.0
Prenol	photosystem II [GO:0009523]	14.9
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	14.9
Prenol	plasma membrane [GO:0005886]	16.8
Prenol	organelle inner membrane [GO:0019866]	16.8
Prenol	plasma membrane light-harvesting complex [GO:0030077]	16.8
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	16.75
Prenol	photosystem I [GO:0009522]	16.75
Prenol	plasma membrane [GO:0005886]	14.06
Prenol	cytosol [GO:0005829]	4.21
Prenol	nucleoplasm [GO:0005654]	4.21
Prenol	receptor complex [GO:0043235]	4.21
Prenol	mitochondrion [GO:0005739]	4.21
Prenol	RNA polymerase II transcription regulator complex [GO:0090575]	4.21
Prenol	chromatin [GO:0000785]	4.21
Prenol	transcription regulator complex [GO:0005667]	4.21
Prenol	nucleus [GO:0005634]	4.21
Prenol	oligosaccharyltransferase complex [GO:0008250]	34.34
Prenol	oligosaccharyltransferase III complex [GO:0035000]	34.34
Prenol	membrane [GO:0016020]	34.34
Prenol	endoplasmic reticulum membrane [GO:0005789]	34.34
Prenol	photosystem II [GO:0009523]	19.37
Prenol	chloroplast thylakoid membrane [GO:0009535]	19.37
Prenol	photosystem II [GO:0009523]	19.37
Prenol	chloroplast thylakoid membrane [GO:0009535]	19.37
Prenol	periplasmic space [GO:0042597]	10.7
Prenol	photosystem II [GO:0009523]	29.75
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	29.75
Prenol	membrane [GO:0016020]	13.95
Prenol	light-harvesting complex [GO:0030076]	13.95
Prenol	plastid [GO:0009536]	13.95
Prenol	photosystem II [GO:0009523]	20.54
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	20.54
Prenol	photosystem II [GO:0009523]	20.54
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	20.54
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	30.54
Prenol	photosystem I [GO:0009522]	30.54
Prenol	nucleoplasm [GO:0005654]	12.33
Prenol	cytoplasm [GO:0005737]	12.33
Prenol	cytosol [GO:0005829]	12.33
Prenol	photosystem II [GO:0009523]	31.66
Prenol	chloroplast thylakoid membrane [GO:0009535]	31.66
Prenol	photosystem I [GO:0009522]	31.66
Prenol	photosystem II [GO:0009523]	26.71
Prenol	chloroplast thylakoid membrane [GO:0009535]	26.71
Prenol	mitochondrion [GO:0005739]	18.95
Prenol	nucleoplasm [GO:0005654]	18.95
Prenol	mitochondrial respiratory chain complex I [GO:0005747]	18.95
Prenol	mitochondrial inner membrane [GO:0005743]	18.95
Prenol	photosystem II [GO:0009523]	29.78
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	29.78
Prenol	photosystem II [GO:0009523]	29.78
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	29.78
Prenol	photosystem II [GO:0009523]	33.07
Prenol	chloroplast thylakoid membrane [GO:0009535]	33.07
Prenol	photosystem I [GO:0009522]	33.07
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	23.66
Prenol	photosystem I [GO:0009522]	23.66
Prenol	plasma membrane [GO:0005886]	17.17
Prenol	organelle inner membrane [GO:0019866]	17.17
Prenol	plasma membrane light-harvesting complex [GO:0030077]	17.17
Prenol	ubiquinone biosynthesis complex [GO:0110142]	14.58
Prenol	mitochondrion [GO:0005739]	14.58
Prenol	mitochondrial inner membrane [GO:0005743]	14.58
Prenol	sperm head plasma membrane [GO:1990913]	9.87
Prenol	photoreceptor outer segment membrane [GO:0042622]	9.87
Prenol	cell-cell junction [GO:0005911]	9.87
Prenol	Golgi membrane [GO:0000139]	9.87
Prenol	photoreceptor disc membrane [GO:0097381]	9.87
Prenol	plasma membrane [GO:0005886]	9.87
Prenol	membrane [GO:0016020]	9.87
Prenol	photoreceptor outer segment [GO:0001750]	9.87
Prenol	rod photoreceptor outer segment [GO:0120200]	9.87
Prenol	photoreceptor inner segment membrane [GO:0060342]	9.87
Prenol	outer membrane [GO:0019867]	9.87
Prenol	G protein-coupled receptor complex [GO:0097648]	9.87
Prenol	sperm midpiece [GO:0097225]	9.87
Prenol	photosystem II reaction center [GO:0009539]	12.56
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	12.56
Prenol	lipid droplet [GO:0005811]	13.69
Prenol	nucleoplasm [GO:0005654]	13.69
Prenol	nucleus [GO:0005634]	13.69
Prenol	cytosol [GO:0005829]	13.69
Prenol	photosystem I reaction center [GO:0009538]	24.78
Prenol	chloroplast thylakoid lumen [GO:0009543]	24.78
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	18.1
Prenol	photosystem I [GO:0009522]	18.1
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	18.1
Prenol	photosystem I [GO:0009522]	18.1
Prenol	chloroplast thylakoid membrane [GO:0009535]	31.78
Prenol	photosystem I [GO:0009522]	31.78
Prenol	plastid [GO:0009536]	31.78
Prenol	plastoglobule [GO:0010287]	31.78
Prenol	chloroplast thylakoid [GO:0009534]	31.78
Prenol	chloroplast [GO:0009507]	31.78
Prenol	chloroplast envelope [GO:0009941]	31.78
Prenol	thylakoid [GO:0009579]	31.78
Prenol	photosystem II reaction center [GO:0009539]	17.8
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	17.8
Prenol	photosystem II reaction center [GO:0009539]	17.8
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	17.8
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	16.2
Prenol	photosystem I [GO:0009522]	16.2
Prenol	photosystem II [GO:0009523]	24.2
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	24.2
Prenol	photosystem II [GO:0009523]	24.2
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	24.2
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	28.84
Prenol	photosystem I reaction center [GO:0009538]	28.84
Prenol	plasma membrane-derived photosystem I [GO:0030094]	28.84
Prenol	plasma membrane light-harvesting complex [GO:0030077]	37.65
Prenol	plasma membrane-derived chromatophore membrane [GO:0042717]	37.65
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	23.02
Prenol	photosystem I [GO:0009522]	23.02
Prenol	plasma membrane light-harvesting complex [GO:0030077]	10.06
Prenol	plasma membrane-derived chromatophore membrane [GO:0042717]	10.06
Prenol	membrane [GO:0016020]	18.51
Prenol	chloroplast [GO:0009507]	18.51
Prenol	light-harvesting complex [GO:0030076]	18.51
Prenol	thylakoid [GO:0009579]	18.51
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	20.06
