class	GO_CC	as_max_dst
Saccharolipid	Golgi medial cisterna [GO:0005797]	21.67
Saccharolipid	Golgi membrane [GO:0000139]	21.67
Saccharolipid	perinuclear region of cytoplasm [GO:0048471]	21.67
Saccharolipid	cytosol [GO:0005829]	14.75
Saccharolipid	cytosol [GO:0005829]	14.19
Saccharolipid	cytoplasm [GO:0005737]	14.89
Saccharolipid	cytoplasm [GO:0005737]	13.08
Saccharolipid	cytoplasm [GO:0005737]	13.5
Saccharolipid	cytosol [GO:0005829]	15.9
Saccharolipid	cytosol [GO:0005829]	13.94
Saccharolipid	cytosol [GO:0005829]	18.7
Saccharolipid	cytosol [GO:0005829]	18.94
Saccharolipid	cytosol [GO:0005829]	19.12
Saccharolipid	cytosol [GO:0005829]	19.49
Saccharolipid	cytosol [GO:0005829]	18.48
Saccharolipid	cytosol [GO:0005829]	17.95
Saccharolipid	cytosol [GO:0005829]	15.8
Saccharolipid	plasma membrane [GO:0005886]	15.8
Saccharolipid	nucleoplasm [GO:0005654]	15.8
Saccharolipid	cytosol [GO:0005829]	-1.0
Saccharolipid	plasma membrane [GO:0005886]	-1.0
Saccharolipid	nucleoplasm [GO:0005654]	-1.0
Saccharolipid	cytosol [GO:0005829]	1.96
Saccharolipid	plasma membrane [GO:0005886]	1.96
Saccharolipid	nucleoplasm [GO:0005654]	1.96
Saccharolipid	cytosol [GO:0005829]	15.9
Saccharolipid	plasma membrane [GO:0005886]	15.9
Saccharolipid	nucleoplasm [GO:0005654]	15.9
Saccharolipid	cytosol [GO:0005829]	15.44
Saccharolipid	plasma membrane [GO:0005886]	15.44
Saccharolipid	nucleoplasm [GO:0005654]	15.44
Saccharolipid	cytosol [GO:0005829]	5.0
Saccharolipid	plasma membrane [GO:0005886]	5.0
Saccharolipid	nucleoplasm [GO:0005654]	5.0
Saccharolipid	cytosol [GO:0005829]	3.94
Saccharolipid	plasma membrane [GO:0005886]	3.94
Saccharolipid	nucleoplasm [GO:0005654]	3.94
Saccharolipid	cytosol [GO:0005829]	16.97
Saccharolipid	plasma membrane [GO:0005886]	16.97
Saccharolipid	nucleoplasm [GO:0005654]	16.97
Saccharolipid	cytosol [GO:0005829]	18.87
Saccharolipid	cytoplasm [GO:0005737]	18.87
Saccharolipid	cytosol [GO:0005829]	19.9
Saccharolipid	cytoplasm [GO:0005737]	19.9
Saccharolipid	plasma membrane [GO:0005886]	20.09
Saccharolipid	plasma membrane [GO:0005886]	16.02
Saccharolipid	cytosol [GO:0005829]	16.76
Saccharolipid	nucleoplasm [GO:0005654]	16.76
Saccharolipid	endoplasmic reticulum [GO:0005783]	16.76
Saccharolipid	endoplasmic reticulum membrane [GO:0005789]	16.76
Saccharolipid	cytosol [GO:0005829]	15.8
Saccharolipid	nucleoplasm [GO:0005654]	15.8
Saccharolipid	endoplasmic reticulum [GO:0005783]	15.8
Saccharolipid	endoplasmic reticulum membrane [GO:0005789]	15.8
Saccharolipid	cytosol [GO:0005829]	17.66
Saccharolipid	cytosol [GO:0005829]	18.26
Saccharolipid	cytosol [GO:0005829]	18.75
Saccharolipid	receptor complex [GO:0043235]	21.52
Saccharolipid	extracellular region [GO:0005576]	21.52
Saccharolipid	endosome membrane [GO:0010008]	21.52
Saccharolipid	plasma membrane [GO:0005886]	21.52
Saccharolipid	lipopolysaccharide receptor complex [GO:0046696]	21.52
Saccharolipid	cytosol [GO:0005829]	12.38
Saccharolipid	cytoplasm [GO:0005737]	12.38
Saccharolipid	cytosol [GO:0005829]	15.4
Saccharolipid	cytosol [GO:0005829]	11.92
Saccharolipid	cytosol [GO:0005829]	15.56
Saccharolipid	cytosol [GO:0005829]	12.76
Saccharolipid	cytosol [GO:0005829]	15.33
Saccharolipid	cytosol [GO:0005829]	12.42
Saccharolipid	cytosol [GO:0005829]	18.31
Saccharolipid	cytoplasm [GO:0005737]	18.31
Saccharolipid	cytoplasm [GO:0005737]	19.03
Saccharolipid	cytoplasm [GO:0005737]	18.7
Saccharolipid	cytoplasm [GO:0005737]	15.35
Saccharolipid	cytoplasm [GO:0005737]	16.13
Saccharolipid	cytoplasm [GO:0005737]	16.05
Saccharolipid	cytoplasm [GO:0005737]	16.7
Saccharolipid	cytoplasm [GO:0005737]	15.63
Saccharolipid	cytoplasm [GO:0005737]	14.47
Saccharolipid	cytosol [GO:0005829]	15.79
Saccharolipid	cytosol [GO:0005829]	16.16
Saccharolipid	cytoplasm [GO:0005737]	17.95
Saccharolipid	extracellular region [GO:0005576]	21.14
Saccharolipid	extracellular region [GO:0005576]	20.57
Saccharolipid	plasma membrane [GO:0005886]	29.35
Saccharolipid	early endosome [GO:0005769]	29.35
Saccharolipid	recycling endosome [GO:0055037]	29.35
Saccharolipid	specific granule [GO:0042581]	29.35
Saccharolipid	extracellular space [GO:0005615]	29.35
Saccharolipid	extracellular region [GO:0005576]	18.37
Saccharolipid	plasma membrane [GO:0005886]	19.44
Saccharolipid	cytoplasm [GO:0005737]	14.53
Saccharolipid	cytoplasm [GO:0005737]	14.27
Saccharolipid	cytoplasm [GO:0005737]	17.46
Saccharolipid	cytoplasm [GO:0005737]	-1.0
Saccharolipid	cytoplasm [GO:0005737]	16.78
Saccharolipid	cytoplasm [GO:0005737]	19.14
Saccharolipid	cytoplasm [GO:0005737]	17.83
Saccharolipid	cytoplasm [GO:0005737]	19.54
Saccharolipid	cytoplasm [GO:0005737]	19.49
Saccharolipid	cytoplasm [GO:0005737]	16.97
Saccharolipid	cytoplasm [GO:0005737]	16.81
Saccharolipid	cytoplasm [GO:0005737]	18.86
Saccharolipid	cytoplasm [GO:0005737]	16.84
Saccharolipid	cytoplasm [GO:0005737]	18.61
Saccharolipid	cytoplasm [GO:0005737]	17.22
Saccharolipid	cytoplasm [GO:0005737]	17.67
Saccharolipid	cytoplasm [GO:0005737]	16.97
Saccharolipid	cytoplasm [GO:0005737]	16.46
Saccharolipid	receptor complex [GO:0043235]	17.99
Saccharolipid	extracellular region [GO:0005576]	17.99
Saccharolipid	plasma membrane [GO:0005886]	17.99
Saccharolipid	lipopolysaccharide receptor complex [GO:0046696]	17.99
Saccharolipid	receptor complex [GO:0043235]	17.98
Saccharolipid	extracellular region [GO:0005576]	17.98
Saccharolipid	plasma membrane [GO:0005886]	17.98
Saccharolipid	lipopolysaccharide receptor complex [GO:0046696]	17.98
Saccharolipid	receptor complex [GO:0043235]	21.75
Saccharolipid	extracellular region [GO:0005576]	21.75
Saccharolipid	plasma membrane [GO:0005886]	21.75
Saccharolipid	lipopolysaccharide receptor complex [GO:0046696]	21.75
Saccharolipid	receptor complex [GO:0043235]	18.07
Saccharolipid	extracellular region [GO:0005576]	18.07
Saccharolipid	plasma membrane [GO:0005886]	18.07
Saccharolipid	lipopolysaccharide receptor complex [GO:0046696]	18.07
Saccharolipid	cytoplasm [GO:0005737]	20.38
Saccharolipid	cytoplasm [GO:0005737]	20.44
Saccharolipid	cytoplasm [GO:0005737]	14.37
Saccharolipid	cytoplasm [GO:0005737]	14.73
Saccharolipid	cytoplasm [GO:0005737]	14.61
Saccharolipid	receptor complex [GO:0043235]	20.2
Saccharolipid	extracellular region [GO:0005576]	20.2
Saccharolipid	endosome membrane [GO:0010008]	20.2
Saccharolipid	plasma membrane [GO:0005886]	20.2
Saccharolipid	lipopolysaccharide receptor complex [GO:0046696]	20.2
Saccharolipid	receptor complex [GO:0043235]	19.62
Saccharolipid	extracellular region [GO:0005576]	19.62
Saccharolipid	endosome membrane [GO:0010008]	19.62
Saccharolipid	plasma membrane [GO:0005886]	19.62
Saccharolipid	lipopolysaccharide receptor complex [GO:0046696]	19.62
Saccharolipid	extracellular region [GO:0005576]	13.6
Saccharolipid	extracellular region [GO:0005576]	17.74
Saccharolipid	extracellular region [GO:0005576]	22.94
Saccharolipid	mitochondrial membrane [GO:0031966]	18.64
Saccharolipid	cytosol [GO:0005829]	18.64
Saccharolipid	glutamatergic synapse [GO:0098978]	18.64
Saccharolipid	histone acetyltransferase complex [GO:0000123]	18.64
Saccharolipid	plasma membrane [GO:0005886]	18.64
Saccharolipid	nucleoplasm [GO:0005654]	18.64
Saccharolipid	NSL complex [GO:0044545]	18.64
Saccharolipid	protein-containing complex [GO:0032991]	18.64
Saccharolipid	protein N-acetylglucosaminyltransferase complex [GO:0017122]	18.64
Saccharolipid	cell projection [GO:0042995]	18.64
Saccharolipid	nucleus [GO:0005634]	18.64
Saccharolipid	mitochondrial membrane [GO:0031966]	18.7
Saccharolipid	cytosol [GO:0005829]	18.7
Saccharolipid	glutamatergic synapse [GO:0098978]	18.7
Saccharolipid	histone acetyltransferase complex [GO:0000123]	18.7
Saccharolipid	plasma membrane [GO:0005886]	18.7
Saccharolipid	nucleoplasm [GO:0005654]	18.7
Saccharolipid	NSL complex [GO:0044545]	18.7
Saccharolipid	protein-containing complex [GO:0032991]	18.7
Saccharolipid	protein N-acetylglucosaminyltransferase complex [GO:0017122]	18.7
Saccharolipid	cell projection [GO:0042995]	18.7
Saccharolipid	nucleus [GO:0005634]	18.7
Saccharolipid	mitochondrial membrane [GO:0031966]	18.64
Saccharolipid	cytosol [GO:0005829]	18.64
Saccharolipid	glutamatergic synapse [GO:0098978]	18.64
Saccharolipid	histone acetyltransferase complex [GO:0000123]	18.64
Saccharolipid	plasma membrane [GO:0005886]	18.64
Saccharolipid	nucleoplasm [GO:0005654]	18.64
Saccharolipid	NSL complex [GO:0044545]	18.64
Saccharolipid	protein-containing complex [GO:0032991]	18.64
Saccharolipid	protein N-acetylglucosaminyltransferase complex [GO:0017122]	18.64
Saccharolipid	cell projection [GO:0042995]	18.64
Saccharolipid	nucleus [GO:0005634]	18.64
Saccharolipid	mitochondrial membrane [GO:0031966]	18.37
Saccharolipid	cytosol [GO:0005829]	18.37
Saccharolipid	glutamatergic synapse [GO:0098978]	18.37
Saccharolipid	histone acetyltransferase complex [GO:0000123]	18.37
Saccharolipid	plasma membrane [GO:0005886]	18.37
Saccharolipid	nucleoplasm [GO:0005654]	18.37
Saccharolipid	NSL complex [GO:0044545]	18.37
Saccharolipid	protein-containing complex [GO:0032991]	18.37
Saccharolipid	protein N-acetylglucosaminyltransferase complex [GO:0017122]	18.37
Saccharolipid	cell projection [GO:0042995]	18.37
Saccharolipid	nucleus [GO:0005634]	18.37
Saccharolipid	plasma membrane [GO:0005886]	11.19
Saccharolipid	plasma membrane [GO:0005886]	14.78
Saccharolipid	membrane [GO:0016020]	16.64
Saccharolipid	extracellular region [GO:0005576]	16.64
Saccharolipid	host cell plasma membrane [GO:0020002]	16.64
Saccharolipid	membrane [GO:0016020]	22.3
Saccharolipid	extracellular region [GO:0005576]	22.3
Saccharolipid	host cell plasma membrane [GO:0020002]	22.3
Saccharolipid	mitochondrial membrane [GO:0031966]	19.09
Saccharolipid	cytosol [GO:0005829]	19.09
Saccharolipid	glutamatergic synapse [GO:0098978]	19.09
Saccharolipid	histone acetyltransferase complex [GO:0000123]	19.09
Saccharolipid	plasma membrane [GO:0005886]	19.09
Saccharolipid	nucleoplasm [GO:0005654]	19.09
Saccharolipid	NSL complex [GO:0044545]	19.09
Saccharolipid	protein-containing complex [GO:0032991]	19.09
Saccharolipid	protein N-acetylglucosaminyltransferase complex [GO:0017122]	19.09
Saccharolipid	cell projection [GO:0042995]	19.09
Saccharolipid	nucleus [GO:0005634]	19.09
Saccharolipid	cytoplasm [GO:0005737]	18.69
Saccharolipid	extracellular region [GO:0005576]	21.0
Saccharolipid	cytoplasm [GO:0005737]	15.32
Saccharolipid	cytoplasm [GO:0005737]	15.59
Saccharolipid	cytoplasm [GO:0005737]	16.66
Saccharolipid	cytoplasm [GO:0005737]	15.93
Saccharolipid	cytoplasm [GO:0005737]	27.28
Saccharolipid	cytoplasm [GO:0005737]	18.33
Saccharolipid	cytoplasm [GO:0005737]	23.49
Saccharolipid	extrinsic component of plasma membrane [GO:0019897]	23.49
Saccharolipid	cytoplasm [GO:0005737]	21.42
Saccharolipid	extrinsic component of plasma membrane [GO:0019897]	21.42
Saccharolipid	cytoplasm [GO:0005737]	23.47
Saccharolipid	extrinsic component of plasma membrane [GO:0019897]	23.47
Saccharolipid	cytoplasm [GO:0005737]	20.27
Saccharolipid	extrinsic component of plasma membrane [GO:0019897]	20.27
Saccharolipid	cytoplasm [GO:0005737]	21.52
Saccharolipid	extrinsic component of plasma membrane [GO:0019897]	21.52
Saccharolipid	cytoplasm [GO:0005737]	19.94
Saccharolipid	extrinsic component of plasma membrane [GO:0019897]	19.94
Saccharolipid	membrane [GO:0016020]	18.45
Saccharolipid	membrane [GO:0016020]	18.29
Saccharolipid	cytoplasm [GO:0005737]	14.95
Saccharolipid	cytoplasm [GO:0005737]	15.72
Saccharolipid	cytoplasm [GO:0005737]	17.11
Saccharolipid	cytoplasm [GO:0005737]	11.95
Saccharolipid	cytoplasm [GO:0005737]	6.7
Saccharolipid	cytoplasm [GO:0005737]	10.8
Saccharolipid	cytoplasm [GO:0005737]	12.9
Saccharolipid	cytoplasm [GO:0005737]	12.65
