class	GO_CC	as_max_dst
Sphingolipid	endocytic vesicle lumen [GO:0071682]	5.99
Sphingolipid	tertiary granule lumen [GO:1904724]	5.99
Sphingolipid	cytosol [GO:0005829]	5.99
Sphingolipid	ficolin-1-rich granule lumen [GO:1904813]	5.99
Sphingolipid	extracellular exosome [GO:0070062]	5.99
Sphingolipid	blood microparticle [GO:0072562]	5.99
Sphingolipid	extracellular region [GO:0005576]	5.99
Sphingolipid	extracellular space [GO:0005615]	5.99
Sphingolipid	hemoglobin complex [GO:0005833]	5.99
Sphingolipid	haptoglobin-hemoglobin complex [GO:0031838]	5.99
Sphingolipid	axon terminus [GO:0043679]	23.49
Sphingolipid	voltage-gated potassium channel complex [GO:0008076]	23.49
Sphingolipid	endoplasmic reticulum [GO:0005783]	23.49
Sphingolipid	cell surface [GO:0009986]	23.49
Sphingolipid	apical plasma membrane [GO:0016324]	23.49
Sphingolipid	plasma membrane [GO:0005886]	23.49
Sphingolipid	astrocyte projection [GO:0097449]	23.49
Sphingolipid	axon [GO:0030424]	23.49
Sphingolipid	calyx of Held [GO:0044305]	23.49
Sphingolipid	neuronal cell body [GO:0043025]	23.49
Sphingolipid	membrane raft [GO:0045121]	29.02
Sphingolipid	endosome membrane [GO:0010008]	29.02
Sphingolipid	plasma membrane [GO:0005886]	29.02
Sphingolipid	extracellular space [GO:0005615]	29.02
Sphingolipid	external side of plasma membrane [GO:0009897]	29.02
Sphingolipid	endoplasmic reticulum [GO:0005783]	23.4
Sphingolipid	secretory granule membrane [GO:0030667]	23.4
Sphingolipid	plasma membrane [GO:0005886]	23.4
Sphingolipid	endoplasmic reticulum membrane [GO:0005789]	23.4
Sphingolipid	SPOTS complex [GO:0035339]	23.4
Sphingolipid	specific granule membrane [GO:0035579]	23.4
Sphingolipid	cytoplasm [GO:0005737]	20.0
Sphingolipid	apical plasma membrane [GO:0016324]	27.6
Sphingolipid	gap junction [GO:0005921]	27.6
Sphingolipid	plasma membrane [GO:0005886]	27.6
Sphingolipid	endoplasmic reticulum [GO:0005783]	27.6
Sphingolipid	cytoplasm [GO:0005737]	-1.0
Sphingolipid	late endosome [GO:0005770]	29.25
Sphingolipid	endoplasmic reticulum [GO:0005783]	29.25
Sphingolipid	cytoplasm [GO:0005737]	29.25
Sphingolipid	endosome membrane [GO:0010008]	29.25
Sphingolipid	lysosome [GO:0005764]	29.25
Sphingolipid	early endosome [GO:0005769]	29.25
Sphingolipid	extracellular space [GO:0005615]	29.25
Sphingolipid	external side of plasma membrane [GO:0009897]	29.25
Sphingolipid	lysosomal membrane [GO:0005765]	29.25
