class	GO_CC	as_max_dst
Sterol	late endosome [GO:0005770]	20.84
Sterol	dendrite [GO:0030425]	20.84
Sterol	axonal growth cone [GO:0044295]	20.84
Sterol	endoplasmic reticulum [GO:0005783]	20.84
Sterol	Golgi apparatus [GO:0005794]	20.84
Sterol	ciliary membrane [GO:0060170]	20.84
Sterol	endocytic vesicle membrane [GO:0030666]	20.84
Sterol	cilium [GO:0005929]	20.84
Sterol	intracellular membrane-bounded organelle [GO:0043231]	20.84
Sterol	dendritic growth cone [GO:0044294]	20.84
Sterol	caveola [GO:0005901]	20.84
Sterol	plasma membrane [GO:0005886]	20.84
Sterol	centriole [GO:0005814]	20.84
Sterol	9+0 non-motile cilium [GO:0097731]	20.84
Sterol	cytoplasm [GO:0005737]	20.84
Sterol	endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]	20.84
Sterol	neuronal cell body [GO:0043025]	20.84
Sterol	neuron projection terminus [GO:0044306]	11.05
Sterol	vesicle [GO:0031982]	11.05
Sterol	cell body [GO:0044297]	11.05
Sterol	axolemma [GO:0030673]	11.05
Sterol	glutamatergic synapse [GO:0098978]	11.05
Sterol	membrane [GO:0016020]	11.05
Sterol	plasma membrane [GO:0005886]	11.05
Sterol	astrocyte projection [GO:0097449]	11.05
Sterol	membrane protein complex [GO:0098796]	11.05
Sterol	presynaptic membrane [GO:0042734]	11.05
Sterol	membrane raft [GO:0045121]	11.05
Sterol	cell surface [GO:0009986]	11.05
Sterol	mitochondrion [GO:0005739]	-1.0
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	-1.0
Sterol	mitochondrial respirasome [GO:0005746]	-1.0
Sterol	respiratory chain complex IV [GO:0045277]	-1.0
Sterol	nucleoplasm [GO:0005654]	10.91
Sterol	melanosome [GO:0042470]	20.43
Sterol	basolateral plasma membrane [GO:0016323]	20.43
Sterol	plasma membrane [GO:0005886]	20.43
Sterol	membrane [GO:0016020]	20.43
Sterol	axon [GO:0030424]	20.43
Sterol	sarcolemma [GO:0042383]	20.43
Sterol	sodium:potassium-exchanging ATPase complex [GO:0005890]	20.43
Sterol	plasma membrane [GO:0005886]	17.81
Sterol	lysosome [GO:0005764]	17.81
Sterol	plasma membrane [GO:0005886]	15.39
Sterol	membrane [GO:0016020]	15.39
Sterol	heterochromatin [GO:0000792]	18.27
Sterol	perinuclear region of cytoplasm [GO:0048471]	18.27
Sterol	dense fibrillar component [GO:0001651]	18.27
Sterol	receptor complex [GO:0043235]	18.27
Sterol	euchromatin [GO:0000791]	18.27
Sterol	nuclear matrix [GO:0016363]	18.27
Sterol	RNA polymerase II transcription regulator complex [GO:0090575]	18.27
Sterol	T-tubule [GO:0030315]	18.27
Sterol	nucleus [GO:0005634]	18.27
Sterol	respiratory chain complex IV [GO:0045277]	5.7
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	5.7
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	-1.0
Sterol	respiratory chain complex IV [GO:0045277]	-1.0
Sterol	mitochondrion [GO:0005739]	-1.0
Sterol	mitochondrial respirasome [GO:0005746]	-1.0
Sterol	membrane [GO:0016020]	20.8
Sterol	plasma membrane [GO:0005886]	20.8
Sterol	plasma membrane [GO:0005886]	22.26
Sterol	apical plasma membrane [GO:0016324]	22.26
Sterol	plasma membrane [GO:0005886]	15.27
Sterol	membrane [GO:0016020]	15.42
Sterol	endoplasmic reticulum membrane [GO:0005789]	15.42
Sterol	GPI-anchor transamidase complex [GO:0042765]	15.42
Sterol	plasma membrane [GO:0005886]	20.83
Sterol	membrane [GO:0016020]	20.83
Sterol	melanosome [GO:0042470]	17.02
Sterol	basolateral plasma membrane [GO:0016323]	17.02
Sterol	plasma membrane [GO:0005886]	17.02
Sterol	membrane [GO:0016020]	17.02
Sterol	axon [GO:0030424]	17.02
Sterol	sarcolemma [GO:0042383]	17.02
Sterol	sodium:potassium-exchanging ATPase complex [GO:0005890]	17.02
Sterol	plasma membrane [GO:0005886]	15.5
Sterol	lysosome [GO:0005764]	15.5
Sterol	endoplasmic reticulum-plasma membrane contact site [GO:0140268]	22.96
Sterol	mitochondrial membrane [GO:0031966]	22.96
Sterol	cortical endoplasmic reticulum [GO:0032541]	22.96
Sterol	endoplasmic reticulum membrane [GO:0005789]	22.96
Sterol	plasma membrane [GO:0005886]	22.96
Sterol	mitochondrion [GO:0005739]	22.96
Sterol	cell periphery [GO:0071944]	22.96
Sterol	cytoplasm [GO:0005737]	22.96
Sterol	endoplasmic reticulum membrane [GO:0005789]	18.91
Sterol	intracellular membrane-bounded organelle [GO:0043231]	15.27
Sterol	endoplasmic reticulum membrane [GO:0005789]	15.27
Sterol	cytosol [GO:0005829]	18.06
Sterol	nucleoplasm [GO:0005654]	18.06
Sterol	receptor complex [GO:0043235]	18.06
Sterol	RNA polymerase II transcription regulator complex [GO:0090575]	18.06
Sterol	chromatin [GO:0000785]	18.06
Sterol	nucleus [GO:0005634]	18.06
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	14.32
Sterol	respiratory chain complex IV [GO:0045277]	14.32
Sterol	plasma membrane [GO:0005886]	12.63
