class	GO_CC	hydrophobicity_score
Fatty Acyl	cytosol [GO:0005829]	25.62
Fatty Acyl	protein-containing complex [GO:0032991]	25.62
Fatty Acyl	apoptosome [GO:0043293]	25.62
Fatty Acyl	nucleus [GO:0005634]	25.62
Fatty Acyl	cytoplasm [GO:0005737]	31.37
Fatty Acyl	membrane [GO:0016020]	60.8
Fatty Acyl	membrane [GO:0016020]	12.25
Fatty Acyl	host multivesicular body [GO:0072494]	12.25
Fatty Acyl	viral nucleocapsid [GO:0019013]	12.25
Fatty Acyl	host cell plasma membrane [GO:0020002]	12.25
Fatty Acyl	virion membrane [GO:0055036]	12.25
Fatty Acyl	host cell nucleus [GO:0042025]	12.25
Fatty Acyl	pore complex [GO:0046930]	58.62
Fatty Acyl	cell outer membrane [GO:0009279]	58.62
Fatty Acyl	membrane [GO:0016020]	53.09
Fatty Acyl	cell-cell junction [GO:0005911]	53.09
Fatty Acyl	photoreceptor disc membrane [GO:0097381]	53.09
Fatty Acyl	G protein-coupled receptor complex [GO:0097648]	53.09
Fatty Acyl	plasma membrane [GO:0005886]	53.09
Fatty Acyl	sperm midpiece [GO:0097225]	53.09
Fatty Acyl	photoreceptor inner segment membrane [GO:0060342]	53.09
Fatty Acyl	photoreceptor outer segment [GO:0001750]	53.09
Fatty Acyl	photoreceptor outer segment membrane [GO:0042622]	53.09
Fatty Acyl	Golgi membrane [GO:0000139]	53.09
Fatty Acyl	outer membrane [GO:0019867]	53.09
Fatty Acyl	sperm head plasma membrane [GO:1990913]	53.09
Fatty Acyl	rod photoreceptor outer segment [GO:0120200]	53.09
Fatty Acyl	lysosomal lumen [GO:0043202]	-8.12
Fatty Acyl	extracellular exosome [GO:0070062]	-8.12
Fatty Acyl	azurophil granule lumen [GO:0035578]	-8.12
Fatty Acyl	cytoplasm [GO:0005737]	-8.12
Fatty Acyl	lysosome [GO:0005764]	-8.12
Fatty Acyl	Golgi apparatus [GO:0005794]	-8.12
Fatty Acyl	extracellular region [GO:0005576]	-8.12
Fatty Acyl	membrane [GO:0016020]	70.58
Fatty Acyl	cytosol [GO:0005829]	-2.5
Fatty Acyl	membrane [GO:0016020]	80.57
Fatty Acyl	plasma membrane [GO:0005886]	80.57
Fatty Acyl	membrane [GO:0016020]	31.0
Fatty Acyl	monoatomic ion channel complex [GO:0034702]	31.0
Fatty Acyl	pore complex [GO:0046930]	31.0
Fatty Acyl	cell outer membrane [GO:0009279]	31.0
Fatty Acyl	neuromuscular junction [GO:0031594]	63.0
Fatty Acyl	perikaryon [GO:0043204]	63.0
Fatty Acyl	membrane [GO:0016020]	63.0
