class	GO_CC	hydrophobicity_score
Glycerolipid	fungal-type vacuole [GO:0000324]	52.33
Glycerolipid	fungal-type vacuole membrane [GO:0000329]	52.33
Glycerolipid	fungal-type vacuole [GO:0000324]	62.7
Glycerolipid	fungal-type vacuole membrane [GO:0000329]	62.7
Glycerolipid	fungal-type vacuole [GO:0000324]	43.12
Glycerolipid	fungal-type vacuole membrane [GO:0000329]	43.12
Glycerolipid	fungal-type vacuole [GO:0000324]	56.0
Glycerolipid	fungal-type vacuole membrane [GO:0000329]	56.0
Glycerolipid	fungal-type vacuole [GO:0000324]	64.31
Glycerolipid	fungal-type vacuole membrane [GO:0000329]	64.31
Glycerolipid	fungal-type vacuole [GO:0000324]	70.1
Glycerolipid	fungal-type vacuole membrane [GO:0000329]	70.1
Glycerolipid	fungal-type vacuole [GO:0000324]	72.29
Glycerolipid	fungal-type vacuole membrane [GO:0000329]	72.29
Glycerolipid	fungal-type vacuole [GO:0000324]	67.33
Glycerolipid	fungal-type vacuole membrane [GO:0000329]	67.33
Glycerolipid	host cell cytoplasm [GO:0030430]	56.69
Glycerolipid	host cell cytoplasm [GO:0030430]	1.67
Glycerolipid	nucleoplasm [GO:0005654]	39.33
Glycerolipid	respiratory chain complex IV [GO:0045277]	39.33
Glycerolipid	cytosol [GO:0005829]	39.33
Glycerolipid	mitochondrial respiratory chain complex IV [GO:0005751]	39.33
Glycerolipid	host cell cytoplasm [GO:0030430]	47.57
Glycerolipid	host cell cytoplasm [GO:0030430]	56.14
Glycerolipid	host cell cytoplasm [GO:0030430]	50.57
Glycerolipid	host cell cytoplasm [GO:0030430]	74.33
Glycerolipid	plasma membrane [GO:0005886]	64.0
Glycerolipid	plasma membrane [GO:0005886]	64.0
Glycerolipid	external side of plasma membrane [GO:0009897]	66.91
Glycerolipid	cell surface [GO:0009986]	66.91
Glycerolipid	plasma membrane [GO:0005886]	66.91
Glycerolipid	cytoplasm [GO:0005737]	66.91
Glycerolipid	endosome [GO:0005768]	66.91
Glycerolipid	external side of plasma membrane [GO:0009897]	59.83
Glycerolipid	cell surface [GO:0009986]	59.83
Glycerolipid	plasma membrane [GO:0005886]	59.83
Glycerolipid	cytoplasm [GO:0005737]	59.83
Glycerolipid	endosome [GO:0005768]	59.83
Glycerolipid	external side of plasma membrane [GO:0009897]	39.2
Glycerolipid	cell surface [GO:0009986]	39.2
Glycerolipid	plasma membrane [GO:0005886]	39.2
Glycerolipid	cytoplasm [GO:0005737]	39.2
Glycerolipid	endosome [GO:0005768]	39.2
Glycerolipid	external side of plasma membrane [GO:0009897]	59.07
Glycerolipid	cell surface [GO:0009986]	59.07
Glycerolipid	plasma membrane [GO:0005886]	59.07
Glycerolipid	cytoplasm [GO:0005737]	59.07
Glycerolipid	endosome [GO:0005768]	59.07
Glycerolipid	respiratory chain complex IV [GO:0045277]	20.0
Glycerolipid	mitochondrial inner membrane [GO:0005743]	20.0
Glycerolipid	external side of plasma membrane [GO:0009897]	68.74
Glycerolipid	cell surface [GO:0009986]	68.74
Glycerolipid	plasma membrane [GO:0005886]	68.74
Glycerolipid	cytoplasm [GO:0005737]	68.74
Glycerolipid	endosome [GO:0005768]	68.74
Glycerolipid	external side of plasma membrane [GO:0009897]	49.54
Glycerolipid	cell surface [GO:0009986]	49.54
Glycerolipid	plasma membrane [GO:0005886]	49.54
Glycerolipid	cytoplasm [GO:0005737]	49.54
Glycerolipid	endosome [GO:0005768]	49.54
Glycerolipid	external side of plasma membrane [GO:0009897]	87.75
Glycerolipid	cell surface [GO:0009986]	87.75
Glycerolipid	plasma membrane [GO:0005886]	87.75
Glycerolipid	cytoplasm [GO:0005737]	87.75
