class	GO_CC	hydrophobicity_score
Glycerophospholipid	photosystem II [GO:0009523]	24.0
Glycerophospholipid	chloroplast thylakoid membrane [GO:0009535]	24.0
Glycerophospholipid	photosystem I [GO:0009522]	24.0
Glycerophospholipid	plasma membrane-derived chromatophore membrane [GO:0042717]	23.55
Glycerophospholipid	plasma membrane light-harvesting complex [GO:0030077]	23.55
Glycerophospholipid	T-tubule [GO:0030315]	59.5
Glycerophospholipid	inward rectifying potassium channel [GO:0008282]	59.5
Glycerophospholipid	nuclear envelope [GO:0005635]	59.5
Glycerophospholipid	sarcolemma [GO:0042383]	59.5
Glycerophospholipid	presynaptic membrane [GO:0042734]	59.5
Glycerophospholipid	glutamatergic synapse [GO:0098978]	59.5
Glycerophospholipid	axolemma [GO:0030673]	59.5
Glycerophospholipid	neuronal cell body [GO:0043025]	59.5
Glycerophospholipid	intercalated disc [GO:0014704]	59.5
Glycerophospholipid	acrosomal vesicle [GO:0001669]	59.5
Glycerophospholipid	plasma membrane [GO:0005886]	59.5
Glycerophospholipid	cell body fiber [GO:0070852]	59.5
Glycerophospholipid	endosome [GO:0005768]	59.5
Glycerophospholipid	photosystem II [GO:0009523]	74.17
Glycerophospholipid	plasma membrane-derived thylakoid membrane [GO:0031676]	74.17
Glycerophospholipid	photosystem II [GO:0009523]	74.17
Glycerophospholipid	plasma membrane-derived thylakoid membrane [GO:0031676]	74.17
Glycerophospholipid	periplasmic space [GO:0042597]	47.0
Glycerophospholipid	photosystem II reaction center [GO:0009539]	50.75
Glycerophospholipid	plasma membrane-derived thylakoid membrane [GO:0031676]	50.75
Glycerophospholipid	photosystem II reaction center [GO:0009539]	50.75
Glycerophospholipid	plasma membrane-derived thylakoid membrane [GO:0031676]	50.75
Glycerophospholipid	respiratory chain complex IV [GO:0045277]	35.75
Glycerophospholipid	mitochondrial respiratory chain complex IV [GO:0005751]	35.75
Glycerophospholipid	basolateral plasma membrane [GO:0016323]	51.89
Glycerophospholipid	neuronal cell body [GO:0043025]	51.89
Glycerophospholipid	apical plasma membrane [GO:0016324]	51.89
Glycerophospholipid	cell surface [GO:0009986]	51.89
Glycerophospholipid	plasma membrane [GO:0005886]	51.89
Glycerophospholipid	axon terminus [GO:0043679]	51.89
Glycerophospholipid	membrane [GO:0016020]	78.37
Glycerophospholipid	apical plasma membrane [GO:0016324]	78.37
Glycerophospholipid	extracellular exosome [GO:0070062]	78.37
Glycerophospholipid	cytosol [GO:0005829]	78.37
Glycerophospholipid	plasma membrane [GO:0005886]	78.37
Glycerophospholipid	respiratory chain complex I [GO:0045271]	55.67
Glycerophospholipid	plasma membrane [GO:0005886]	55.67
Glycerophospholipid	membrane [GO:0016020]	55.67
Glycerophospholipid	NADH dehydrogenase complex [GO:0030964]	55.67
Glycerophospholipid	plasma membrane respiratory chain complex I [GO:0045272]	55.67
Glycerophospholipid	plasma membrane [GO:0005886]	0.0
Glycerophospholipid	photosystem II reaction center [GO:0009539]	39.5
Glycerophospholipid	plasma membrane-derived thylakoid membrane [GO:0031676]	39.5
Glycerophospholipid	photosystem II reaction center [GO:0009539]	39.5
Glycerophospholipid	plasma membrane-derived thylakoid membrane [GO:0031676]	39.5
Glycerophospholipid	chloroplast thylakoid membrane [GO:0009535]	45.6
Glycerophospholipid	photosystem I [GO:0009522]	45.6
Glycerophospholipid	mitochondrial inner membrane [GO:0005743]	74.6
Glycerophospholipid	mitochondrial respiratory chain complex I [GO:0005747]	74.6
Glycerophospholipid	photosystem II [GO:0009523]	65.21
Glycerophospholipid	plasma membrane-derived thylakoid membrane [GO:0031676]	65.21
Glycerophospholipid	photosystem II [GO:0009523]	65.21
Glycerophospholipid	plasma membrane-derived thylakoid membrane [GO:0031676]	65.21
Glycerophospholipid	postsynaptic density membrane [GO:0098839]	73.27
Glycerophospholipid	postsynaptic membrane [GO:0045211]	73.27
