class	GO_CC	hydrophobicity_score
Polyketide	protein-containing complex [GO:0032991]	39.47
Polyketide	axonal growth cone [GO:0044295]	39.47
Polyketide	perinuclear region of cytoplasm [GO:0048471]	39.47
Polyketide	cytosol [GO:0005829]	39.47
Polyketide	extracellular exosome [GO:0070062]	39.47
Polyketide	nucleoplasm [GO:0005654]	39.47
Polyketide	microtubule [GO:0005874]	39.47
Polyketide	mitochondrion [GO:0005739]	39.47
Polyketide	cytoplasm [GO:0005737]	39.47
Polyketide	neuronal cell body [GO:0043025]	39.47
Polyketide	periplasmic space [GO:0042597]	14.29
Polyketide	intracellular membrane-bounded organelle [GO:0043231]	42.48
Polyketide	endoplasmic reticulum membrane [GO:0005789]	42.48
Polyketide	lysosomal lumen [GO:0043202]	28.2
Polyketide	basolateral plasma membrane [GO:0016323]	28.2
Polyketide	secretory granule lumen [GO:0034774]	28.2
Polyketide	extracellular exosome [GO:0070062]	28.2
Polyketide	nucleoplasm [GO:0005654]	28.2
Polyketide	brush border membrane [GO:0031526]	28.2
Polyketide	cytoplasm [GO:0005737]	28.2
Polyketide	cell surface [GO:0009986]	28.2
Polyketide	neuronal cell body [GO:0043025]	28.2
Polyketide	endocytic vesicle lumen [GO:0071682]	28.2
Polyketide	melanosome [GO:0042470]	28.2
Polyketide	protein-containing complex [GO:0032991]	28.2
Polyketide	axonal growth cone [GO:0044295]	28.2
Polyketide	perinuclear region of cytoplasm [GO:0048471]	28.2
Polyketide	cytosol [GO:0005829]	28.2
Polyketide	sperm mitochondrial sheath [GO:0097226]	28.2
Polyketide	membrane [GO:0016020]	28.2
Polyketide	extracellular region [GO:0005576]	28.2
Polyketide	nucleus [GO:0005634]	28.2
Polyketide	sperm plasma membrane [GO:0097524]	28.2
Polyketide	collagen-containing extracellular matrix [GO:0062023]	28.2
Polyketide	myelin sheath [GO:0043209]	28.2
Polyketide	apical plasma membrane [GO:0016324]	28.2
Polyketide	ficolin-1-rich granule lumen [GO:1904813]	28.2
Polyketide	dendritic growth cone [GO:0044294]	28.2
Polyketide	plasma membrane [GO:0005886]	28.2
Polyketide	mitochondrion [GO:0005739]	28.2
Polyketide	DNA-directed RNA polymerase complex [GO:0000428]	-2.32
Polyketide	protein kinase CK2 complex [GO:0005956]	34.53
Polyketide	cytosol [GO:0005829]	34.53
Polyketide	nucleoplasm [GO:0005654]	34.53
Polyketide	chromatin [GO:0000785]	34.53
Polyketide	nucleus [GO:0005634]	34.53
Polyketide	acrosomal vesicle [GO:0001669]	34.53
Polyketide	lysosomal lumen [GO:0043202]	44.87
Polyketide	basolateral plasma membrane [GO:0016323]	44.87
Polyketide	secretory granule lumen [GO:0034774]	44.87
Polyketide	extracellular exosome [GO:0070062]	44.87
Polyketide	nucleoplasm [GO:0005654]	44.87
Polyketide	brush border membrane [GO:0031526]	44.87
Polyketide	cytoplasm [GO:0005737]	44.87
Polyketide	cell surface [GO:0009986]	44.87
Polyketide	neuronal cell body [GO:0043025]	44.87
Polyketide	endocytic vesicle lumen [GO:0071682]	44.87
Polyketide	melanosome [GO:0042470]	44.87
Polyketide	protein-containing complex [GO:0032991]	44.87
Polyketide	axonal growth cone [GO:0044295]	44.87
Polyketide	perinuclear region of cytoplasm [GO:0048471]	44.87
Polyketide	cytosol [GO:0005829]	44.87
Polyketide	sperm mitochondrial sheath [GO:0097226]	44.87
Polyketide	membrane [GO:0016020]	44.87
Polyketide	extracellular region [GO:0005576]	44.87
Polyketide	nucleus [GO:0005634]	44.87
Polyketide	sperm plasma membrane [GO:0097524]	44.87
Polyketide	collagen-containing extracellular matrix [GO:0062023]	44.87
Polyketide	myelin sheath [GO:0043209]	44.87
Polyketide	apical plasma membrane [GO:0016324]	44.87
Polyketide	ficolin-1-rich granule lumen [GO:1904813]	44.87
Polyketide	dendritic growth cone [GO:0044294]	44.87
Polyketide	plasma membrane [GO:0005886]	44.87
Polyketide	mitochondrion [GO:0005739]	44.87
Polyketide	extracellular space [GO:0005615]	36.1
Polyketide	azurophil granule lumen [GO:0035578]	36.1
Polyketide	extracellular region [GO:0005576]	36.1
Polyketide	extracellular exosome [GO:0070062]	36.1
Polyketide	chloride channel complex [GO:0034707]	52.58
Polyketide	postsynaptic membrane [GO:0045211]	52.58
Polyketide	perikaryon [GO:0043204]	52.58
Polyketide	membrane [GO:0016020]	52.58
Polyketide	plasma membrane [GO:0005886]	52.58
Polyketide	dendrite [GO:0030425]	52.58
Polyketide	neuron projection [GO:0043005]	52.58
Polyketide	synapse [GO:0045202]	52.58
Polyketide	cytoplasm [GO:0005737]	55.82
Polyketide	chloroplast stroma [GO:0009570]	27.89
Polyketide	endoplasmic reticulum [GO:0005783]	27.89
Polyketide	chloroplast [GO:0009507]	27.89
Polyketide	cytosol [GO:0005829]	27.89
Polyketide	intracellular membrane-bounded organelle [GO:0043231]	27.89
Polyketide	plasma membrane [GO:0005886]	27.89
