class	GO_CC	hydrophobicity_score
Prenol	protein-containing complex [GO:0032991]	31.32
Prenol	Cul3-RING ubiquitin ligase complex [GO:0031463]	31.32
Prenol	endoplasmic reticulum [GO:0005783]	31.32
Prenol	centriolar satellite [GO:0034451]	31.32
Prenol	focal adhesion [GO:0005925]	31.32
Prenol	actin filament [GO:0005884]	31.32
Prenol	cytosol [GO:0005829]	31.32
Prenol	nucleoplasm [GO:0005654]	31.32
Prenol	inclusion body [GO:0016234]	31.32
Prenol	adherens junction [GO:0005912]	31.32
Prenol	midbody [GO:0030496]	31.32
Prenol	cytoplasm [GO:0005737]	31.32
Prenol	photosystem II [GO:0009523]	45.75
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	45.75
Prenol	plasma membrane [GO:0005886]	63.5
Prenol	organelle inner membrane [GO:0019866]	63.5
Prenol	plasma membrane light-harvesting complex [GO:0030077]	63.5
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	67.22
Prenol	photosystem I [GO:0009522]	67.22
Prenol	plasma membrane [GO:0005886]	52.83
Prenol	cytosol [GO:0005829]	58.0
Prenol	nucleoplasm [GO:0005654]	58.0
Prenol	receptor complex [GO:0043235]	58.0
Prenol	mitochondrion [GO:0005739]	58.0
Prenol	RNA polymerase II transcription regulator complex [GO:0090575]	58.0
Prenol	chromatin [GO:0000785]	58.0
Prenol	transcription regulator complex [GO:0005667]	58.0
Prenol	nucleus [GO:0005634]	58.0
Prenol	oligosaccharyltransferase complex [GO:0008250]	40.28
Prenol	oligosaccharyltransferase III complex [GO:0035000]	40.28
Prenol	membrane [GO:0016020]	40.28
Prenol	endoplasmic reticulum membrane [GO:0005789]	40.28
Prenol	photosystem II [GO:0009523]	40.4
Prenol	chloroplast thylakoid membrane [GO:0009535]	40.4
Prenol	photosystem II [GO:0009523]	40.4
Prenol	chloroplast thylakoid membrane [GO:0009535]	40.4
Prenol	periplasmic space [GO:0042597]	63.71
Prenol	photosystem II [GO:0009523]	63.08
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	63.08
Prenol	membrane [GO:0016020]	13.22
Prenol	light-harvesting complex [GO:0030076]	13.22
Prenol	plastid [GO:0009536]	13.22
Prenol	photosystem II [GO:0009523]	55.57
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	55.57
Prenol	photosystem II [GO:0009523]	55.57
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	55.57
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	65.06
Prenol	photosystem I [GO:0009522]	65.06
Prenol	nucleoplasm [GO:0005654]	1.67
Prenol	cytoplasm [GO:0005737]	1.67
Prenol	cytosol [GO:0005829]	1.67
Prenol	photosystem II [GO:0009523]	40.96
Prenol	chloroplast thylakoid membrane [GO:0009535]	40.96
Prenol	photosystem I [GO:0009522]	40.96
Prenol	photosystem II [GO:0009523]	47.75
Prenol	chloroplast thylakoid membrane [GO:0009535]	47.75
Prenol	mitochondrion [GO:0005739]	40.43
Prenol	nucleoplasm [GO:0005654]	40.43
Prenol	mitochondrial respiratory chain complex I [GO:0005747]	40.43
Prenol	mitochondrial inner membrane [GO:0005743]	40.43
Prenol	photosystem II [GO:0009523]	64.42
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	64.42
Prenol	photosystem II [GO:0009523]	64.42
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	64.42
Prenol	photosystem II [GO:0009523]	36.68
Prenol	chloroplast thylakoid membrane [GO:0009535]	36.68
Prenol	photosystem I [GO:0009522]	36.68
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	67.11
Prenol	photosystem I [GO:0009522]	67.11
