class	GO_CC	hydrophobicity_score
Saccharolipid	Golgi medial cisterna [GO:0005797]	24.53
Saccharolipid	Golgi membrane [GO:0000139]	24.53
Saccharolipid	perinuclear region of cytoplasm [GO:0048471]	24.53
Saccharolipid	cytosol [GO:0005829]	19.61
Saccharolipid	cytosol [GO:0005829]	19.61
Saccharolipid	cytoplasm [GO:0005737]	12.66
Saccharolipid	cytoplasm [GO:0005737]	11.21
Saccharolipid	cytoplasm [GO:0005737]	10.89
Saccharolipid	cytosol [GO:0005829]	24.13
Saccharolipid	cytosol [GO:0005829]	10.13
Saccharolipid	cytosol [GO:0005829]	28.97
Saccharolipid	cytosol [GO:0005829]	32.62
Saccharolipid	cytosol [GO:0005829]	22.44
Saccharolipid	cytosol [GO:0005829]	24.53
Saccharolipid	cytosol [GO:0005829]	22.59
Saccharolipid	cytosol [GO:0005829]	22.87
Saccharolipid	cytosol [GO:0005829]	15.91
Saccharolipid	plasma membrane [GO:0005886]	15.91
Saccharolipid	nucleoplasm [GO:0005654]	15.91
Saccharolipid	cytosol [GO:0005829]	0.0
Saccharolipid	plasma membrane [GO:0005886]	0.0
Saccharolipid	nucleoplasm [GO:0005654]	0.0
Saccharolipid	cytosol [GO:0005829]	3.5
Saccharolipid	plasma membrane [GO:0005886]	3.5
Saccharolipid	nucleoplasm [GO:0005654]	3.5
Saccharolipid	cytosol [GO:0005829]	15.91
Saccharolipid	plasma membrane [GO:0005886]	15.91
Saccharolipid	nucleoplasm [GO:0005654]	15.91
Saccharolipid	cytosol [GO:0005829]	15.81
Saccharolipid	plasma membrane [GO:0005886]	15.81
Saccharolipid	nucleoplasm [GO:0005654]	15.81
Saccharolipid	cytosol [GO:0005829]	-2.0
Saccharolipid	plasma membrane [GO:0005886]	-2.0
Saccharolipid	nucleoplasm [GO:0005654]	-2.0
Saccharolipid	cytosol [GO:0005829]	-14.0
Saccharolipid	plasma membrane [GO:0005886]	-14.0
Saccharolipid	nucleoplasm [GO:0005654]	-14.0
Saccharolipid	cytosol [GO:0005829]	13.74
Saccharolipid	plasma membrane [GO:0005886]	13.74
Saccharolipid	nucleoplasm [GO:0005654]	13.74
Saccharolipid	cytosol [GO:0005829]	30.16
Saccharolipid	cytoplasm [GO:0005737]	30.16
Saccharolipid	cytosol [GO:0005829]	29.06
Saccharolipid	cytoplasm [GO:0005737]	29.06
Saccharolipid	plasma membrane [GO:0005886]	20.96
Saccharolipid	plasma membrane [GO:0005886]	22.92
Saccharolipid	cytosol [GO:0005829]	-1.77
Saccharolipid	nucleoplasm [GO:0005654]	-1.77
Saccharolipid	endoplasmic reticulum [GO:0005783]	-1.77
Saccharolipid	endoplasmic reticulum membrane [GO:0005789]	-1.77
Saccharolipid	cytosol [GO:0005829]	2.0
Saccharolipid	nucleoplasm [GO:0005654]	2.0
Saccharolipid	endoplasmic reticulum [GO:0005783]	2.0
Saccharolipid	endoplasmic reticulum membrane [GO:0005789]	2.0
