class	GO_CC	hydrophobicity_score
Sphingolipid	endocytic vesicle lumen [GO:0071682]	11.14
Sphingolipid	tertiary granule lumen [GO:1904724]	11.14
Sphingolipid	cytosol [GO:0005829]	11.14
Sphingolipid	ficolin-1-rich granule lumen [GO:1904813]	11.14
Sphingolipid	extracellular exosome [GO:0070062]	11.14
Sphingolipid	blood microparticle [GO:0072562]	11.14
Sphingolipid	extracellular region [GO:0005576]	11.14
Sphingolipid	extracellular space [GO:0005615]	11.14
Sphingolipid	hemoglobin complex [GO:0005833]	11.14
Sphingolipid	haptoglobin-hemoglobin complex [GO:0031838]	11.14
Sphingolipid	axon terminus [GO:0043679]	54.13
Sphingolipid	voltage-gated potassium channel complex [GO:0008076]	54.13
Sphingolipid	endoplasmic reticulum [GO:0005783]	54.13
Sphingolipid	cell surface [GO:0009986]	54.13
Sphingolipid	apical plasma membrane [GO:0016324]	54.13
Sphingolipid	plasma membrane [GO:0005886]	54.13
Sphingolipid	astrocyte projection [GO:0097449]	54.13
Sphingolipid	axon [GO:0030424]	54.13
Sphingolipid	calyx of Held [GO:0044305]	54.13
Sphingolipid	neuronal cell body [GO:0043025]	54.13
Sphingolipid	membrane raft [GO:0045121]	47.93
Sphingolipid	endosome membrane [GO:0010008]	47.93
Sphingolipid	plasma membrane [GO:0005886]	47.93
Sphingolipid	extracellular space [GO:0005615]	47.93
Sphingolipid	external side of plasma membrane [GO:0009897]	47.93
Sphingolipid	endoplasmic reticulum [GO:0005783]	45.33
Sphingolipid	secretory granule membrane [GO:0030667]	45.33
Sphingolipid	plasma membrane [GO:0005886]	45.33
Sphingolipid	endoplasmic reticulum membrane [GO:0005789]	45.33
Sphingolipid	SPOTS complex [GO:0035339]	45.33
Sphingolipid	specific granule membrane [GO:0035579]	45.33
Sphingolipid	cytoplasm [GO:0005737]	32.65
Sphingolipid	apical plasma membrane [GO:0016324]	52.21
Sphingolipid	gap junction [GO:0005921]	52.21
Sphingolipid	plasma membrane [GO:0005886]	52.21
Sphingolipid	endoplasmic reticulum [GO:0005783]	52.21
Sphingolipid	cytoplasm [GO:0005737]	46.0
Sphingolipid	late endosome [GO:0005770]	56.09
Sphingolipid	endoplasmic reticulum [GO:0005783]	56.09
Sphingolipid	cytoplasm [GO:0005737]	56.09
Sphingolipid	endosome membrane [GO:0010008]	56.09
Sphingolipid	lysosome [GO:0005764]	56.09
