class	GO_CC	hydrophobicity_score
Sterol	late endosome [GO:0005770]	54.03
Sterol	dendrite [GO:0030425]	54.03
Sterol	axonal growth cone [GO:0044295]	54.03
Sterol	endoplasmic reticulum [GO:0005783]	54.03
Sterol	Golgi apparatus [GO:0005794]	54.03
Sterol	ciliary membrane [GO:0060170]	54.03
Sterol	endocytic vesicle membrane [GO:0030666]	54.03
Sterol	cilium [GO:0005929]	54.03
Sterol	intracellular membrane-bounded organelle [GO:0043231]	54.03
Sterol	dendritic growth cone [GO:0044294]	54.03
Sterol	caveola [GO:0005901]	54.03
Sterol	plasma membrane [GO:0005886]	54.03
Sterol	centriole [GO:0005814]	54.03
Sterol	9+0 non-motile cilium [GO:0097731]	54.03
Sterol	cytoplasm [GO:0005737]	54.03
Sterol	endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]	54.03
Sterol	neuronal cell body [GO:0043025]	54.03
Sterol	neuron projection terminus [GO:0044306]	72.0
Sterol	vesicle [GO:0031982]	72.0
Sterol	cell body [GO:0044297]	72.0
Sterol	axolemma [GO:0030673]	72.0
Sterol	glutamatergic synapse [GO:0098978]	72.0
Sterol	membrane [GO:0016020]	72.0
Sterol	plasma membrane [GO:0005886]	72.0
Sterol	astrocyte projection [GO:0097449]	72.0
Sterol	membrane protein complex [GO:0098796]	72.0
Sterol	presynaptic membrane [GO:0042734]	72.0
Sterol	membrane raft [GO:0045121]	72.0
Sterol	cell surface [GO:0009986]	72.0
Sterol	mitochondrion [GO:0005739]	0.0
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	0.0
Sterol	mitochondrial respirasome [GO:0005746]	0.0
Sterol	respiratory chain complex IV [GO:0045277]	0.0
Sterol	nucleoplasm [GO:0005654]	35.22
Sterol	melanosome [GO:0042470]	67.5
Sterol	basolateral plasma membrane [GO:0016323]	67.5
Sterol	plasma membrane [GO:0005886]	67.5
Sterol	membrane [GO:0016020]	67.5
Sterol	axon [GO:0030424]	67.5
Sterol	sarcolemma [GO:0042383]	67.5
Sterol	sodium:potassium-exchanging ATPase complex [GO:0005890]	67.5
Sterol	plasma membrane [GO:0005886]	66.89
Sterol	lysosome [GO:0005764]	66.89
Sterol	plasma membrane [GO:0005886]	57.33
Sterol	membrane [GO:0016020]	57.33
Sterol	heterochromatin [GO:0000792]	59.58
Sterol	perinuclear region of cytoplasm [GO:0048471]	59.58
Sterol	dense fibrillar component [GO:0001651]	59.58
Sterol	receptor complex [GO:0043235]	59.58
Sterol	euchromatin [GO:0000791]	59.58
Sterol	nuclear matrix [GO:0016363]	59.58
Sterol	RNA polymerase II transcription regulator complex [GO:0090575]	59.58
Sterol	T-tubule [GO:0030315]	59.58
Sterol	nucleus [GO:0005634]	59.58
Sterol	respiratory chain complex IV [GO:0045277]	34.4
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	34.4
