class	GO_CC	lig_vol
Fatty Acyl	cytosol [GO:0005829]	75.8
Fatty Acyl	protein-containing complex [GO:0032991]	75.8
Fatty Acyl	apoptosome [GO:0043293]	75.8
Fatty Acyl	nucleus [GO:0005634]	75.8
Fatty Acyl	cytoplasm [GO:0005737]	443.75
Fatty Acyl	membrane [GO:0016020]	121.9
Fatty Acyl	membrane [GO:0016020]	52.61
Fatty Acyl	host multivesicular body [GO:0072494]	52.61
Fatty Acyl	viral nucleocapsid [GO:0019013]	52.61
Fatty Acyl	host cell plasma membrane [GO:0020002]	52.61
Fatty Acyl	virion membrane [GO:0055036]	52.61
Fatty Acyl	host cell nucleus [GO:0042025]	52.61
Fatty Acyl	pore complex [GO:0046930]	128.98
Fatty Acyl	cell outer membrane [GO:0009279]	128.98
Fatty Acyl	membrane [GO:0016020]	232.43
Fatty Acyl	cell-cell junction [GO:0005911]	232.43
Fatty Acyl	photoreceptor disc membrane [GO:0097381]	232.43
Fatty Acyl	G protein-coupled receptor complex [GO:0097648]	232.43
Fatty Acyl	plasma membrane [GO:0005886]	232.43
Fatty Acyl	sperm midpiece [GO:0097225]	232.43
Fatty Acyl	photoreceptor inner segment membrane [GO:0060342]	232.43
Fatty Acyl	photoreceptor outer segment [GO:0001750]	232.43
Fatty Acyl	photoreceptor outer segment membrane [GO:0042622]	232.43
Fatty Acyl	Golgi membrane [GO:0000139]	232.43
Fatty Acyl	outer membrane [GO:0019867]	232.43
Fatty Acyl	sperm head plasma membrane [GO:1990913]	232.43
Fatty Acyl	rod photoreceptor outer segment [GO:0120200]	232.43
Fatty Acyl	lysosomal lumen [GO:0043202]	48.53
Fatty Acyl	extracellular exosome [GO:0070062]	48.53
Fatty Acyl	azurophil granule lumen [GO:0035578]	48.53
Fatty Acyl	cytoplasm [GO:0005737]	48.53
Fatty Acyl	lysosome [GO:0005764]	48.53
Fatty Acyl	Golgi apparatus [GO:0005794]	48.53
Fatty Acyl	extracellular region [GO:0005576]	48.53
Fatty Acyl	membrane [GO:0016020]	260.45
Fatty Acyl	cytosol [GO:0005829]	47.47
Fatty Acyl	membrane [GO:0016020]	83.01
Fatty Acyl	plasma membrane [GO:0005886]	83.01
Fatty Acyl	membrane [GO:0016020]	308.72
Fatty Acyl	monoatomic ion channel complex [GO:0034702]	308.72
Fatty Acyl	pore complex [GO:0046930]	308.72
Fatty Acyl	cell outer membrane [GO:0009279]	308.72
