class	GO_CC	lig_vol
Glycerolipid	fungal-type vacuole [GO:0000324]	315.5
Glycerolipid	fungal-type vacuole membrane [GO:0000329]	315.5
Glycerolipid	fungal-type vacuole [GO:0000324]	294.76
Glycerolipid	fungal-type vacuole membrane [GO:0000329]	294.76
Glycerolipid	fungal-type vacuole [GO:0000324]	321.76
Glycerolipid	fungal-type vacuole membrane [GO:0000329]	321.76
Glycerolipid	fungal-type vacuole [GO:0000324]	278.43
Glycerolipid	fungal-type vacuole membrane [GO:0000329]	278.43
Glycerolipid	fungal-type vacuole [GO:0000324]	294.44
Glycerolipid	fungal-type vacuole membrane [GO:0000329]	294.44
Glycerolipid	fungal-type vacuole [GO:0000324]	358.88
Glycerolipid	fungal-type vacuole membrane [GO:0000329]	358.88
Glycerolipid	fungal-type vacuole [GO:0000324]	321.03
Glycerolipid	fungal-type vacuole membrane [GO:0000329]	321.03
Glycerolipid	fungal-type vacuole [GO:0000324]	365.78
Glycerolipid	fungal-type vacuole membrane [GO:0000329]	365.78
Glycerolipid	host cell cytoplasm [GO:0030430]	287.76
Glycerolipid	host cell cytoplasm [GO:0030430]	276.35
Glycerolipid	nucleoplasm [GO:0005654]	825.84
Glycerolipid	respiratory chain complex IV [GO:0045277]	825.84
Glycerolipid	cytosol [GO:0005829]	825.84
Glycerolipid	mitochondrial respiratory chain complex IV [GO:0005751]	825.84
Glycerolipid	host cell cytoplasm [GO:0030430]	342.28
Glycerolipid	host cell cytoplasm [GO:0030430]	285.88
Glycerolipid	host cell cytoplasm [GO:0030430]	378.31
Glycerolipid	host cell cytoplasm [GO:0030430]	363.48
Glycerolipid	plasma membrane [GO:0005886]	403.76
Glycerolipid	plasma membrane [GO:0005886]	375.23
Glycerolipid	external side of plasma membrane [GO:0009897]	236.5
Glycerolipid	cell surface [GO:0009986]	236.5
Glycerolipid	plasma membrane [GO:0005886]	236.5
Glycerolipid	cytoplasm [GO:0005737]	236.5
Glycerolipid	endosome [GO:0005768]	236.5
Glycerolipid	external side of plasma membrane [GO:0009897]	161.61
Glycerolipid	cell surface [GO:0009986]	161.61
Glycerolipid	plasma membrane [GO:0005886]	161.61
Glycerolipid	cytoplasm [GO:0005737]	161.61
Glycerolipid	endosome [GO:0005768]	161.61
Glycerolipid	external side of plasma membrane [GO:0009897]	192.52
Glycerolipid	cell surface [GO:0009986]	192.52
Glycerolipid	plasma membrane [GO:0005886]	192.52
Glycerolipid	cytoplasm [GO:0005737]	192.52
Glycerolipid	endosome [GO:0005768]	192.52
Glycerolipid	external side of plasma membrane [GO:0009897]	227.58
Glycerolipid	cell surface [GO:0009986]	227.58
Glycerolipid	plasma membrane [GO:0005886]	227.58
Glycerolipid	cytoplasm [GO:0005737]	227.58
Glycerolipid	endosome [GO:0005768]	227.58
Glycerolipid	respiratory chain complex IV [GO:0045277]	736.77
Glycerolipid	mitochondrial inner membrane [GO:0005743]	736.77
Glycerolipid	external side of plasma membrane [GO:0009897]	256.67
Glycerolipid	cell surface [GO:0009986]	256.67
Glycerolipid	plasma membrane [GO:0005886]	256.67
Glycerolipid	cytoplasm [GO:0005737]	256.67
Glycerolipid	endosome [GO:0005768]	256.67
Glycerolipid	external side of plasma membrane [GO:0009897]	146.48
Glycerolipid	cell surface [GO:0009986]	146.48
Glycerolipid	plasma membrane [GO:0005886]	146.48
Glycerolipid	cytoplasm [GO:0005737]	146.48
Glycerolipid	endosome [GO:0005768]	146.48
Glycerolipid	external side of plasma membrane [GO:0009897]	214.36
Glycerolipid	cell surface [GO:0009986]	214.36
Glycerolipid	plasma membrane [GO:0005886]	214.36
Glycerolipid	cytoplasm [GO:0005737]	214.36
Glycerolipid	endosome [GO:0005768]	214.36
Glycerolipid	external side of plasma membrane [GO:0009897]	165.39
Glycerolipid	cell surface [GO:0009986]	165.39
Glycerolipid	plasma membrane [GO:0005886]	165.39
Glycerolipid	cytoplasm [GO:0005737]	165.39
Glycerolipid	endosome [GO:0005768]	165.39
Glycerolipid	external side of plasma membrane [GO:0009897]	155.98
Glycerolipid	cell surface [GO:0009986]	155.98
Glycerolipid	plasma membrane [GO:0005886]	155.98
Glycerolipid	cytoplasm [GO:0005737]	155.98
Glycerolipid	endosome [GO:0005768]	155.98
Glycerolipid	external side of plasma membrane [GO:0009897]	154.41
Glycerolipid	cell surface [GO:0009986]	154.41
Glycerolipid	plasma membrane [GO:0005886]	154.41
Glycerolipid	cytoplasm [GO:0005737]	154.41
Glycerolipid	endosome [GO:0005768]	154.41
Glycerolipid	external side of plasma membrane [GO:0009897]	142.84
Glycerolipid	cell surface [GO:0009986]	142.84
Glycerolipid	plasma membrane [GO:0005886]	142.84
Glycerolipid	cytoplasm [GO:0005737]	142.84
Glycerolipid	endosome [GO:0005768]	142.84
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	711.22
Glycerolipid	intracellular membrane-bounded organelle [GO:0043231]	711.22
Glycerolipid	plasma membrane [GO:0005886]	107.79
Glycerolipid	plasma membrane [GO:0005886]	148.5
Glycerolipid	plasma membrane [GO:0005886]	129.61
Glycerolipid	plasma membrane [GO:0005886]	119.47
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	623.92
Glycerolipid	intracellular membrane-bounded organelle [GO:0043231]	623.92
Glycerolipid	plasma membrane [GO:0005886]	126.06
Glycerolipid	plasma membrane [GO:0005886]	71.36
Glycerolipid	plasma membrane [GO:0005886]	96.23
Glycerolipid	plasma membrane [GO:0005886]	88.7
Glycerolipid	plasma membrane [GO:0005886]	127.32
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	758.2
Glycerolipid	intracellular membrane-bounded organelle [GO:0043231]	758.2
Glycerolipid	plasma membrane [GO:0005886]	91.82
Glycerolipid	plasma membrane [GO:0005886]	133.65
