class	GO_CC	lig_vol
Glycerophospholipid	photosystem II [GO:0009523]	659.82
Glycerophospholipid	chloroplast thylakoid membrane [GO:0009535]	659.82
Glycerophospholipid	photosystem I [GO:0009522]	659.82
Glycerophospholipid	plasma membrane-derived chromatophore membrane [GO:0042717]	301.97
Glycerophospholipid	plasma membrane light-harvesting complex [GO:0030077]	301.97
Glycerophospholipid	T-tubule [GO:0030315]	370.55
Glycerophospholipid	inward rectifying potassium channel [GO:0008282]	370.55
Glycerophospholipid	nuclear envelope [GO:0005635]	370.55
Glycerophospholipid	sarcolemma [GO:0042383]	370.55
Glycerophospholipid	presynaptic membrane [GO:0042734]	370.55
Glycerophospholipid	glutamatergic synapse [GO:0098978]	370.55
Glycerophospholipid	axolemma [GO:0030673]	370.55
Glycerophospholipid	neuronal cell body [GO:0043025]	370.55
Glycerophospholipid	intercalated disc [GO:0014704]	370.55
Glycerophospholipid	acrosomal vesicle [GO:0001669]	370.55
Glycerophospholipid	plasma membrane [GO:0005886]	370.55
Glycerophospholipid	cell body fiber [GO:0070852]	370.55
Glycerophospholipid	endosome [GO:0005768]	370.55
Glycerophospholipid	photosystem II [GO:0009523]	494.53
Glycerophospholipid	plasma membrane-derived thylakoid membrane [GO:0031676]	494.53
Glycerophospholipid	photosystem II [GO:0009523]	494.53
Glycerophospholipid	plasma membrane-derived thylakoid membrane [GO:0031676]	494.53
Glycerophospholipid	periplasmic space [GO:0042597]	140.25
Glycerophospholipid	photosystem II reaction center [GO:0009539]	375.54
Glycerophospholipid	plasma membrane-derived thylakoid membrane [GO:0031676]	375.54
Glycerophospholipid	photosystem II reaction center [GO:0009539]	375.54
Glycerophospholipid	plasma membrane-derived thylakoid membrane [GO:0031676]	375.54
Glycerophospholipid	respiratory chain complex IV [GO:0045277]	600.62
Glycerophospholipid	mitochondrial respiratory chain complex IV [GO:0005751]	600.62
Glycerophospholipid	basolateral plasma membrane [GO:0016323]	765.5
Glycerophospholipid	neuronal cell body [GO:0043025]	765.5
Glycerophospholipid	apical plasma membrane [GO:0016324]	765.5
Glycerophospholipid	cell surface [GO:0009986]	765.5
Glycerophospholipid	plasma membrane [GO:0005886]	765.5
Glycerophospholipid	axon terminus [GO:0043679]	765.5
Glycerophospholipid	membrane [GO:0016020]	550.15
Glycerophospholipid	apical plasma membrane [GO:0016324]	550.15
Glycerophospholipid	extracellular exosome [GO:0070062]	550.15
Glycerophospholipid	cytosol [GO:0005829]	550.15
Glycerophospholipid	plasma membrane [GO:0005886]	550.15
Glycerophospholipid	respiratory chain complex I [GO:0045271]	602.92
Glycerophospholipid	plasma membrane [GO:0005886]	602.92
Glycerophospholipid	membrane [GO:0016020]	602.92
Glycerophospholipid	NADH dehydrogenase complex [GO:0030964]	602.92
Glycerophospholipid	plasma membrane respiratory chain complex I [GO:0045272]	602.92
Glycerophospholipid	plasma membrane [GO:0005886]	197.52
Glycerophospholipid	photosystem II reaction center [GO:0009539]	650.56
Glycerophospholipid	plasma membrane-derived thylakoid membrane [GO:0031676]	650.56
Glycerophospholipid	photosystem II reaction center [GO:0009539]	650.56
Glycerophospholipid	plasma membrane-derived thylakoid membrane [GO:0031676]	650.56
Glycerophospholipid	chloroplast thylakoid membrane [GO:0009535]	547.88
Glycerophospholipid	photosystem I [GO:0009522]	547.88
Glycerophospholipid	mitochondrial inner membrane [GO:0005743]	770.4
Glycerophospholipid	mitochondrial respiratory chain complex I [GO:0005747]	770.4
Glycerophospholipid	photosystem II [GO:0009523]	713.05
Glycerophospholipid	plasma membrane-derived thylakoid membrane [GO:0031676]	713.05
Glycerophospholipid	photosystem II [GO:0009523]	713.05
Glycerophospholipid	plasma membrane-derived thylakoid membrane [GO:0031676]	713.05
Glycerophospholipid	postsynaptic density membrane [GO:0098839]	821.43
Glycerophospholipid	postsynaptic membrane [GO:0045211]	821.43
Glycerophospholipid	perikaryon [GO:0043204]	821.43
Glycerophospholipid	membrane [GO:0016020]	821.43
Glycerophospholipid	AMPA glutamate receptor complex [GO:0032281]	821.43
Glycerophospholipid	presynaptic membrane [GO:0042734]	821.43
Glycerophospholipid	dendrite [GO:0030425]	821.43
Glycerophospholipid	glutamatergic synapse [GO:0098978]	821.43
Glycerophospholipid	neuron projection [GO:0043005]	821.43
Glycerophospholipid	perisynaptic space [GO:0099544]	821.43
Glycerophospholipid	spine synapse [GO:0106033]	821.43
Glycerophospholipid	dendritic shaft [GO:0043198]	821.43
Glycerophospholipid	dendritic spine [GO:0043197]	821.43
Glycerophospholipid	neuronal cell body [GO:0043025]	821.43
Glycerophospholipid	synaptic vesicle membrane [GO:0030672]	821.43
Glycerophospholipid	axon [GO:0030424]	821.43
Glycerophospholipid	dendritic spine neck [GO:0044326]	821.43
Glycerophospholipid	synaptic vesicle [GO:0008021]	821.43
Glycerophospholipid	somatodendritic compartment [GO:0036477]	821.43
Glycerophospholipid	synaptic membrane [GO:0097060]	821.43
Glycerophospholipid	terminal bouton [GO:0043195]	821.43
Glycerophospholipid	cell surface [GO:0009986]	821.43
Glycerophospholipid	dendritic spine head [GO:0044327]	821.43
Glycerophospholipid	plasma membrane [GO:0005886]	821.43
Glycerophospholipid	presynapse [GO:0098793]	821.43
Glycerophospholipid	growth cone [GO:0030426]	821.43
Glycerophospholipid	protein-containing complex [GO:0032991]	821.43
Glycerophospholipid	dendrite cytoplasm [GO:0032839]	821.43
Glycerophospholipid	endoplasmic reticulum membrane [GO:0005789]	821.43
Glycerophospholipid	presynaptic active zone membrane [GO:0048787]	821.43
Glycerophospholipid	dendrite membrane [GO:0032590]	821.43
Glycerophospholipid	ionotropic glutamate receptor complex [GO:0008328]	821.43
Glycerophospholipid	synapse [GO:0045202]	821.43
Glycerophospholipid	postsynaptic density [GO:0014069]	821.43
Glycerophospholipid	Schaffer collateral - CA1 synapse [GO:0098685]	821.43
Glycerophospholipid	asymmetric synapse [GO:0032279]	821.43
Glycerophospholipid	endoplasmic reticulum [GO:0005783]	821.43
Glycerophospholipid	mitochondrion [GO:0005739]	367.6
Glycerophospholipid	mitochondrial inner membrane [GO:0005743]	367.6
Glycerophospholipid	plasma membrane [GO:0005886]	156.22
Glycerophospholipid	type I protein secretion system complex [GO:0030256]	156.22
Glycerophospholipid	photosystem II [GO:0009523]	559.01
Glycerophospholipid	plasma membrane-derived thylakoid membrane [GO:0031676]	559.01
Glycerophospholipid	mitochondrion [GO:0005739]	527.16
Glycerophospholipid	mitochondrial inner membrane [GO:0005743]	527.16
Glycerophospholipid	mitochondrial respiratory chain complex I [GO:0005747]	527.16
Glycerophospholipid	photosystem II [GO:0009523]	488.76
Glycerophospholipid	chloroplast thylakoid membrane [GO:0009535]	488.76
Glycerophospholipid	photosystem I [GO:0009522]	488.76
Glycerophospholipid	photosystem II [GO:0009523]	488.76
Glycerophospholipid	chloroplast thylakoid membrane [GO:0009535]	488.76
Glycerophospholipid	photosystem I [GO:0009522]	488.76
Glycerophospholipid	plasma membrane [GO:0005886]	458.03
Glycerophospholipid	mitochondrial inner membrane [GO:0005743]	581.29
Glycerophospholipid	respiratory chain complex IV [GO:0045277]	581.29
Glycerophospholipid	mitochondrial inner membrane [GO:0005743]	581.29
Glycerophospholipid	respiratory chain complex IV [GO:0045277]	581.29
Glycerophospholipid	membrane [GO:0016020]	753.19
Glycerophospholipid	plasma membrane respiratory chain complex I [GO:0045272]	753.19
Glycerophospholipid	respiratory chain complex I [GO:0045271]	753.19
Glycerophospholipid	plasma membrane [GO:0005886]	753.19
Glycerophospholipid	NADH dehydrogenase complex [GO:0030964]	753.19
Glycerophospholipid	membrane [GO:0016020]	626.27
Glycerophospholipid	apical plasma membrane [GO:0016324]	626.27
Glycerophospholipid	extracellular exosome [GO:0070062]	626.27
Glycerophospholipid	cytosol [GO:0005829]	626.27
