class	GO_CC	lig_vol
Polyketide	protein-containing complex [GO:0032991]	730.48
Polyketide	axonal growth cone [GO:0044295]	730.48
Polyketide	perinuclear region of cytoplasm [GO:0048471]	730.48
Polyketide	cytosol [GO:0005829]	730.48
Polyketide	extracellular exosome [GO:0070062]	730.48
Polyketide	nucleoplasm [GO:0005654]	730.48
Polyketide	microtubule [GO:0005874]	730.48
Polyketide	mitochondrion [GO:0005739]	730.48
Polyketide	cytoplasm [GO:0005737]	730.48
Polyketide	neuronal cell body [GO:0043025]	730.48
Polyketide	periplasmic space [GO:0042597]	194.2
Polyketide	intracellular membrane-bounded organelle [GO:0043231]	369.53
Polyketide	endoplasmic reticulum membrane [GO:0005789]	369.53
Polyketide	lysosomal lumen [GO:0043202]	191.99
Polyketide	basolateral plasma membrane [GO:0016323]	191.99
Polyketide	secretory granule lumen [GO:0034774]	191.99
Polyketide	extracellular exosome [GO:0070062]	191.99
Polyketide	nucleoplasm [GO:0005654]	191.99
Polyketide	brush border membrane [GO:0031526]	191.99
Polyketide	cytoplasm [GO:0005737]	191.99
Polyketide	cell surface [GO:0009986]	191.99
Polyketide	neuronal cell body [GO:0043025]	191.99
Polyketide	endocytic vesicle lumen [GO:0071682]	191.99
Polyketide	melanosome [GO:0042470]	191.99
Polyketide	protein-containing complex [GO:0032991]	191.99
Polyketide	axonal growth cone [GO:0044295]	191.99
Polyketide	perinuclear region of cytoplasm [GO:0048471]	191.99
Polyketide	cytosol [GO:0005829]	191.99
Polyketide	sperm mitochondrial sheath [GO:0097226]	191.99
Polyketide	membrane [GO:0016020]	191.99
Polyketide	extracellular region [GO:0005576]	191.99
Polyketide	nucleus [GO:0005634]	191.99
Polyketide	sperm plasma membrane [GO:0097524]	191.99
Polyketide	collagen-containing extracellular matrix [GO:0062023]	191.99
Polyketide	myelin sheath [GO:0043209]	191.99
Polyketide	apical plasma membrane [GO:0016324]	191.99
Polyketide	ficolin-1-rich granule lumen [GO:1904813]	191.99
Polyketide	dendritic growth cone [GO:0044294]	191.99
Polyketide	plasma membrane [GO:0005886]	191.99
Polyketide	mitochondrion [GO:0005739]	191.99
Polyketide	DNA-directed RNA polymerase complex [GO:0000428]	949.92
Polyketide	protein kinase CK2 complex [GO:0005956]	269.06
Polyketide	cytosol [GO:0005829]	269.06
Polyketide	nucleoplasm [GO:0005654]	269.06
Polyketide	chromatin [GO:0000785]	269.06
Polyketide	nucleus [GO:0005634]	269.06
Polyketide	acrosomal vesicle [GO:0001669]	269.06
