class	GO_CC	lig_vol
Prenol	protein-containing complex [GO:0032991]	461.29
Prenol	Cul3-RING ubiquitin ligase complex [GO:0031463]	461.29
Prenol	endoplasmic reticulum [GO:0005783]	461.29
Prenol	centriolar satellite [GO:0034451]	461.29
Prenol	focal adhesion [GO:0005925]	461.29
Prenol	actin filament [GO:0005884]	461.29
Prenol	cytosol [GO:0005829]	461.29
Prenol	nucleoplasm [GO:0005654]	461.29
Prenol	inclusion body [GO:0016234]	461.29
Prenol	adherens junction [GO:0005912]	461.29
Prenol	midbody [GO:0030496]	461.29
Prenol	cytoplasm [GO:0005737]	461.29
Prenol	photosystem II [GO:0009523]	826.21
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	826.21
Prenol	plasma membrane [GO:0005886]	404.06
Prenol	organelle inner membrane [GO:0019866]	404.06
Prenol	plasma membrane light-harvesting complex [GO:0030077]	404.06
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	568.21
Prenol	photosystem I [GO:0009522]	568.21
Prenol	plasma membrane [GO:0005886]	261.29
Prenol	cytosol [GO:0005829]	254.01
Prenol	nucleoplasm [GO:0005654]	254.01
Prenol	receptor complex [GO:0043235]	254.01
Prenol	mitochondrion [GO:0005739]	254.01
Prenol	RNA polymerase II transcription regulator complex [GO:0090575]	254.01
Prenol	chromatin [GO:0000785]	254.01
Prenol	transcription regulator complex [GO:0005667]	254.01
Prenol	nucleus [GO:0005634]	254.01
Prenol	oligosaccharyltransferase complex [GO:0008250]	599.51
Prenol	oligosaccharyltransferase III complex [GO:0035000]	599.51
Prenol	membrane [GO:0016020]	599.51
Prenol	endoplasmic reticulum membrane [GO:0005789]	599.51
Prenol	photosystem II [GO:0009523]	434.15
Prenol	chloroplast thylakoid membrane [GO:0009535]	434.15
Prenol	photosystem II [GO:0009523]	434.15
Prenol	chloroplast thylakoid membrane [GO:0009535]	434.15
Prenol	periplasmic space [GO:0042597]	152.81
Prenol	photosystem II [GO:0009523]	586.65
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	586.65
Prenol	membrane [GO:0016020]	471.41
Prenol	light-harvesting complex [GO:0030076]	471.41
Prenol	plastid [GO:0009536]	471.41
Prenol	photosystem II [GO:0009523]	562.18
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	562.18
Prenol	photosystem II [GO:0009523]	562.18
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	562.18
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	334.35
Prenol	photosystem I [GO:0009522]	334.35
Prenol	nucleoplasm [GO:0005654]	166.71
Prenol	cytoplasm [GO:0005737]	166.71
Prenol	cytosol [GO:0005829]	166.71
Prenol	photosystem II [GO:0009523]	440.72
Prenol	chloroplast thylakoid membrane [GO:0009535]	440.72
Prenol	photosystem I [GO:0009522]	440.72
Prenol	photosystem II [GO:0009523]	547.6
Prenol	chloroplast thylakoid membrane [GO:0009535]	547.6
Prenol	mitochondrion [GO:0005739]	266.77
Prenol	nucleoplasm [GO:0005654]	266.77
Prenol	mitochondrial respiratory chain complex I [GO:0005747]	266.77
Prenol	mitochondrial inner membrane [GO:0005743]	266.77
Prenol	photosystem II [GO:0009523]	422.04
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	422.04
Prenol	photosystem II [GO:0009523]	422.04
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	422.04
Prenol	photosystem II [GO:0009523]	343.99
Prenol	chloroplast thylakoid membrane [GO:0009535]	343.99
Prenol	photosystem I [GO:0009522]	343.99
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	362.77
Prenol	photosystem I [GO:0009522]	362.77
