class	GO_CC	lig_vol
Saccharolipid	Golgi medial cisterna [GO:0005797]	362.9
Saccharolipid	Golgi membrane [GO:0000139]	362.9
Saccharolipid	perinuclear region of cytoplasm [GO:0048471]	362.9
Saccharolipid	cytosol [GO:0005829]	439.21
Saccharolipid	cytosol [GO:0005829]	436.18
Saccharolipid	cytoplasm [GO:0005737]	405.27
Saccharolipid	cytoplasm [GO:0005737]	443.9
Saccharolipid	cytoplasm [GO:0005737]	404.36
Saccharolipid	cytosol [GO:0005829]	465.93
Saccharolipid	cytosol [GO:0005829]	378.78
Saccharolipid	cytosol [GO:0005829]	356.88
Saccharolipid	cytosol [GO:0005829]	365.55
Saccharolipid	cytosol [GO:0005829]	390.76
Saccharolipid	cytosol [GO:0005829]	393.88
Saccharolipid	cytosol [GO:0005829]	414.42
Saccharolipid	cytosol [GO:0005829]	392.18
Saccharolipid	cytosol [GO:0005829]	400.29
Saccharolipid	plasma membrane [GO:0005886]	400.29
Saccharolipid	nucleoplasm [GO:0005654]	400.29
Saccharolipid	cytosol [GO:0005829]	322.21
Saccharolipid	plasma membrane [GO:0005886]	322.21
Saccharolipid	nucleoplasm [GO:0005654]	322.21
Saccharolipid	cytosol [GO:0005829]	408.3
Saccharolipid	plasma membrane [GO:0005886]	408.3
Saccharolipid	nucleoplasm [GO:0005654]	408.3
Saccharolipid	cytosol [GO:0005829]	458.25
Saccharolipid	plasma membrane [GO:0005886]	458.25
Saccharolipid	nucleoplasm [GO:0005654]	458.25
Saccharolipid	cytosol [GO:0005829]	329.32
Saccharolipid	plasma membrane [GO:0005886]	329.32
Saccharolipid	nucleoplasm [GO:0005654]	329.32
Saccharolipid	cytosol [GO:0005829]	407.58
Saccharolipid	plasma membrane [GO:0005886]	407.58
Saccharolipid	nucleoplasm [GO:0005654]	407.58
Saccharolipid	cytosol [GO:0005829]	413.56
Saccharolipid	plasma membrane [GO:0005886]	413.56
Saccharolipid	nucleoplasm [GO:0005654]	413.56
Saccharolipid	cytosol [GO:0005829]	461.92
Saccharolipid	plasma membrane [GO:0005886]	461.92
Saccharolipid	nucleoplasm [GO:0005654]	461.92
Saccharolipid	cytosol [GO:0005829]	377.84
Saccharolipid	cytoplasm [GO:0005737]	377.84
Saccharolipid	cytosol [GO:0005829]	520.38
Saccharolipid	cytoplasm [GO:0005737]	520.38
Saccharolipid	plasma membrane [GO:0005886]	394.24
Saccharolipid	plasma membrane [GO:0005886]	361.3
Saccharolipid	cytosol [GO:0005829]	412.48
Saccharolipid	nucleoplasm [GO:0005654]	412.48
Saccharolipid	endoplasmic reticulum [GO:0005783]	412.48
Saccharolipid	endoplasmic reticulum membrane [GO:0005789]	412.48
Saccharolipid	cytosol [GO:0005829]	474.04
Saccharolipid	nucleoplasm [GO:0005654]	474.04
Saccharolipid	endoplasmic reticulum [GO:0005783]	474.04
Saccharolipid	endoplasmic reticulum membrane [GO:0005789]	474.04
Saccharolipid	cytosol [GO:0005829]	380.3
Saccharolipid	cytosol [GO:0005829]	425.84
Saccharolipid	cytosol [GO:0005829]	358.83
Saccharolipid	receptor complex [GO:0043235]	457.21
Saccharolipid	extracellular region [GO:0005576]	457.21
Saccharolipid	endosome membrane [GO:0010008]	457.21
Saccharolipid	plasma membrane [GO:0005886]	457.21
Saccharolipid	lipopolysaccharide receptor complex [GO:0046696]	457.21
Saccharolipid	cytosol [GO:0005829]	403.75
Saccharolipid	cytoplasm [GO:0005737]	403.75
Saccharolipid	cytosol [GO:0005829]	401.35
Saccharolipid	cytosol [GO:0005829]	381.36
Saccharolipid	cytosol [GO:0005829]	452.96
Saccharolipid	cytosol [GO:0005829]	368.18
Saccharolipid	cytosol [GO:0005829]	329.21
Saccharolipid	cytosol [GO:0005829]	379.51
Saccharolipid	cytosol [GO:0005829]	629.87
Saccharolipid	cytoplasm [GO:0005737]	629.87
Saccharolipid	cytoplasm [GO:0005737]	396.66
Saccharolipid	cytoplasm [GO:0005737]	411.51
Saccharolipid	cytoplasm [GO:0005737]	380.83
Saccharolipid	cytoplasm [GO:0005737]	375.67
Saccharolipid	cytoplasm [GO:0005737]	413.7
Saccharolipid	cytoplasm [GO:0005737]	388.71
Saccharolipid	cytoplasm [GO:0005737]	444.1
Saccharolipid	cytoplasm [GO:0005737]	358.47
Saccharolipid	cytosol [GO:0005829]	342.39
Saccharolipid	cytosol [GO:0005829]	505.98
Saccharolipid	cytoplasm [GO:0005737]	351.53
Saccharolipid	extracellular region [GO:0005576]	697.02
Saccharolipid	extracellular region [GO:0005576]	494.29
Saccharolipid	plasma membrane [GO:0005886]	724.13
Saccharolipid	early endosome [GO:0005769]	724.13
Saccharolipid	recycling endosome [GO:0055037]	724.13
Saccharolipid	specific granule [GO:0042581]	724.13
Saccharolipid	extracellular space [GO:0005615]	724.13
Saccharolipid	extracellular region [GO:0005576]	610.16
Saccharolipid	plasma membrane [GO:0005886]	423.82
Saccharolipid	cytoplasm [GO:0005737]	385.97
Saccharolipid	cytoplasm [GO:0005737]	339.66
Saccharolipid	cytoplasm [GO:0005737]	514.82
Saccharolipid	cytoplasm [GO:0005737]	390.56
Saccharolipid	cytoplasm [GO:0005737]	374.45
Saccharolipid	cytoplasm [GO:0005737]	505.85
