class	GO_CC	lig_vol
Sphingolipid	endocytic vesicle lumen [GO:0071682]	106.04
Sphingolipid	tertiary granule lumen [GO:1904724]	106.04
Sphingolipid	cytosol [GO:0005829]	106.04
Sphingolipid	ficolin-1-rich granule lumen [GO:1904813]	106.04
Sphingolipid	extracellular exosome [GO:0070062]	106.04
Sphingolipid	blood microparticle [GO:0072562]	106.04
Sphingolipid	extracellular region [GO:0005576]	106.04
Sphingolipid	extracellular space [GO:0005615]	106.04
Sphingolipid	hemoglobin complex [GO:0005833]	106.04
Sphingolipid	haptoglobin-hemoglobin complex [GO:0031838]	106.04
Sphingolipid	axon terminus [GO:0043679]	481.35
Sphingolipid	voltage-gated potassium channel complex [GO:0008076]	481.35
Sphingolipid	endoplasmic reticulum [GO:0005783]	481.35
Sphingolipid	cell surface [GO:0009986]	481.35
Sphingolipid	apical plasma membrane [GO:0016324]	481.35
Sphingolipid	plasma membrane [GO:0005886]	481.35
Sphingolipid	astrocyte projection [GO:0097449]	481.35
Sphingolipid	axon [GO:0030424]	481.35
Sphingolipid	calyx of Held [GO:0044305]	481.35
Sphingolipid	neuronal cell body [GO:0043025]	481.35
Sphingolipid	membrane raft [GO:0045121]	725.75
Sphingolipid	endosome membrane [GO:0010008]	725.75
Sphingolipid	plasma membrane [GO:0005886]	725.75
Sphingolipid	extracellular space [GO:0005615]	725.75
Sphingolipid	external side of plasma membrane [GO:0009897]	725.75
Sphingolipid	endoplasmic reticulum [GO:0005783]	581.14
Sphingolipid	secretory granule membrane [GO:0030667]	581.14
Sphingolipid	plasma membrane [GO:0005886]	581.14
Sphingolipid	endoplasmic reticulum membrane [GO:0005789]	581.14
Sphingolipid	SPOTS complex [GO:0035339]	581.14
Sphingolipid	specific granule membrane [GO:0035579]	581.14
Sphingolipid	cytoplasm [GO:0005737]	295.49
Sphingolipid	apical plasma membrane [GO:0016324]	589.58
Sphingolipid	gap junction [GO:0005921]	589.58
Sphingolipid	plasma membrane [GO:0005886]	589.58
Sphingolipid	endoplasmic reticulum [GO:0005783]	589.58
Sphingolipid	cytoplasm [GO:0005737]	474.26
Sphingolipid	late endosome [GO:0005770]	953.37
Sphingolipid	endoplasmic reticulum [GO:0005783]	953.37
Sphingolipid	cytoplasm [GO:0005737]	953.37
Sphingolipid	endosome membrane [GO:0010008]	953.37
Sphingolipid	lysosome [GO:0005764]	953.37
Sphingolipid	early endosome [GO:0005769]	953.37
Sphingolipid	extracellular space [GO:0005615]	953.37
Sphingolipid	external side of plasma membrane [GO:0009897]	953.37
Sphingolipid	lysosomal membrane [GO:0005765]	953.37
Sphingolipid	cell surface [GO:0009986]	953.37
Sphingolipid	endosome membrane [GO:0010008]	645.46
Sphingolipid	cytosol [GO:0005829]	645.46
