class	GO_CC	lig_vol
Sterol	late endosome [GO:0005770]	322.47
Sterol	dendrite [GO:0030425]	322.47
Sterol	axonal growth cone [GO:0044295]	322.47
Sterol	endoplasmic reticulum [GO:0005783]	322.47
Sterol	Golgi apparatus [GO:0005794]	322.47
Sterol	ciliary membrane [GO:0060170]	322.47
Sterol	endocytic vesicle membrane [GO:0030666]	322.47
Sterol	cilium [GO:0005929]	322.47
Sterol	intracellular membrane-bounded organelle [GO:0043231]	322.47
Sterol	dendritic growth cone [GO:0044294]	322.47
Sterol	caveola [GO:0005901]	322.47
Sterol	plasma membrane [GO:0005886]	322.47
Sterol	centriole [GO:0005814]	322.47
Sterol	9+0 non-motile cilium [GO:0097731]	322.47
Sterol	cytoplasm [GO:0005737]	322.47
Sterol	endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]	322.47
Sterol	neuronal cell body [GO:0043025]	322.47
Sterol	neuron projection terminus [GO:0044306]	323.94
Sterol	vesicle [GO:0031982]	323.94
Sterol	cell body [GO:0044297]	323.94
Sterol	axolemma [GO:0030673]	323.94
Sterol	glutamatergic synapse [GO:0098978]	323.94
Sterol	membrane [GO:0016020]	323.94
Sterol	plasma membrane [GO:0005886]	323.94
Sterol	astrocyte projection [GO:0097449]	323.94
Sterol	membrane protein complex [GO:0098796]	323.94
Sterol	presynaptic membrane [GO:0042734]	323.94
Sterol	membrane raft [GO:0045121]	323.94
Sterol	cell surface [GO:0009986]	323.94
Sterol	mitochondrion [GO:0005739]	312.67
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	312.67
Sterol	mitochondrial respirasome [GO:0005746]	312.67
Sterol	respiratory chain complex IV [GO:0045277]	312.67
Sterol	nucleoplasm [GO:0005654]	345.57
Sterol	melanosome [GO:0042470]	336.18
Sterol	basolateral plasma membrane [GO:0016323]	336.18
Sterol	plasma membrane [GO:0005886]	336.18
Sterol	membrane [GO:0016020]	336.18
Sterol	axon [GO:0030424]	336.18
Sterol	sarcolemma [GO:0042383]	336.18
Sterol	sodium:potassium-exchanging ATPase complex [GO:0005890]	336.18
Sterol	plasma membrane [GO:0005886]	340.94
Sterol	lysosome [GO:0005764]	340.94
Sterol	plasma membrane [GO:0005886]	329.29
Sterol	membrane [GO:0016020]	329.29
Sterol	heterochromatin [GO:0000792]	344.9
Sterol	perinuclear region of cytoplasm [GO:0048471]	344.9
Sterol	dense fibrillar component [GO:0001651]	344.9
Sterol	receptor complex [GO:0043235]	344.9
Sterol	euchromatin [GO:0000791]	344.9
Sterol	nuclear matrix [GO:0016363]	344.9
Sterol	RNA polymerase II transcription regulator complex [GO:0090575]	344.9
Sterol	T-tubule [GO:0030315]	344.9
Sterol	nucleus [GO:0005634]	344.9
Sterol	respiratory chain complex IV [GO:0045277]	334.89
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	334.89
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	355.29
Sterol	respiratory chain complex IV [GO:0045277]	355.29
Sterol	mitochondrion [GO:0005739]	355.29
Sterol	mitochondrial respirasome [GO:0005746]	355.29
Sterol	membrane [GO:0016020]	672.93
Sterol	plasma membrane [GO:0005886]	672.93
Sterol	plasma membrane [GO:0005886]	336.28
Sterol	apical plasma membrane [GO:0016324]	336.28
Sterol	plasma membrane [GO:0005886]	302.29
Sterol	membrane [GO:0016020]	392.11
Sterol	endoplasmic reticulum membrane [GO:0005789]	392.11
Sterol	GPI-anchor transamidase complex [GO:0042765]	392.11
Sterol	plasma membrane [GO:0005886]	380.54
Sterol	membrane [GO:0016020]	380.54
Sterol	melanosome [GO:0042470]	321.46
Sterol	basolateral plasma membrane [GO:0016323]	321.46
Sterol	plasma membrane [GO:0005886]	321.46
Sterol	membrane [GO:0016020]	321.46
Sterol	axon [GO:0030424]	321.46
Sterol	sarcolemma [GO:0042383]	321.46
Sterol	sodium:potassium-exchanging ATPase complex [GO:0005890]	321.46
Sterol	plasma membrane [GO:0005886]	356.61
Sterol	lysosome [GO:0005764]	356.61
Sterol	endoplasmic reticulum-plasma membrane contact site [GO:0140268]	309.49
Sterol	mitochondrial membrane [GO:0031966]	309.49
Sterol	cortical endoplasmic reticulum [GO:0032541]	309.49
Sterol	endoplasmic reticulum membrane [GO:0005789]	309.49
Sterol	plasma membrane [GO:0005886]	309.49
Sterol	mitochondrion [GO:0005739]	309.49
Sterol	cell periphery [GO:0071944]	309.49
Sterol	cytoplasm [GO:0005737]	309.49
Sterol	endoplasmic reticulum membrane [GO:0005789]	362.59
Sterol	intracellular membrane-bounded organelle [GO:0043231]	375.08
Sterol	endoplasmic reticulum membrane [GO:0005789]	375.08
Sterol	cytosol [GO:0005829]	276.88
Sterol	nucleoplasm [GO:0005654]	276.88
Sterol	receptor complex [GO:0043235]	276.88
Sterol	RNA polymerase II transcription regulator complex [GO:0090575]	276.88
Sterol	chromatin [GO:0000785]	276.88
Sterol	nucleus [GO:0005634]	276.88
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	348.28
Sterol	respiratory chain complex IV [GO:0045277]	348.28
Sterol	plasma membrane [GO:0005886]	346.92
Sterol	cytosolic DNA-directed RNA polymerase complex [GO:0000345]	285.16
Sterol	membrane [GO:0016020]	285.16
Sterol	transcription elongation factor complex [GO:0008023]	285.16
Sterol	cytosol [GO:0005829]	285.16
