class	GO_CC	ratio
Fatty Acyl	cytosol [GO:0005829]	0.3724449685534591
Fatty Acyl	protein-containing complex [GO:0032991]	0.3724449685534591
Fatty Acyl	apoptosome [GO:0043293]	0.3724449685534591
Fatty Acyl	nucleus [GO:0005634]	0.3724449685534591
Fatty Acyl	cytoplasm [GO:0005737]	0.32337873388571886
Fatty Acyl	membrane [GO:0016020]	0.7265466682560496
Fatty Acyl	membrane [GO:0016020]	0.20133945656333715
Fatty Acyl	host multivesicular body [GO:0072494]	0.20133945656333715
Fatty Acyl	viral nucleocapsid [GO:0019013]	0.20133945656333715
Fatty Acyl	host cell plasma membrane [GO:0020002]	0.20133945656333715
Fatty Acyl	virion membrane [GO:0055036]	0.20133945656333715
Fatty Acyl	host cell nucleus [GO:0042025]	0.20133945656333715
Fatty Acyl	pore complex [GO:0046930]	0.26916816227722357
Fatty Acyl	cell outer membrane [GO:0009279]	0.26916816227722357
Fatty Acyl	membrane [GO:0016020]	0.4761153672825597
Fatty Acyl	cell-cell junction [GO:0005911]	0.4761153672825597
Fatty Acyl	photoreceptor disc membrane [GO:0097381]	0.4761153672825597
Fatty Acyl	G protein-coupled receptor complex [GO:0097648]	0.4761153672825597
Fatty Acyl	plasma membrane [GO:0005886]	0.4761153672825597
Fatty Acyl	sperm midpiece [GO:0097225]	0.4761153672825597
Fatty Acyl	photoreceptor inner segment membrane [GO:0060342]	0.4761153672825597
Fatty Acyl	photoreceptor outer segment [GO:0001750]	0.4761153672825597
Fatty Acyl	photoreceptor outer segment membrane [GO:0042622]	0.4761153672825597
Fatty Acyl	Golgi membrane [GO:0000139]	0.4761153672825597
Fatty Acyl	outer membrane [GO:0019867]	0.4761153672825597
Fatty Acyl	sperm head plasma membrane [GO:1990913]	0.4761153672825597
Fatty Acyl	rod photoreceptor outer segment [GO:0120200]	0.4761153672825597
Fatty Acyl	lysosomal lumen [GO:0043202]	0.1997859289448767
Fatty Acyl	extracellular exosome [GO:0070062]	0.1997859289448767
Fatty Acyl	azurophil granule lumen [GO:0035578]	0.1997859289448767
Fatty Acyl	cytoplasm [GO:0005737]	0.1997859289448767
Fatty Acyl	lysosome [GO:0005764]	0.1997859289448767
Fatty Acyl	Golgi apparatus [GO:0005794]	0.1997859289448767
Fatty Acyl	extracellular region [GO:0005576]	0.1997859289448767
Fatty Acyl	membrane [GO:0016020]	0.5575416363402834
Fatty Acyl	cytosol [GO:0005829]	0.3969063545150502
Fatty Acyl	membrane [GO:0016020]	0.3154714399726371
Fatty Acyl	plasma membrane [GO:0005886]	0.3154714399726371
Fatty Acyl	membrane [GO:0016020]	0.7468189075426969
Fatty Acyl	monoatomic ion channel complex [GO:0034702]	0.7468189075426969
Fatty Acyl	pore complex [GO:0046930]	0.7468189075426969
Fatty Acyl	cell outer membrane [GO:0009279]	0.7468189075426969
Fatty Acyl	neuromuscular junction [GO:0031594]	0.9289647577092512
Fatty Acyl	perikaryon [GO:0043204]	0.9289647577092512
Fatty Acyl	membrane [GO:0016020]	0.9289647577092512
Fatty Acyl	early endosome membrane [GO:0031901]	0.9289647577092512
Fatty Acyl	synapse [GO:0045202]	0.9289647577092512
Fatty Acyl	plasma membrane [GO:0005886]	0.9289647577092512
Fatty Acyl	presynaptic membrane [GO:0042734]	0.9289647577092512
Fatty Acyl	synaptic vesicle membrane [GO:0030672]	0.9289647577092512
Fatty Acyl	axon [GO:0030424]	0.9289647577092512
Fatty Acyl	dendrite [GO:0030425]	0.9289647577092512
Fatty Acyl	T-tubule [GO:0030315]	1.0879925620688466
Fatty Acyl	inward rectifying potassium channel [GO:0008282]	1.0879925620688466
Fatty Acyl	nuclear envelope [GO:0005635]	1.0879925620688466
Fatty Acyl	sarcolemma [GO:0042383]	1.0879925620688466
Fatty Acyl	presynaptic membrane [GO:0042734]	1.0879925620688466
Fatty Acyl	glutamatergic synapse [GO:0098978]	1.0879925620688466
Fatty Acyl	axolemma [GO:0030673]	1.0879925620688466
Fatty Acyl	neuronal cell body [GO:0043025]	1.0879925620688466
Fatty Acyl	intercalated disc [GO:0014704]	1.0879925620688466
Fatty Acyl	acrosomal vesicle [GO:0001669]	1.0879925620688466
Fatty Acyl	plasma membrane [GO:0005886]	1.0879925620688466
Fatty Acyl	cell body fiber [GO:0070852]	1.0879925620688466
Fatty Acyl	endosome [GO:0005768]	1.0879925620688466
Fatty Acyl	extracellular exosome [GO:0070062]	0.26197470941371825
Fatty Acyl	cytoplasm [GO:0005737]	0.26197470941371825
Fatty Acyl	protein-containing complex [GO:0032991]	0.26197470941371825
Fatty Acyl	blood microparticle [GO:0072562]	0.26197470941371825
Fatty Acyl	Golgi apparatus [GO:0005794]	0.26197470941371825
Fatty Acyl	endoplasmic reticulum lumen [GO:0005788]	0.26197470941371825
Fatty Acyl	extracellular region [GO:0005576]	0.26197470941371825
Fatty Acyl	platelet alpha granule lumen [GO:0031093]	0.26197470941371825
