class	GO_CC	ratio
Glycerolipid	fungal-type vacuole [GO:0000324]	1.236043095004897
Glycerolipid	fungal-type vacuole membrane [GO:0000329]	1.236043095004897
Glycerolipid	fungal-type vacuole [GO:0000324]	0.49089031742330874
Glycerolipid	fungal-type vacuole membrane [GO:0000329]	0.49089031742330874
Glycerolipid	fungal-type vacuole [GO:0000324]	0.8325613889823271
Glycerolipid	fungal-type vacuole membrane [GO:0000329]	0.8325613889823271
Glycerolipid	fungal-type vacuole [GO:0000324]	0.5148388528318634
Glycerolipid	fungal-type vacuole membrane [GO:0000329]	0.5148388528318634
Glycerolipid	fungal-type vacuole [GO:0000324]	0.5153408593681631
Glycerolipid	fungal-type vacuole membrane [GO:0000329]	0.5153408593681631
Glycerolipid	fungal-type vacuole [GO:0000324]	0.7976174601057919
Glycerolipid	fungal-type vacuole membrane [GO:0000329]	0.7976174601057919
Glycerolipid	fungal-type vacuole [GO:0000324]	2.1372079089275013
Glycerolipid	fungal-type vacuole membrane [GO:0000329]	2.1372079089275013
Glycerolipid	fungal-type vacuole [GO:0000324]	0.7537348801747408
Glycerolipid	fungal-type vacuole membrane [GO:0000329]	0.7537348801747408
Glycerolipid	host cell cytoplasm [GO:0030430]	0.35746139799505594
Glycerolipid	host cell cytoplasm [GO:0030430]	1.0500018997682283
Glycerolipid	nucleoplasm [GO:0005654]	1.3190014534187284
Glycerolipid	respiratory chain complex IV [GO:0045277]	1.3190014534187284
Glycerolipid	cytosol [GO:0005829]	1.3190014534187284
Glycerolipid	mitochondrial respiratory chain complex IV [GO:0005751]	1.3190014534187284
Glycerolipid	host cell cytoplasm [GO:0030430]	0.8508501541215074
Glycerolipid	host cell cytoplasm [GO:0030430]	0.3859279658728873
Glycerolipid	host cell cytoplasm [GO:0030430]	0.4813594258957655
Glycerolipid	host cell cytoplasm [GO:0030430]	0.9003492606078621
Glycerolipid	plasma membrane [GO:0005886]	3.2182368882512353
Glycerolipid	plasma membrane [GO:0005886]	2.560597788999591
Glycerolipid	external side of plasma membrane [GO:0009897]	0.33486251522102345
Glycerolipid	cell surface [GO:0009986]	0.33486251522102345
Glycerolipid	plasma membrane [GO:0005886]	0.33486251522102345
Glycerolipid	cytoplasm [GO:0005737]	0.33486251522102345
Glycerolipid	endosome [GO:0005768]	0.33486251522102345
Glycerolipid	external side of plasma membrane [GO:0009897]	0.6166673026290687
Glycerolipid	cell surface [GO:0009986]	0.6166673026290687
Glycerolipid	plasma membrane [GO:0005886]	0.6166673026290687
Glycerolipid	cytoplasm [GO:0005737]	0.6166673026290687
Glycerolipid	endosome [GO:0005768]	0.6166673026290687
Glycerolipid	external side of plasma membrane [GO:0009897]	0.44508149346896314
Glycerolipid	cell surface [GO:0009986]	0.44508149346896314
Glycerolipid	plasma membrane [GO:0005886]	0.44508149346896314
Glycerolipid	cytoplasm [GO:0005737]	0.44508149346896314
Glycerolipid	endosome [GO:0005768]	0.44508149346896314
Glycerolipid	external side of plasma membrane [GO:0009897]	0.30878821182887617
Glycerolipid	cell surface [GO:0009986]	0.30878821182887617
Glycerolipid	plasma membrane [GO:0005886]	0.30878821182887617
Glycerolipid	cytoplasm [GO:0005737]	0.30878821182887617
Glycerolipid	endosome [GO:0005768]	0.30878821182887617
Glycerolipid	respiratory chain complex IV [GO:0045277]	8.548207448659937
Glycerolipid	mitochondrial inner membrane [GO:0005743]	8.548207448659937
Glycerolipid	external side of plasma membrane [GO:0009897]	0.33686379504947894
Glycerolipid	cell surface [GO:0009986]	0.33686379504947894
Glycerolipid	plasma membrane [GO:0005886]	0.33686379504947894
Glycerolipid	cytoplasm [GO:0005737]	0.33686379504947894
