class	GO_CC	ratio
Prenol	protein-containing complex [GO:0032991]	0.4069643314012475
Prenol	Cul3-RING ubiquitin ligase complex [GO:0031463]	0.4069643314012475
Prenol	endoplasmic reticulum [GO:0005783]	0.4069643314012475
Prenol	centriolar satellite [GO:0034451]	0.4069643314012475
Prenol	focal adhesion [GO:0005925]	0.4069643314012475
Prenol	actin filament [GO:0005884]	0.4069643314012475
Prenol	cytosol [GO:0005829]	0.4069643314012475
Prenol	nucleoplasm [GO:0005654]	0.4069643314012475
Prenol	inclusion body [GO:0016234]	0.4069643314012475
Prenol	adherens junction [GO:0005912]	0.4069643314012475
Prenol	midbody [GO:0030496]	0.4069643314012475
Prenol	cytoplasm [GO:0005737]	0.4069643314012475
Prenol	photosystem II [GO:0009523]	1.8348805187883097
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	1.8348805187883097
Prenol	plasma membrane [GO:0005886]	0.8996304047735673
Prenol	organelle inner membrane [GO:0019866]	0.8996304047735673
Prenol	plasma membrane light-harvesting complex [GO:0030077]	0.8996304047735673
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	1.05715455171259
Prenol	photosystem I [GO:0009522]	1.05715455171259
Prenol	plasma membrane [GO:0005886]	0.5673310752127845
Prenol	cytosol [GO:0005829]	1.7129273720412705
Prenol	nucleoplasm [GO:0005654]	1.7129273720412705
Prenol	receptor complex [GO:0043235]	1.7129273720412705
Prenol	mitochondrion [GO:0005739]	1.7129273720412705
Prenol	RNA polymerase II transcription regulator complex [GO:0090575]	1.7129273720412705
Prenol	chromatin [GO:0000785]	1.7129273720412705
Prenol	transcription regulator complex [GO:0005667]	1.7129273720412705
Prenol	nucleus [GO:0005634]	1.7129273720412705
Prenol	oligosaccharyltransferase complex [GO:0008250]	0.29167700533718666
Prenol	oligosaccharyltransferase III complex [GO:0035000]	0.29167700533718666
Prenol	membrane [GO:0016020]	0.29167700533718666
Prenol	endoplasmic reticulum membrane [GO:0005789]	0.29167700533718666
Prenol	photosystem II [GO:0009523]	1.2235436687991432
Prenol	chloroplast thylakoid membrane [GO:0009535]	1.2235436687991432
Prenol	photosystem II [GO:0009523]	1.2235436687991432
Prenol	chloroplast thylakoid membrane [GO:0009535]	1.2235436687991432
