class	GO_CC	ratio
Saccharolipid	Golgi medial cisterna [GO:0005797]	0.301745283411077
Saccharolipid	Golgi membrane [GO:0000139]	0.301745283411077
Saccharolipid	perinuclear region of cytoplasm [GO:0048471]	0.301745283411077
Saccharolipid	cytosol [GO:0005829]	0.4410137462220482
Saccharolipid	cytosol [GO:0005829]	0.43875108133663265
Saccharolipid	cytoplasm [GO:0005737]	0.33687439215979653
Saccharolipid	cytoplasm [GO:0005737]	0.3902108844135409
Saccharolipid	cytoplasm [GO:0005737]	0.35192341166231506
Saccharolipid	cytosol [GO:0005829]	0.4601777777777778
Saccharolipid	cytosol [GO:0005829]	0.3614106062630002
Saccharolipid	cytosol [GO:0005829]	0.23975975653178724
Saccharolipid	cytosol [GO:0005829]	0.3481693843340445
Saccharolipid	cytosol [GO:0005829]	0.2977559340115061
Saccharolipid	cytosol [GO:0005829]	0.2743450975475549
Saccharolipid	cytosol [GO:0005829]	0.3642260131304875
Saccharolipid	cytosol [GO:0005829]	0.3067980912148948
Saccharolipid	cytosol [GO:0005829]	0.30801015697137585
Saccharolipid	plasma membrane [GO:0005886]	0.30801015697137585
Saccharolipid	nucleoplasm [GO:0005654]	0.30801015697137585
Saccharolipid	cytosol [GO:0005829]	3.415593106909821
Saccharolipid	plasma membrane [GO:0005886]	3.415593106909821
Saccharolipid	nucleoplasm [GO:0005654]	3.415593106909821
Saccharolipid	cytosol [GO:0005829]	0.4592925941888086
Saccharolipid	plasma membrane [GO:0005886]	0.4592925941888086
Saccharolipid	nucleoplasm [GO:0005654]	0.4592925941888086
Saccharolipid	cytosol [GO:0005829]	0.30417394035116885
Saccharolipid	plasma membrane [GO:0005886]	0.30417394035116885
Saccharolipid	nucleoplasm [GO:0005654]	0.30417394035116885
Saccharolipid	cytosol [GO:0005829]	3.723892188213796
Saccharolipid	plasma membrane [GO:0005886]	3.723892188213796
Saccharolipid	nucleoplasm [GO:0005654]	3.723892188213796
Saccharolipid	cytosol [GO:0005829]	2.5671011793916825
Saccharolipid	plasma membrane [GO:0005886]	2.5671011793916825
Saccharolipid	nucleoplasm [GO:0005654]	2.5671011793916825
Saccharolipid	cytosol [GO:0005829]	0.43407822279023434
Saccharolipid	plasma membrane [GO:0005886]	0.43407822279023434
Saccharolipid	nucleoplasm [GO:0005654]	0.43407822279023434
Saccharolipid	cytosol [GO:0005829]	0.33343040443350186
Saccharolipid	cytoplasm [GO:0005737]	0.33343040443350186
Saccharolipid	cytosol [GO:0005829]	0.3304083913242241
Saccharolipid	cytoplasm [GO:0005737]	0.3304083913242241
Saccharolipid	plasma membrane [GO:0005886]	0.3366263928617171
Saccharolipid	plasma membrane [GO:0005886]	0.30814236125917904
Saccharolipid	cytosol [GO:0005829]	0.32560269020065996
Saccharolipid	nucleoplasm [GO:0005654]	0.32560269020065996
Saccharolipid	endoplasmic reticulum [GO:0005783]	0.32560269020065996
