class	GO_CC	ratio
Sphingolipid	endocytic vesicle lumen [GO:0071682]	0.4365582544256896
Sphingolipid	tertiary granule lumen [GO:1904724]	0.4365582544256896
Sphingolipid	cytosol [GO:0005829]	0.4365582544256896
Sphingolipid	ficolin-1-rich granule lumen [GO:1904813]	0.4365582544256896
Sphingolipid	extracellular exosome [GO:0070062]	0.4365582544256896
Sphingolipid	blood microparticle [GO:0072562]	0.4365582544256896
Sphingolipid	extracellular region [GO:0005576]	0.4365582544256896
Sphingolipid	extracellular space [GO:0005615]	0.4365582544256896
Sphingolipid	hemoglobin complex [GO:0005833]	0.4365582544256896
Sphingolipid	haptoglobin-hemoglobin complex [GO:0031838]	0.4365582544256896
Sphingolipid	axon terminus [GO:0043679]	0.49514982564060367
Sphingolipid	voltage-gated potassium channel complex [GO:0008076]	0.49514982564060367
Sphingolipid	endoplasmic reticulum [GO:0005783]	0.49514982564060367
Sphingolipid	cell surface [GO:0009986]	0.49514982564060367
Sphingolipid	apical plasma membrane [GO:0016324]	0.49514982564060367
Sphingolipid	plasma membrane [GO:0005886]	0.49514982564060367
Sphingolipid	astrocyte projection [GO:0097449]	0.49514982564060367
Sphingolipid	axon [GO:0030424]	0.49514982564060367
Sphingolipid	calyx of Held [GO:0044305]	0.49514982564060367
Sphingolipid	neuronal cell body [GO:0043025]	0.49514982564060367
Sphingolipid	membrane raft [GO:0045121]	0.3700408408837131
Sphingolipid	endosome membrane [GO:0010008]	0.3700408408837131
Sphingolipid	plasma membrane [GO:0005886]	0.3700408408837131
Sphingolipid	extracellular space [GO:0005615]	0.3700408408837131
Sphingolipid	external side of plasma membrane [GO:0009897]	0.3700408408837131
Sphingolipid	endoplasmic reticulum [GO:0005783]	0.7008695442430383
Sphingolipid	secretory granule membrane [GO:0030667]	0.7008695442430383
Sphingolipid	plasma membrane [GO:0005886]	0.7008695442430383
Sphingolipid	endoplasmic reticulum membrane [GO:0005789]	0.7008695442430383
Sphingolipid	SPOTS complex [GO:0035339]	0.7008695442430383
Sphingolipid	specific granule membrane [GO:0035579]	0.7008695442430383
Sphingolipid	cytoplasm [GO:0005737]	0.3547937803926277
