class	GO_CC	ratio
Sterol	late endosome [GO:0005770]	0.32074758546604737
Sterol	dendrite [GO:0030425]	0.32074758546604737
Sterol	axonal growth cone [GO:0044295]	0.32074758546604737
Sterol	endoplasmic reticulum [GO:0005783]	0.32074758546604737
Sterol	Golgi apparatus [GO:0005794]	0.32074758546604737
Sterol	ciliary membrane [GO:0060170]	0.32074758546604737
Sterol	endocytic vesicle membrane [GO:0030666]	0.32074758546604737
Sterol	cilium [GO:0005929]	0.32074758546604737
Sterol	intracellular membrane-bounded organelle [GO:0043231]	0.32074758546604737
Sterol	dendritic growth cone [GO:0044294]	0.32074758546604737
Sterol	caveola [GO:0005901]	0.32074758546604737
Sterol	plasma membrane [GO:0005886]	0.32074758546604737
Sterol	centriole [GO:0005814]	0.32074758546604737
Sterol	9+0 non-motile cilium [GO:0097731]	0.32074758546604737
Sterol	cytoplasm [GO:0005737]	0.32074758546604737
Sterol	endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]	0.32074758546604737
Sterol	neuronal cell body [GO:0043025]	0.32074758546604737
Sterol	neuron projection terminus [GO:0044306]	0.7365285798735847
Sterol	vesicle [GO:0031982]	0.7365285798735847
Sterol	cell body [GO:0044297]	0.7365285798735847
Sterol	axolemma [GO:0030673]	0.7365285798735847
Sterol	glutamatergic synapse [GO:0098978]	0.7365285798735847
Sterol	membrane [GO:0016020]	0.7365285798735847
Sterol	plasma membrane [GO:0005886]	0.7365285798735847
Sterol	astrocyte projection [GO:0097449]	0.7365285798735847
Sterol	membrane protein complex [GO:0098796]	0.7365285798735847
Sterol	presynaptic membrane [GO:0042734]	0.7365285798735847
Sterol	membrane raft [GO:0045121]	0.7365285798735847
Sterol	cell surface [GO:0009986]	0.7365285798735847
Sterol	nucleoplasm [GO:0005654]	0.8203247400655177
Sterol	melanosome [GO:0042470]	0.47554247885251927
Sterol	basolateral plasma membrane [GO:0016323]	0.47554247885251927
Sterol	plasma membrane [GO:0005886]	0.47554247885251927
Sterol	membrane [GO:0016020]	0.47554247885251927
Sterol	axon [GO:0030424]	0.47554247885251927
Sterol	sarcolemma [GO:0042383]	0.47554247885251927
Sterol	sodium:potassium-exchanging ATPase complex [GO:0005890]	0.47554247885251927
Sterol	plasma membrane [GO:0005886]	0.693122446075342
Sterol	lysosome [GO:0005764]	0.693122446075342
Sterol	plasma membrane [GO:0005886]	0.7348254931714719
Sterol	membrane [GO:0016020]	0.7348254931714719
Sterol	heterochromatin [GO:0000792]	0.3804953389596778
Sterol	perinuclear region of cytoplasm [GO:0048471]	0.3804953389596778
Sterol	dense fibrillar component [GO:0001651]	0.3804953389596778
Sterol	receptor complex [GO:0043235]	0.3804953389596778
Sterol	euchromatin [GO:0000791]	0.3804953389596778
Sterol	nuclear matrix [GO:0016363]	0.3804953389596778
Sterol	RNA polymerase II transcription regulator complex [GO:0090575]	0.3804953389596778
Sterol	T-tubule [GO:0030315]	0.3804953389596778
Sterol	nucleus [GO:0005634]	0.3804953389596778
Sterol	respiratory chain complex IV [GO:0045277]	0.9713995649021029
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	0.9713995649021029
Sterol	membrane [GO:0016020]	0.5522655089496015
Sterol	plasma membrane [GO:0005886]	0.5522655089496015
Sterol	plasma membrane [GO:0005886]	0.27436646378277824
Sterol	apical plasma membrane [GO:0016324]	0.27436646378277824
Sterol	plasma membrane [GO:0005886]	0.1828846270191784
Sterol	membrane [GO:0016020]	0.4265820994571307
Sterol	endoplasmic reticulum membrane [GO:0005789]	0.4265820994571307
Sterol	GPI-anchor transamidase complex [GO:0042765]	0.4265820994571307
Sterol	plasma membrane [GO:0005886]	0.6498847237639827
Sterol	membrane [GO:0016020]	0.6498847237639827
Sterol	melanosome [GO:0042470]	0.98287775943252
Sterol	basolateral plasma membrane [GO:0016323]	0.98287775943252
Sterol	plasma membrane [GO:0005886]	0.98287775943252
Sterol	membrane [GO:0016020]	0.98287775943252
Sterol	axon [GO:0030424]	0.98287775943252
Sterol	sarcolemma [GO:0042383]	0.98287775943252
Sterol	sodium:potassium-exchanging ATPase complex [GO:0005890]	0.98287775943252
Sterol	plasma membrane [GO:0005886]	0.6050390227349848
Sterol	lysosome [GO:0005764]	0.6050390227349848
Sterol	endoplasmic reticulum-plasma membrane contact site [GO:0140268]	0.2585698411770112
Sterol	mitochondrial membrane [GO:0031966]	0.2585698411770112
Sterol	cortical endoplasmic reticulum [GO:0032541]	0.2585698411770112
Sterol	endoplasmic reticulum membrane [GO:0005789]	0.2585698411770112
Sterol	plasma membrane [GO:0005886]	0.2585698411770112
Sterol	mitochondrion [GO:0005739]	0.2585698411770112
Sterol	cell periphery [GO:0071944]	0.2585698411770112
Sterol	cytoplasm [GO:0005737]	0.2585698411770112
Sterol	endoplasmic reticulum membrane [GO:0005789]	0.22821339107010233
Sterol	intracellular membrane-bounded organelle [GO:0043231]	0.3288934875441719
Sterol	endoplasmic reticulum membrane [GO:0005789]	0.3288934875441719
Sterol	cytosol [GO:0005829]	0.3168906081900794
Sterol	nucleoplasm [GO:0005654]	0.3168906081900794
Sterol	receptor complex [GO:0043235]	0.3168906081900794
Sterol	RNA polymerase II transcription regulator complex [GO:0090575]	0.3168906081900794
Sterol	chromatin [GO:0000785]	0.3168906081900794
Sterol	nucleus [GO:0005634]	0.3168906081900794
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	0.5556388698329637
Sterol	respiratory chain complex IV [GO:0045277]	0.5556388698329637
Sterol	plasma membrane [GO:0005886]	0.7743404312307487
Sterol	cytosolic DNA-directed RNA polymerase complex [GO:0000345]	0.26042246961159465
Sterol	membrane [GO:0016020]	0.26042246961159465
Sterol	transcription elongation factor complex [GO:0008023]	0.26042246961159465
Sterol	cytosol [GO:0005829]	0.26042246961159465
Sterol	cytoplasm [GO:0005737]	0.26042246961159465
Sterol	mitochondrial inner membrane [GO:0005743]	1.0253030623658514
Sterol	respiratory chain complex IV [GO:0045277]	1.0253030623658514
Sterol	mitochondrion [GO:0005739]	1.9597862463564721
Sterol	mitochondrial inner membrane [GO:0005743]	1.9597862463564721
Sterol	mitochondrial matrix [GO:0005759]	1.9597862463564721
Sterol	dendrite [GO:0030425]	0.8716297408937289
Sterol	endosome [GO:0005768]	0.8716297408937289
Sterol	plasma membrane [GO:0005886]	0.8716297408937289
Sterol	membrane [GO:0016020]	0.8716297408937289
Sterol	synapse [GO:0045202]	0.8716297408937289
Sterol	periplasmic space [GO:0042597]	0.8716297408937289
Sterol	cytoplasm [GO:0005737]	0.8716297408937289
Sterol	cytosol [GO:0005829]	0.3003006944610171
Sterol	serotonergic synapse [GO:0099154]	0.4433912082816186
Sterol	endosome membrane [GO:0010008]	0.4433912082816186
Sterol	focal adhesion [GO:0005925]	0.4433912082816186
Sterol	neuron projection [GO:0043005]	0.4433912082816186
Sterol	endomembrane system [GO:0012505]	0.4433912082816186
Sterol	plasma membrane [GO:0005886]	0.4433912082816186
Sterol	postsynaptic membrane [GO:0045211]	0.4433912082816186
Sterol	synapse [GO:0045202]	0.4433912082816186
Sterol	presynaptic membrane [GO:0042734]	0.4433912082816186
Sterol	membrane raft [GO:0045121]	0.4433912082816186
Sterol	cytosol [GO:0005829]	0.24089354836012805
Sterol	plasma membrane [GO:0005886]	0.6840716219598207
Sterol	postsynaptic membrane [GO:0045211]	0.8917058597928987
Sterol	external side of plasma membrane [GO:0009897]	0.8917058597928987
Sterol	membrane [GO:0016020]	0.8917058597928987
Sterol	dendrite [GO:0030425]	0.8917058597928987
Sterol	neuron projection [GO:0043005]	0.8917058597928987
Sterol	dendritic spine membrane [GO:0032591]	0.8917058597928987
Sterol	neuronal cell body [GO:0043025]	0.8917058597928987
Sterol	plasma membrane [GO:0005886]	0.8917058597928987
Sterol	cytoplasm [GO:0005737]	0.2926761995879985
Sterol	mitochondrial inner membrane [GO:0005743]	0.8801561945331914
Sterol	respiratory chain complex IV [GO:0045277]	0.8801561945331914
Sterol	non-motile cilium [GO:0097730]	0.4787660710787599
Sterol	ciliary membrane [GO:0060170]	0.4787660710787599
Sterol	cilium [GO:0005929]	0.4787660710787599
Sterol	plasma membrane [GO:0005886]	0.4787660710787599
Sterol	synapse [GO:0045202]	0.4787660710787599
Sterol	brush border membrane [GO:0031526]	0.4787660710787599
Sterol	periplasmic space [GO:0042597]	0.4787660710787599
Sterol	nucleoplasm [GO:0005654]	0.6734303534303535
Sterol	nucleus [GO:0005634]	0.6734303534303535
Sterol	RNA polymerase III complex [GO:0005666]	0.6734303534303535
Sterol	plasma membrane [GO:0005886]	0.9398810709306625
Sterol	endoplasmic reticulum membrane [GO:0005789]	0.6761499218300008
Sterol	endoplasmic reticulum [GO:0005783]	0.6761499218300008
Sterol	Golgi membrane [GO:0000139]	0.6761499218300008
Sterol	Golgi apparatus [GO:0005794]	0.6761499218300008
Sterol	mitochondrion [GO:0005739]	0.8066969998578132
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	0.8066969998578132
Sterol	mitochondrial respirasome [GO:0005746]	0.8066969998578132
Sterol	respiratory chain complex IV [GO:0045277]	0.8066969998578132
Sterol	GABA-ergic synapse [GO:0098982]	0.5673755159621715
Sterol	plasma membrane [GO:0005886]	0.5673755159621715
Sterol	postsynaptic membrane [GO:0045211]	0.5673755159621715
Sterol	presynapse [GO:0098793]	0.5673755159621715
Sterol	presynaptic membrane [GO:0042734]	0.5673755159621715
Sterol	axon [GO:0030424]	0.5673755159621715
Sterol	cell surface [GO:0009986]	0.5673755159621715
Sterol	neuronal cell body [GO:0043025]	0.5673755159621715
Sterol	plasma membrane [GO:0005886]	0.7553770594924154
Sterol	voltage-gated calcium channel complex [GO:0005891]	0.6410108069330989
