class	GO_CC	polarity_score
Fatty Acyl	cytosol [GO:0005829]	4
Fatty Acyl	protein-containing complex [GO:0032991]	4
Fatty Acyl	apoptosome [GO:0043293]	4
Fatty Acyl	nucleus [GO:0005634]	4
Fatty Acyl	cytoplasm [GO:0005737]	14
Fatty Acyl	membrane [GO:0016020]	3
Fatty Acyl	membrane [GO:0016020]	5
Fatty Acyl	host multivesicular body [GO:0072494]	5
Fatty Acyl	viral nucleocapsid [GO:0019013]	5
Fatty Acyl	host cell plasma membrane [GO:0020002]	5
Fatty Acyl	virion membrane [GO:0055036]	5
Fatty Acyl	host cell nucleus [GO:0042025]	5
Fatty Acyl	pore complex [GO:0046930]	4
Fatty Acyl	cell outer membrane [GO:0009279]	4
Fatty Acyl	membrane [GO:0016020]	3
Fatty Acyl	cell-cell junction [GO:0005911]	3
Fatty Acyl	photoreceptor disc membrane [GO:0097381]	3
Fatty Acyl	G protein-coupled receptor complex [GO:0097648]	3
Fatty Acyl	plasma membrane [GO:0005886]	3
Fatty Acyl	sperm midpiece [GO:0097225]	3
Fatty Acyl	photoreceptor inner segment membrane [GO:0060342]	3
Fatty Acyl	photoreceptor outer segment [GO:0001750]	3
Fatty Acyl	photoreceptor outer segment membrane [GO:0042622]	3
Fatty Acyl	Golgi membrane [GO:0000139]	3
Fatty Acyl	outer membrane [GO:0019867]	3
Fatty Acyl	sperm head plasma membrane [GO:1990913]	3
Fatty Acyl	rod photoreceptor outer segment [GO:0120200]	3
Fatty Acyl	lysosomal lumen [GO:0043202]	5
Fatty Acyl	extracellular exosome [GO:0070062]	5
Fatty Acyl	azurophil granule lumen [GO:0035578]	5
Fatty Acyl	cytoplasm [GO:0005737]	5
Fatty Acyl	lysosome [GO:0005764]	5
Fatty Acyl	Golgi apparatus [GO:0005794]	5
Fatty Acyl	extracellular region [GO:0005576]	5
Fatty Acyl	membrane [GO:0016020]	2
Fatty Acyl	cytosol [GO:0005829]	3
Fatty Acyl	membrane [GO:0016020]	0
Fatty Acyl	plasma membrane [GO:0005886]	0
Fatty Acyl	membrane [GO:0016020]	4
Fatty Acyl	monoatomic ion channel complex [GO:0034702]	4
Fatty Acyl	pore complex [GO:0046930]	4
Fatty Acyl	cell outer membrane [GO:0009279]	4
Fatty Acyl	neuromuscular junction [GO:0031594]	1
Fatty Acyl	perikaryon [GO:0043204]	1
Fatty Acyl	membrane [GO:0016020]	1
Fatty Acyl	early endosome membrane [GO:0031901]	1
Fatty Acyl	synapse [GO:0045202]	1
Fatty Acyl	plasma membrane [GO:0005886]	1
Fatty Acyl	presynaptic membrane [GO:0042734]	1
Fatty Acyl	synaptic vesicle membrane [GO:0030672]	1
Fatty Acyl	axon [GO:0030424]	1
Fatty Acyl	dendrite [GO:0030425]	1
Fatty Acyl	T-tubule [GO:0030315]	7
Fatty Acyl	inward rectifying potassium channel [GO:0008282]	7
Fatty Acyl	nuclear envelope [GO:0005635]	7
Fatty Acyl	sarcolemma [GO:0042383]	7
Fatty Acyl	presynaptic membrane [GO:0042734]	7
Fatty Acyl	glutamatergic synapse [GO:0098978]	7
Fatty Acyl	axolemma [GO:0030673]	7
Fatty Acyl	neuronal cell body [GO:0043025]	7
Fatty Acyl	intercalated disc [GO:0014704]	7
Fatty Acyl	acrosomal vesicle [GO:0001669]	7
Fatty Acyl	plasma membrane [GO:0005886]	7
Fatty Acyl	cell body fiber [GO:0070852]	7
Fatty Acyl	endosome [GO:0005768]	7
Fatty Acyl	extracellular exosome [GO:0070062]	6
Fatty Acyl	cytoplasm [GO:0005737]	6
Fatty Acyl	protein-containing complex [GO:0032991]	6
Fatty Acyl	blood microparticle [GO:0072562]	6
Fatty Acyl	Golgi apparatus [GO:0005794]	6
Fatty Acyl	endoplasmic reticulum lumen [GO:0005788]	6
Fatty Acyl	extracellular region [GO:0005576]	6
Fatty Acyl	platelet alpha granule lumen [GO:0031093]	6
Fatty Acyl	extracellular space [GO:0005615]	6
Fatty Acyl	nucleus [GO:0005634]	6
Fatty Acyl	endoplasmic reticulum [GO:0005783]	6
Fatty Acyl	chloride channel complex [GO:0034707]	9
Fatty Acyl	membrane [GO:0016020]	9
Fatty Acyl	cytosol [GO:0005829]	9
Fatty Acyl	basolateral plasma membrane [GO:0016323]	9
Fatty Acyl	dendrite [GO:0030425]	9
Fatty Acyl	cytoplasm [GO:0005737]	9
Fatty Acyl	recycling endosome [GO:0055037]	9
Fatty Acyl	microvillus [GO:0005902]	9
Fatty Acyl	neuronal cell body [GO:0043025]	9
Fatty Acyl	apical plasma membrane [GO:0016324]	9
Fatty Acyl	cell surface [GO:0009986]	9
Fatty Acyl	plasma membrane [GO:0005886]	9
Fatty Acyl	protein-containing complex [GO:0032991]	9
Fatty Acyl	endoplasmic reticulum membrane [GO:0005789]	9
Fatty Acyl	early endosome [GO:0005769]	9
Fatty Acyl	recycling endosome membrane [GO:0055038]	9
Fatty Acyl	early endosome membrane [GO:0031901]	9
Fatty Acyl	nucleus [GO:0005634]	9
Fatty Acyl	intracellular membrane-bounded organelle [GO:0043231]	5
Fatty Acyl	cytoplasm [GO:0005737]	5
Fatty Acyl	endoplasmic reticulum membrane [GO:0005789]	5
Fatty Acyl	pore complex [GO:0046930]	3
Fatty Acyl	cell outer membrane [GO:0009279]	3
Fatty Acyl	chloride channel complex [GO:0034707]	7
Fatty Acyl	postsynaptic membrane [GO:0045211]	7
Fatty Acyl	plasma membrane [GO:0005886]	7
Fatty Acyl	presynaptic membrane [GO:0042734]	7
Fatty Acyl	GABA-A receptor complex [GO:1902711]	7
Fatty Acyl	GABA-ergic synapse [GO:0098982]	7
Fatty Acyl	glutamatergic synapse [GO:0098978]	7
Fatty Acyl	neuron projection [GO:0043005]	7
Fatty Acyl	synapse [GO:0045202]	7
Fatty Acyl	respiratory chain complex IV [GO:0045277]	3
Fatty Acyl	mitochondrion [GO:0005739]	3
Fatty Acyl	mitochondrial respiratory chain complex IV [GO:0005751]	3
Fatty Acyl	recycling endosome [GO:0055037]	12
Fatty Acyl	cytosol [GO:0005829]	12
Fatty Acyl	clathrin-coated vesicle [GO:0030136]	12
Fatty Acyl	nucleus [GO:0005634]	12
Fatty Acyl	cytoplasm [GO:0005737]	12
Fatty Acyl	nucleolus [GO:0005730]	12
Fatty Acyl	plasma membrane [GO:0005886]	3
Fatty Acyl	membrane [GO:0016020]	0
Fatty Acyl	respiratory chain complex IV [GO:0045277]	2
Fatty Acyl	mitochondrial respiratory chain complex IV [GO:0005751]	2
Fatty Acyl	cytoplasm [GO:0005737]	9
Fatty Acyl	cytosol [GO:0005829]	3
Fatty Acyl	fascia adherens [GO:0005916]	3
Fatty Acyl	contractile fiber [GO:0043292]	3
Fatty Acyl	Golgi membrane [GO:0000139]	3
Fatty Acyl	intercalated disc [GO:0014704]	3
Fatty Acyl	connexin complex [GO:0005922]	3
Fatty Acyl	focal adhesion [GO:0005925]	3
Fatty Acyl	Golgi-associated vesicle membrane [GO:0030660]	3
Fatty Acyl	apical plasma membrane [GO:0016324]	3
Fatty Acyl	plasma membrane [GO:0005886]	3
Fatty Acyl	intracellular membrane-bounded organelle [GO:0043231]	3
Fatty Acyl	membrane raft [GO:0045121]	3
Fatty Acyl	endoplasmic reticulum membrane [GO:0005789]	3
Fatty Acyl	lateral plasma membrane [GO:0016328]	3
Fatty Acyl	tight junction [GO:0070160]	3
Fatty Acyl	cytoplasm [GO:0005737]	3
Fatty Acyl	Golgi apparatus [GO:0005794]	3
Fatty Acyl	mitochondrion [GO:0005739]	3
Fatty Acyl	cell junction [GO:0030054]	3
Fatty Acyl	gap junction [GO:0005921]	3
Fatty Acyl	intermediate filament [GO:0005882]	3
Fatty Acyl	cell-cell contact zone [GO:0044291]	3
Fatty Acyl	nucleoplasm [GO:0005654]	3
Fatty Acyl	nucleus [GO:0005634]	3
Fatty Acyl	membrane [GO:0016020]	2
Fatty Acyl	cytoplasm [GO:0005737]	16
Fatty Acyl	extracellular exosome [GO:0070062]	5
Fatty Acyl	cytoplasm [GO:0005737]	5
Fatty Acyl	protein-containing complex [GO:0032991]	5
Fatty Acyl	blood microparticle [GO:0072562]	5
Fatty Acyl	Golgi apparatus [GO:0005794]	5
Fatty Acyl	endoplasmic reticulum lumen [GO:0005788]	5
Fatty Acyl	extracellular region [GO:0005576]	5
Fatty Acyl	platelet alpha granule lumen [GO:0031093]	5
Fatty Acyl	extracellular space [GO:0005615]	5
Fatty Acyl	nucleus [GO:0005634]	5
Fatty Acyl	endoplasmic reticulum [GO:0005783]	5
Fatty Acyl	host cell cytoplasm [GO:0030430]	4
Fatty Acyl	cytosol [GO:0005829]	4
Fatty Acyl	chloride channel complex [GO:0034707]	3
Fatty Acyl	postsynaptic membrane [GO:0045211]	3
Fatty Acyl	plasma membrane [GO:0005886]	3
Fatty Acyl	presynaptic membrane [GO:0042734]	3
Fatty Acyl	GABA-A receptor complex [GO:1902711]	3
Fatty Acyl	GABA-ergic synapse [GO:0098982]	3
Fatty Acyl	glutamatergic synapse [GO:0098978]	3
Fatty Acyl	neuron projection [GO:0043005]	3
Fatty Acyl	synapse [GO:0045202]	3
Fatty Acyl	transmembrane transporter complex [GO:1902495]	3
Fatty Acyl	membrane [GO:0016020]	1
Fatty Acyl	plasma membrane [GO:0005886]	4
Fatty Acyl	proton-transporting ATP synthase complex, coupling factor F(o) [GO:0045263]	4
Fatty Acyl	plasma membrane [GO:0005886]	1
Fatty Acyl	ciliary plasm [GO:0097014]	4
Fatty Acyl	cytosol [GO:0005829]	4
Fatty Acyl	cytoplasm [GO:0005737]	4
Fatty Acyl	glycosome [GO:0020015]	4
Fatty Acyl	cytoophidium [GO:0097268]	5
Fatty Acyl	cytosol [GO:0005829]	5
Fatty Acyl	protein-containing complex [GO:0032991]	5
Fatty Acyl	membrane [GO:0016020]	2
Fatty Acyl	host cell plasma membrane [GO:0020002]	2
Fatty Acyl	host cell cytoplasm [GO:0030430]	2
Fatty Acyl	virion membrane [GO:0055036]	2
Fatty Acyl	T=4 icosahedral viral capsid [GO:0039619]	2
Fatty Acyl	host cell nucleus [GO:0042025]	2
Fatty Acyl	chloride channel complex [GO:0034707]	6
Fatty Acyl	postsynaptic membrane [GO:0045211]	6
Fatty Acyl	plasma membrane [GO:0005886]	6
Fatty Acyl	presynaptic membrane [GO:0042734]	6
Fatty Acyl	GABA-A receptor complex [GO:1902711]	6
Fatty Acyl	GABA-ergic synapse [GO:0098982]	6
Fatty Acyl	glutamatergic synapse [GO:0098978]	6
Fatty Acyl	neuron projection [GO:0043005]	6
Fatty Acyl	synapse [GO:0045202]	6
Fatty Acyl	transmembrane transporter complex [GO:1902495]	6
Fatty Acyl	mitochondrion [GO:0005739]	3
Fatty Acyl	cytoplasm [GO:0005737]	3
Fatty Acyl	apical plasma membrane [GO:0016324]	0
Fatty Acyl	astrocyte projection [GO:0097449]	0
Fatty Acyl	cell surface [GO:0009986]	0
Fatty Acyl	plasma membrane [GO:0005886]	0
Fatty Acyl	voltage-gated potassium channel complex [GO:0008076]	0
Fatty Acyl	calyx of Held [GO:0044305]	0
Fatty Acyl	neuronal cell body [GO:0043025]	0
Fatty Acyl	axon [GO:0030424]	0
Fatty Acyl	axon terminus [GO:0043679]	0
Fatty Acyl	endoplasmic reticulum [GO:0005783]	0
Fatty Acyl	plasma membrane [GO:0005886]	5
Fatty Acyl	connexin complex [GO:0005922]	5
Fatty Acyl	synapse [GO:0045202]	5
Fatty Acyl	periplasmic space [GO:0042597]	5
Fatty Acyl	cytosol [GO:0005829]	8
Fatty Acyl	cytoplasm [GO:0005737]	8
Fatty Acyl	chloride channel complex [GO:0034707]	4
Fatty Acyl	postsynaptic membrane [GO:0045211]	4
Fatty Acyl	plasma membrane [GO:0005886]	4
Fatty Acyl	GABA-A receptor complex [GO:1902711]	4
Fatty Acyl	neuron projection [GO:0043005]	4
Fatty Acyl	cytoplasmic vesicle membrane [GO:0030659]	4
Fatty Acyl	synapse [GO:0045202]	4
Fatty Acyl	extracellular exosome [GO:0070062]	6
Fatty Acyl	collagen-containing extracellular matrix [GO:0062023]	6
Fatty Acyl	endolysosome lumen [GO:0036021]	6
Fatty Acyl	Golgi apparatus [GO:0005794]	6
Fatty Acyl	extracellular space [GO:0005615]	6
Fatty Acyl	chromaffin granule [GO:0042583]	6
Fatty Acyl	apical plasma membrane [GO:0016324]	6
Fatty Acyl	lysosomal lumen [GO:0043202]	6
Fatty Acyl	plasma membrane [GO:0005886]	6
Fatty Acyl	intracellular membrane-bounded organelle [GO:0043231]	6
Fatty Acyl	multivesicular body [GO:0005771]	6
Fatty Acyl	lysosome [GO:0005764]	6
Fatty Acyl	extracellular region [GO:0005576]	6
Fatty Acyl	endocytic vesicle lumen [GO:0071682]	6
Fatty Acyl	nucleus [GO:0005634]	6
Fatty Acyl	plasma membrane [GO:0005886]	9
Fatty Acyl	chloride channel complex [GO:0034707]	6
Fatty Acyl	GABA receptor complex [GO:1902710]	6
Fatty Acyl	plasma membrane [GO:0005886]	6
Fatty Acyl	postsynaptic specialization membrane [GO:0099634]	6
Fatty Acyl	GABA-A receptor complex [GO:1902711]	6
Fatty Acyl	GABA-ergic synapse [GO:0098982]	6
Fatty Acyl	glutamatergic synapse [GO:0098978]	6
Fatty Acyl	neuron projection [GO:0043005]	6
Fatty Acyl	presynaptic active zone membrane [GO:0048787]	6
Fatty Acyl	cytoplasmic vesicle [GO:0031410]	6
Fatty Acyl	synapse [GO:0045202]	6
Fatty Acyl	pore complex [GO:0046930]	1
Fatty Acyl	cell outer membrane [GO:0009279]	1
Fatty Acyl	plasma membrane [GO:0005886]	0
Fatty Acyl	membrane [GO:0016020]	0
Fatty Acyl	cell-cell junction [GO:0005911]	4
Fatty Acyl	cytosol [GO:0005829]	4
Fatty Acyl	cytoplasmic side of endoplasmic reticulum membrane [GO:0098554]	4
Fatty Acyl	ciliary basal body [GO:0036064]	4
Fatty Acyl	basal plasma membrane [GO:0009925]	4
Fatty Acyl	plasma membrane [GO:0005886]	4
Fatty Acyl	motile cilium [GO:0031514]	4
Fatty Acyl	non-motile cilium [GO:0097730]	4
Fatty Acyl	ciliary membrane [GO:0060170]	4
Fatty Acyl	endoplasmic reticulum membrane [GO:0005789]	4
Fatty Acyl	migrasome [GO:0140494]	4
Fatty Acyl	cytoplasmic vesicle membrane [GO:0030659]	4
Fatty Acyl	lumenal side of endoplasmic reticulum membrane [GO:0098553]	4
Fatty Acyl	lamellipodium [GO:0030027]	4
Fatty Acyl	membrane [GO:0016020]	4
Fatty Acyl	extracellular exosome [GO:0070062]	4
Fatty Acyl	basolateral plasma membrane [GO:0016323]	4
Fatty Acyl	cytoplasm [GO:0005737]	4
Fatty Acyl	Golgi apparatus [GO:0005794]	4
Fatty Acyl	polycystin complex [GO:0002133]	4
Fatty Acyl	cilium [GO:0005929]	4
