class	GO_CC	polarity_score
Glycerolipid	fungal-type vacuole [GO:0000324]	1
Glycerolipid	fungal-type vacuole membrane [GO:0000329]	1
Glycerolipid	fungal-type vacuole [GO:0000324]	4
Glycerolipid	fungal-type vacuole membrane [GO:0000329]	4
Glycerolipid	fungal-type vacuole [GO:0000324]	3
Glycerolipid	fungal-type vacuole membrane [GO:0000329]	3
Glycerolipid	fungal-type vacuole [GO:0000324]	2
Glycerolipid	fungal-type vacuole membrane [GO:0000329]	2
Glycerolipid	fungal-type vacuole [GO:0000324]	3
Glycerolipid	fungal-type vacuole membrane [GO:0000329]	3
Glycerolipid	fungal-type vacuole [GO:0000324]	4
Glycerolipid	fungal-type vacuole membrane [GO:0000329]	4
Glycerolipid	fungal-type vacuole [GO:0000324]	2
Glycerolipid	fungal-type vacuole membrane [GO:0000329]	2
Glycerolipid	fungal-type vacuole [GO:0000324]	3
Glycerolipid	fungal-type vacuole membrane [GO:0000329]	3
Glycerolipid	host cell cytoplasm [GO:0030430]	3
Glycerolipid	host cell cytoplasm [GO:0030430]	4
Glycerolipid	nucleoplasm [GO:0005654]	6
Glycerolipid	respiratory chain complex IV [GO:0045277]	6
Glycerolipid	cytosol [GO:0005829]	6
Glycerolipid	mitochondrial respiratory chain complex IV [GO:0005751]	6
Glycerolipid	host cell cytoplasm [GO:0030430]	1
Glycerolipid	host cell cytoplasm [GO:0030430]	4
Glycerolipid	host cell cytoplasm [GO:0030430]	3
Glycerolipid	host cell cytoplasm [GO:0030430]	1
Glycerolipid	plasma membrane [GO:0005886]	1
Glycerolipid	plasma membrane [GO:0005886]	1
Glycerolipid	external side of plasma membrane [GO:0009897]	2
Glycerolipid	cell surface [GO:0009986]	2
Glycerolipid	plasma membrane [GO:0005886]	2
Glycerolipid	cytoplasm [GO:0005737]	2
Glycerolipid	endosome [GO:0005768]	2
Glycerolipid	external side of plasma membrane [GO:0009897]	1
Glycerolipid	cell surface [GO:0009986]	1
Glycerolipid	plasma membrane [GO:0005886]	1
Glycerolipid	cytoplasm [GO:0005737]	1
Glycerolipid	endosome [GO:0005768]	1
Glycerolipid	external side of plasma membrane [GO:0009897]	2
Glycerolipid	cell surface [GO:0009986]	2
Glycerolipid	plasma membrane [GO:0005886]	2
