class	GO_CC	polarity_score
Glycerophospholipid	photosystem II [GO:0009523]	12
Glycerophospholipid	chloroplast thylakoid membrane [GO:0009535]	12
Glycerophospholipid	photosystem I [GO:0009522]	12
Glycerophospholipid	plasma membrane-derived chromatophore membrane [GO:0042717]	4
Glycerophospholipid	plasma membrane light-harvesting complex [GO:0030077]	4
Glycerophospholipid	T-tubule [GO:0030315]	4
Glycerophospholipid	inward rectifying potassium channel [GO:0008282]	4
Glycerophospholipid	nuclear envelope [GO:0005635]	4
Glycerophospholipid	sarcolemma [GO:0042383]	4
Glycerophospholipid	presynaptic membrane [GO:0042734]	4
Glycerophospholipid	glutamatergic synapse [GO:0098978]	4
Glycerophospholipid	axolemma [GO:0030673]	4
Glycerophospholipid	neuronal cell body [GO:0043025]	4
Glycerophospholipid	intercalated disc [GO:0014704]	4
Glycerophospholipid	acrosomal vesicle [GO:0001669]	4
Glycerophospholipid	plasma membrane [GO:0005886]	4
Glycerophospholipid	cell body fiber [GO:0070852]	4
Glycerophospholipid	endosome [GO:0005768]	4
Glycerophospholipid	photosystem II [GO:0009523]	2
Glycerophospholipid	plasma membrane-derived thylakoid membrane [GO:0031676]	2
Glycerophospholipid	photosystem II [GO:0009523]	2
Glycerophospholipid	plasma membrane-derived thylakoid membrane [GO:0031676]	2
Glycerophospholipid	periplasmic space [GO:0042597]	4
Glycerophospholipid	photosystem II reaction center [GO:0009539]	4
Glycerophospholipid	plasma membrane-derived thylakoid membrane [GO:0031676]	4
Glycerophospholipid	photosystem II reaction center [GO:0009539]	4
Glycerophospholipid	plasma membrane-derived thylakoid membrane [GO:0031676]	4
Glycerophospholipid	respiratory chain complex IV [GO:0045277]	2
Glycerophospholipid	mitochondrial respiratory chain complex IV [GO:0005751]	2
Glycerophospholipid	basolateral plasma membrane [GO:0016323]	6
Glycerophospholipid	neuronal cell body [GO:0043025]	6
Glycerophospholipid	apical plasma membrane [GO:0016324]	6
Glycerophospholipid	cell surface [GO:0009986]	6
Glycerophospholipid	plasma membrane [GO:0005886]	6
Glycerophospholipid	axon terminus [GO:0043679]	6
Glycerophospholipid	membrane [GO:0016020]	2
Glycerophospholipid	apical plasma membrane [GO:0016324]	2
Glycerophospholipid	extracellular exosome [GO:0070062]	2
Glycerophospholipid	cytosol [GO:0005829]	2
Glycerophospholipid	plasma membrane [GO:0005886]	2
Glycerophospholipid	respiratory chain complex I [GO:0045271]	3
Glycerophospholipid	plasma membrane [GO:0005886]	3
Glycerophospholipid	membrane [GO:0016020]	3
Glycerophospholipid	NADH dehydrogenase complex [GO:0030964]	3
Glycerophospholipid	plasma membrane respiratory chain complex I [GO:0045272]	3
Glycerophospholipid	plasma membrane [GO:0005886]	0
Glycerophospholipid	photosystem II reaction center [GO:0009539]	4
Glycerophospholipid	plasma membrane-derived thylakoid membrane [GO:0031676]	4
Glycerophospholipid	photosystem II reaction center [GO:0009539]	4
Glycerophospholipid	plasma membrane-derived thylakoid membrane [GO:0031676]	4
Glycerophospholipid	chloroplast thylakoid membrane [GO:0009535]	11
Glycerophospholipid	photosystem I [GO:0009522]	11
Glycerophospholipid	mitochondrial inner membrane [GO:0005743]	4
Glycerophospholipid	mitochondrial respiratory chain complex I [GO:0005747]	4
Glycerophospholipid	photosystem II [GO:0009523]	4
Glycerophospholipid	plasma membrane-derived thylakoid membrane [GO:0031676]	4
Glycerophospholipid	photosystem II [GO:0009523]	4
Glycerophospholipid	plasma membrane-derived thylakoid membrane [GO:0031676]	4
Glycerophospholipid	postsynaptic density membrane [GO:0098839]	6
Glycerophospholipid	postsynaptic membrane [GO:0045211]	6
Glycerophospholipid	perikaryon [GO:0043204]	6
Glycerophospholipid	membrane [GO:0016020]	6
Glycerophospholipid	AMPA glutamate receptor complex [GO:0032281]	6
Glycerophospholipid	presynaptic membrane [GO:0042734]	6
Glycerophospholipid	dendrite [GO:0030425]	6
Glycerophospholipid	glutamatergic synapse [GO:0098978]	6
Glycerophospholipid	neuron projection [GO:0043005]	6
Glycerophospholipid	perisynaptic space [GO:0099544]	6
Glycerophospholipid	spine synapse [GO:0106033]	6
Glycerophospholipid	dendritic shaft [GO:0043198]	6
Glycerophospholipid	dendritic spine [GO:0043197]	6
Glycerophospholipid	neuronal cell body [GO:0043025]	6
Glycerophospholipid	synaptic vesicle membrane [GO:0030672]	6
Glycerophospholipid	axon [GO:0030424]	6
Glycerophospholipid	dendritic spine neck [GO:0044326]	6
Glycerophospholipid	synaptic vesicle [GO:0008021]	6
Glycerophospholipid	somatodendritic compartment [GO:0036477]	6
Glycerophospholipid	synaptic membrane [GO:0097060]	6
Glycerophospholipid	terminal bouton [GO:0043195]	6
Glycerophospholipid	cell surface [GO:0009986]	6
Glycerophospholipid	dendritic spine head [GO:0044327]	6
Glycerophospholipid	plasma membrane [GO:0005886]	6
Glycerophospholipid	presynapse [GO:0098793]	6
Glycerophospholipid	growth cone [GO:0030426]	6
Glycerophospholipid	protein-containing complex [GO:0032991]	6
Glycerophospholipid	dendrite cytoplasm [GO:0032839]	6
Glycerophospholipid	endoplasmic reticulum membrane [GO:0005789]	6
Glycerophospholipid	presynaptic active zone membrane [GO:0048787]	6
Glycerophospholipid	dendrite membrane [GO:0032590]	6
Glycerophospholipid	ionotropic glutamate receptor complex [GO:0008328]	6
Glycerophospholipid	synapse [GO:0045202]	6
Glycerophospholipid	postsynaptic density [GO:0014069]	6
Glycerophospholipid	Schaffer collateral - CA1 synapse [GO:0098685]	6
Glycerophospholipid	asymmetric synapse [GO:0032279]	6
Glycerophospholipid	endoplasmic reticulum [GO:0005783]	6
Glycerophospholipid	mitochondrion [GO:0005739]	4
Glycerophospholipid	mitochondrial inner membrane [GO:0005743]	4
Glycerophospholipid	plasma membrane [GO:0005886]	2
Glycerophospholipid	type I protein secretion system complex [GO:0030256]	2
Glycerophospholipid	photosystem II [GO:0009523]	2
Glycerophospholipid	plasma membrane-derived thylakoid membrane [GO:0031676]	2
Glycerophospholipid	mitochondrion [GO:0005739]	1
Glycerophospholipid	mitochondrial inner membrane [GO:0005743]	1
Glycerophospholipid	mitochondrial respiratory chain complex I [GO:0005747]	1
Glycerophospholipid	photosystem II [GO:0009523]	5
Glycerophospholipid	chloroplast thylakoid membrane [GO:0009535]	5
Glycerophospholipid	photosystem I [GO:0009522]	5
Glycerophospholipid	photosystem II [GO:0009523]	5
Glycerophospholipid	chloroplast thylakoid membrane [GO:0009535]	5
Glycerophospholipid	photosystem I [GO:0009522]	5
Glycerophospholipid	plasma membrane [GO:0005886]	8
Glycerophospholipid	mitochondrial inner membrane [GO:0005743]	7
Glycerophospholipid	respiratory chain complex IV [GO:0045277]	7
