class	GO_CC	polarity_score
Polyketide	protein-containing complex [GO:0032991]	9
Polyketide	axonal growth cone [GO:0044295]	9
Polyketide	perinuclear region of cytoplasm [GO:0048471]	9
Polyketide	cytosol [GO:0005829]	9
Polyketide	extracellular exosome [GO:0070062]	9
Polyketide	nucleoplasm [GO:0005654]	9
Polyketide	microtubule [GO:0005874]	9
Polyketide	mitochondrion [GO:0005739]	9
Polyketide	cytoplasm [GO:0005737]	9
Polyketide	neuronal cell body [GO:0043025]	9
Polyketide	periplasmic space [GO:0042597]	9
Polyketide	intracellular membrane-bounded organelle [GO:0043231]	10
Polyketide	endoplasmic reticulum membrane [GO:0005789]	10
Polyketide	lysosomal lumen [GO:0043202]	8
Polyketide	basolateral plasma membrane [GO:0016323]	8
Polyketide	secretory granule lumen [GO:0034774]	8
Polyketide	extracellular exosome [GO:0070062]	8
Polyketide	nucleoplasm [GO:0005654]	8
Polyketide	brush border membrane [GO:0031526]	8
Polyketide	cytoplasm [GO:0005737]	8
Polyketide	cell surface [GO:0009986]	8
Polyketide	neuronal cell body [GO:0043025]	8
Polyketide	endocytic vesicle lumen [GO:0071682]	8
Polyketide	melanosome [GO:0042470]	8
Polyketide	protein-containing complex [GO:0032991]	8
Polyketide	axonal growth cone [GO:0044295]	8
Polyketide	perinuclear region of cytoplasm [GO:0048471]	8
Polyketide	cytosol [GO:0005829]	8
Polyketide	sperm mitochondrial sheath [GO:0097226]	8
Polyketide	membrane [GO:0016020]	8
Polyketide	extracellular region [GO:0005576]	8
Polyketide	nucleus [GO:0005634]	8
Polyketide	sperm plasma membrane [GO:0097524]	8
Polyketide	collagen-containing extracellular matrix [GO:0062023]	8
Polyketide	myelin sheath [GO:0043209]	8
Polyketide	apical plasma membrane [GO:0016324]	8
Polyketide	ficolin-1-rich granule lumen [GO:1904813]	8
Polyketide	dendritic growth cone [GO:0044294]	8
Polyketide	plasma membrane [GO:0005886]	8
Polyketide	mitochondrion [GO:0005739]	8
Polyketide	DNA-directed RNA polymerase complex [GO:0000428]	16
Polyketide	protein kinase CK2 complex [GO:0005956]	8
Polyketide	cytosol [GO:0005829]	8
Polyketide	nucleoplasm [GO:0005654]	8
Polyketide	chromatin [GO:0000785]	8
Polyketide	nucleus [GO:0005634]	8
Polyketide	acrosomal vesicle [GO:0001669]	8
Polyketide	lysosomal lumen [GO:0043202]	6
Polyketide	basolateral plasma membrane [GO:0016323]	6
Polyketide	secretory granule lumen [GO:0034774]	6
Polyketide	extracellular exosome [GO:0070062]	6
Polyketide	nucleoplasm [GO:0005654]	6
Polyketide	brush border membrane [GO:0031526]	6
Polyketide	cytoplasm [GO:0005737]	6
Polyketide	cell surface [GO:0009986]	6
Polyketide	neuronal cell body [GO:0043025]	6
Polyketide	endocytic vesicle lumen [GO:0071682]	6
Polyketide	melanosome [GO:0042470]	6
Polyketide	protein-containing complex [GO:0032991]	6
Polyketide	axonal growth cone [GO:0044295]	6
Polyketide	perinuclear region of cytoplasm [GO:0048471]	6
Polyketide	cytosol [GO:0005829]	6
Polyketide	sperm mitochondrial sheath [GO:0097226]	6
Polyketide	membrane [GO:0016020]	6
Polyketide	extracellular region [GO:0005576]	6
Polyketide	nucleus [GO:0005634]	6
Polyketide	sperm plasma membrane [GO:0097524]	6
Polyketide	collagen-containing extracellular matrix [GO:0062023]	6
Polyketide	myelin sheath [GO:0043209]	6
Polyketide	apical plasma membrane [GO:0016324]	6
Polyketide	ficolin-1-rich granule lumen [GO:1904813]	6
Polyketide	dendritic growth cone [GO:0044294]	6
Polyketide	plasma membrane [GO:0005886]	6
Polyketide	mitochondrion [GO:0005739]	6
