class	GO_CC	polarity_score
Prenol	protein-containing complex [GO:0032991]	14
Prenol	Cul3-RING ubiquitin ligase complex [GO:0031463]	14
Prenol	endoplasmic reticulum [GO:0005783]	14
Prenol	centriolar satellite [GO:0034451]	14
Prenol	focal adhesion [GO:0005925]	14
Prenol	actin filament [GO:0005884]	14
Prenol	cytosol [GO:0005829]	14
Prenol	nucleoplasm [GO:0005654]	14
Prenol	inclusion body [GO:0016234]	14
Prenol	adherens junction [GO:0005912]	14
Prenol	midbody [GO:0030496]	14
Prenol	cytoplasm [GO:0005737]	14
Prenol	photosystem II [GO:0009523]	0
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	0
Prenol	plasma membrane [GO:0005886]	3
Prenol	organelle inner membrane [GO:0019866]	3
Prenol	plasma membrane light-harvesting complex [GO:0030077]	3
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	1
Prenol	photosystem I [GO:0009522]	1
Prenol	plasma membrane [GO:0005886]	10
Prenol	cytosol [GO:0005829]	1
Prenol	nucleoplasm [GO:0005654]	1
Prenol	receptor complex [GO:0043235]	1
Prenol	mitochondrion [GO:0005739]	1
Prenol	RNA polymerase II transcription regulator complex [GO:0090575]	1
Prenol	chromatin [GO:0000785]	1
Prenol	transcription regulator complex [GO:0005667]	1
Prenol	nucleus [GO:0005634]	1
Prenol	oligosaccharyltransferase complex [GO:0008250]	17
Prenol	oligosaccharyltransferase III complex [GO:0035000]	17
Prenol	membrane [GO:0016020]	17
Prenol	endoplasmic reticulum membrane [GO:0005789]	17
Prenol	photosystem II [GO:0009523]	7
Prenol	chloroplast thylakoid membrane [GO:0009535]	7
Prenol	photosystem II [GO:0009523]	7
Prenol	chloroplast thylakoid membrane [GO:0009535]	7
Prenol	periplasmic space [GO:0042597]	6
Prenol	photosystem II [GO:0009523]	9
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	9
Prenol	membrane [GO:0016020]	3
Prenol	light-harvesting complex [GO:0030076]	3
Prenol	plastid [GO:0009536]	3
Prenol	photosystem II [GO:0009523]	4
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	4
Prenol	photosystem II [GO:0009523]	4
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	4
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	4
Prenol	photosystem I [GO:0009522]	4
Prenol	nucleoplasm [GO:0005654]	17
Prenol	cytoplasm [GO:0005737]	17
Prenol	cytosol [GO:0005829]	17
Prenol	photosystem II [GO:0009523]	8
Prenol	chloroplast thylakoid membrane [GO:0009535]	8
Prenol	photosystem I [GO:0009522]	8
Prenol	photosystem II [GO:0009523]	3
Prenol	chloroplast thylakoid membrane [GO:0009535]	3
Prenol	mitochondrion [GO:0005739]	7
Prenol	nucleoplasm [GO:0005654]	7
Prenol	mitochondrial respiratory chain complex I [GO:0005747]	7
Prenol	mitochondrial inner membrane [GO:0005743]	7
Prenol	photosystem II [GO:0009523]	6
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	6
Prenol	photosystem II [GO:0009523]	6
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	6
Prenol	photosystem II [GO:0009523]	9
Prenol	chloroplast thylakoid membrane [GO:0009535]	9
Prenol	photosystem I [GO:0009522]	9
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	7
Prenol	photosystem I [GO:0009522]	7
Prenol	plasma membrane [GO:0005886]	3
Prenol	organelle inner membrane [GO:0019866]	3
Prenol	plasma membrane light-harvesting complex [GO:0030077]	3
Prenol	ubiquinone biosynthesis complex [GO:0110142]	6
Prenol	mitochondrion [GO:0005739]	6
Prenol	mitochondrial inner membrane [GO:0005743]	6
Prenol	sperm head plasma membrane [GO:1990913]	2
Prenol	photoreceptor outer segment membrane [GO:0042622]	2
Prenol	cell-cell junction [GO:0005911]	2
Prenol	Golgi membrane [GO:0000139]	2
Prenol	photoreceptor disc membrane [GO:0097381]	2
Prenol	plasma membrane [GO:0005886]	2
Prenol	membrane [GO:0016020]	2
Prenol	photoreceptor outer segment [GO:0001750]	2
Prenol	rod photoreceptor outer segment [GO:0120200]	2
Prenol	photoreceptor inner segment membrane [GO:0060342]	2
Prenol	outer membrane [GO:0019867]	2
Prenol	G protein-coupled receptor complex [GO:0097648]	2
Prenol	sperm midpiece [GO:0097225]	2
Prenol	photosystem II reaction center [GO:0009539]	2
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	2
Prenol	lipid droplet [GO:0005811]	13
Prenol	nucleoplasm [GO:0005654]	13
Prenol	nucleus [GO:0005634]	13
Prenol	cytosol [GO:0005829]	13
Prenol	photosystem I reaction center [GO:0009538]	4
Prenol	chloroplast thylakoid lumen [GO:0009543]	4
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	3
Prenol	photosystem I [GO:0009522]	3
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	3
Prenol	photosystem I [GO:0009522]	3
Prenol	chloroplast thylakoid membrane [GO:0009535]	4
Prenol	photosystem I [GO:0009522]	4
Prenol	plastid [GO:0009536]	4
Prenol	plastoglobule [GO:0010287]	4
Prenol	chloroplast thylakoid [GO:0009534]	4
Prenol	chloroplast [GO:0009507]	4
Prenol	chloroplast envelope [GO:0009941]	4
Prenol	thylakoid [GO:0009579]	4
Prenol	photosystem II reaction center [GO:0009539]	0
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	0
Prenol	photosystem II reaction center [GO:0009539]	0
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	0
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	2
Prenol	photosystem I [GO:0009522]	2
Prenol	photosystem II [GO:0009523]	2
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	2
Prenol	photosystem II [GO:0009523]	2
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	2
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	3
Prenol	photosystem I reaction center [GO:0009538]	3
Prenol	plasma membrane-derived photosystem I [GO:0030094]	3
Prenol	plasma membrane light-harvesting complex [GO:0030077]	12
Prenol	plasma membrane-derived chromatophore membrane [GO:0042717]	12
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	2
Prenol	photosystem I [GO:0009522]	2
Prenol	plasma membrane light-harvesting complex [GO:0030077]	4
Prenol	plasma membrane-derived chromatophore membrane [GO:0042717]	4
Prenol	membrane [GO:0016020]	4
Prenol	chloroplast [GO:0009507]	4
Prenol	light-harvesting complex [GO:0030076]	4
Prenol	thylakoid [GO:0009579]	4
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	5
Prenol	photosystem I [GO:0009522]	5
Prenol	lipid droplet [GO:0005811]	9
Prenol	nucleoplasm [GO:0005654]	9
Prenol	nucleus [GO:0005634]	9
Prenol	cytosol [GO:0005829]	9
Prenol	protein farnesyltransferase complex [GO:0005965]	13
Prenol	microtubule associated complex [GO:0005875]	13
Prenol	cytosol [GO:0005829]	6
Prenol	extracellular exosome [GO:0070062]	6
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	9
Prenol	photosystem I [GO:0009522]	9
Prenol	photosystem II [GO:0009523]	0
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	0
Prenol	photosystem II [GO:0009523]	0
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	0
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	3
Prenol	photosystem I [GO:0009522]	3
Prenol	photosystem II [GO:0009523]	3
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	3
Prenol	photosystem II [GO:0009523]	3
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	3
Prenol	chloroplast thylakoid membrane [GO:0009535]	4
Prenol	plastoglobule [GO:0010287]	4
Prenol	chloroplast thylakoid [GO:0009534]	4
Prenol	photosystem I reaction center [GO:0009538]	4
Prenol	chloroplast [GO:0009507]	4
Prenol	chloroplast envelope [GO:0009941]	4
Prenol	nucleus [GO:0005634]	4
Prenol	thylakoid [GO:0009579]	4
Prenol	plasma membrane [GO:0005886]	2
Prenol	organelle inner membrane [GO:0019866]	2
Prenol	plasma membrane light-harvesting complex [GO:0030077]	2
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	2
Prenol	photosystem [GO:0009521]	2
Prenol	nucleus [GO:0005634]	16
Prenol	cytoplasm [GO:0005737]	16
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	1
Prenol	plasma membrane-derived photosystem I [GO:0030094]	1
Prenol	plasma membrane [GO:0005886]	8
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	4
Prenol	photosystem I [GO:0009522]	4
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	5
Prenol	photosystem I reaction center [GO:0009538]	5
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	5
Prenol	photosystem I [GO:0009522]	5
Prenol	plasma membrane light-harvesting complex [GO:0030077]	8
Prenol	plasma membrane-derived chromatophore membrane [GO:0042717]	8
Prenol	photosystem II [GO:0009523]	0
