class	GO_CC	polarity_score
Saccharolipid	Golgi medial cisterna [GO:0005797]	18
Saccharolipid	Golgi membrane [GO:0000139]	18
Saccharolipid	perinuclear region of cytoplasm [GO:0048471]	18
Saccharolipid	cytosol [GO:0005829]	15
Saccharolipid	cytosol [GO:0005829]	15
Saccharolipid	cytoplasm [GO:0005737]	18
Saccharolipid	cytoplasm [GO:0005737]	20
Saccharolipid	cytoplasm [GO:0005737]	20
Saccharolipid	cytosol [GO:0005829]	15
Saccharolipid	cytosol [GO:0005829]	18
Saccharolipid	cytosol [GO:0005829]	17
Saccharolipid	cytosol [GO:0005829]	16
Saccharolipid	cytosol [GO:0005829]	16
Saccharolipid	cytosol [GO:0005829]	18
Saccharolipid	cytosol [GO:0005829]	15
Saccharolipid	cytosol [GO:0005829]	16
Saccharolipid	cytosol [GO:0005829]	13
Saccharolipid	plasma membrane [GO:0005886]	13
Saccharolipid	nucleoplasm [GO:0005654]	13
Saccharolipid	cytosol [GO:0005829]	0
Saccharolipid	plasma membrane [GO:0005886]	0
Saccharolipid	nucleoplasm [GO:0005654]	0
Saccharolipid	cytosol [GO:0005829]	2
Saccharolipid	plasma membrane [GO:0005886]	2
Saccharolipid	nucleoplasm [GO:0005654]	2
Saccharolipid	cytosol [GO:0005829]	13
Saccharolipid	plasma membrane [GO:0005886]	13
Saccharolipid	nucleoplasm [GO:0005654]	13
Saccharolipid	cytosol [GO:0005829]	13
Saccharolipid	plasma membrane [GO:0005886]	13
Saccharolipid	nucleoplasm [GO:0005654]	13
Saccharolipid	cytosol [GO:0005829]	3
Saccharolipid	plasma membrane [GO:0005886]	3
Saccharolipid	nucleoplasm [GO:0005654]	3
Saccharolipid	cytosol [GO:0005829]	1
Saccharolipid	plasma membrane [GO:0005886]	1
Saccharolipid	nucleoplasm [GO:0005654]	1
Saccharolipid	cytosol [GO:0005829]	16
Saccharolipid	plasma membrane [GO:0005886]	16
Saccharolipid	nucleoplasm [GO:0005654]	16
Saccharolipid	cytosol [GO:0005829]	16
Saccharolipid	cytoplasm [GO:0005737]	16
Saccharolipid	cytosol [GO:0005829]	17
Saccharolipid	cytoplasm [GO:0005737]	17
Saccharolipid	plasma membrane [GO:0005886]	15
Saccharolipid	plasma membrane [GO:0005886]	12
Saccharolipid	cytosol [GO:0005829]	21
Saccharolipid	nucleoplasm [GO:0005654]	21
Saccharolipid	endoplasmic reticulum [GO:0005783]	21
Saccharolipid	endoplasmic reticulum membrane [GO:0005789]	21
Saccharolipid	cytosol [GO:0005829]	21
Saccharolipid	nucleoplasm [GO:0005654]	21
Saccharolipid	endoplasmic reticulum [GO:0005783]	21
Saccharolipid	endoplasmic reticulum membrane [GO:0005789]	21
Saccharolipid	cytosol [GO:0005829]	19
Saccharolipid	cytosol [GO:0005829]	22
Saccharolipid	cytosol [GO:0005829]	20
Saccharolipid	receptor complex [GO:0043235]	6
Saccharolipid	extracellular region [GO:0005576]	6
Saccharolipid	endosome membrane [GO:0010008]	6
Saccharolipid	plasma membrane [GO:0005886]	6
Saccharolipid	lipopolysaccharide receptor complex [GO:0046696]	6
Saccharolipid	cytosol [GO:0005829]	8
Saccharolipid	cytoplasm [GO:0005737]	8
Saccharolipid	cytosol [GO:0005829]	17
Saccharolipid	cytosol [GO:0005829]	18
Saccharolipid	cytosol [GO:0005829]	16
Saccharolipid	cytosol [GO:0005829]	19
Saccharolipid	cytosol [GO:0005829]	16
Saccharolipid	cytosol [GO:0005829]	18
Saccharolipid	cytosol [GO:0005829]	13
Saccharolipid	cytoplasm [GO:0005737]	13
Saccharolipid	cytoplasm [GO:0005737]	19
Saccharolipid	cytoplasm [GO:0005737]	19
Saccharolipid	cytoplasm [GO:0005737]	16
Saccharolipid	cytoplasm [GO:0005737]	16
Saccharolipid	cytoplasm [GO:0005737]	15
Saccharolipid	cytoplasm [GO:0005737]	15
Saccharolipid	cytoplasm [GO:0005737]	16
Saccharolipid	cytoplasm [GO:0005737]	18
Saccharolipid	cytosol [GO:0005829]	19
Saccharolipid	cytosol [GO:0005829]	19
Saccharolipid	cytoplasm [GO:0005737]	19
Saccharolipid	extracellular region [GO:0005576]	7
Saccharolipid	extracellular region [GO:0005576]	7
Saccharolipid	plasma membrane [GO:0005886]	13
Saccharolipid	early endosome [GO:0005769]	13
Saccharolipid	recycling endosome [GO:0055037]	13
Saccharolipid	specific granule [GO:0042581]	13
Saccharolipid	extracellular space [GO:0005615]	13
Saccharolipid	extracellular region [GO:0005576]	12
Saccharolipid	plasma membrane [GO:0005886]	14
Saccharolipid	cytoplasm [GO:0005737]	16
Saccharolipid	cytoplasm [GO:0005737]	18
Saccharolipid	cytoplasm [GO:0005737]	19
Saccharolipid	cytoplasm [GO:0005737]	3
Saccharolipid	cytoplasm [GO:0005737]	19
Saccharolipid	cytoplasm [GO:0005737]	19
Saccharolipid	cytoplasm [GO:0005737]	19
Saccharolipid	cytoplasm [GO:0005737]	19
Saccharolipid	cytoplasm [GO:0005737]	19
Saccharolipid	cytoplasm [GO:0005737]	20
Saccharolipid	cytoplasm [GO:0005737]	19
