class	GO_CC	polarity_score
Sphingolipid	endocytic vesicle lumen [GO:0071682]	4
Sphingolipid	tertiary granule lumen [GO:1904724]	4
Sphingolipid	cytosol [GO:0005829]	4
Sphingolipid	ficolin-1-rich granule lumen [GO:1904813]	4
Sphingolipid	extracellular exosome [GO:0070062]	4
Sphingolipid	blood microparticle [GO:0072562]	4
Sphingolipid	extracellular region [GO:0005576]	4
Sphingolipid	extracellular space [GO:0005615]	4
Sphingolipid	hemoglobin complex [GO:0005833]	4
Sphingolipid	haptoglobin-hemoglobin complex [GO:0031838]	4
Sphingolipid	axon terminus [GO:0043679]	5
Sphingolipid	voltage-gated potassium channel complex [GO:0008076]	5
Sphingolipid	endoplasmic reticulum [GO:0005783]	5
Sphingolipid	cell surface [GO:0009986]	5
Sphingolipid	apical plasma membrane [GO:0016324]	5
Sphingolipid	plasma membrane [GO:0005886]	5
Sphingolipid	astrocyte projection [GO:0097449]	5
Sphingolipid	axon [GO:0030424]	5
Sphingolipid	calyx of Held [GO:0044305]	5
Sphingolipid	neuronal cell body [GO:0043025]	5
Sphingolipid	membrane raft [GO:0045121]	20
Sphingolipid	endosome membrane [GO:0010008]	20
Sphingolipid	plasma membrane [GO:0005886]	20
Sphingolipid	extracellular space [GO:0005615]	20
Sphingolipid	external side of plasma membrane [GO:0009897]	20
Sphingolipid	endoplasmic reticulum [GO:0005783]	5
Sphingolipid	secretory granule membrane [GO:0030667]	5
Sphingolipid	plasma membrane [GO:0005886]	5
Sphingolipid	endoplasmic reticulum membrane [GO:0005789]	5
Sphingolipid	SPOTS complex [GO:0035339]	5
Sphingolipid	specific granule membrane [GO:0035579]	5
Sphingolipid	cytoplasm [GO:0005737]	8
Sphingolipid	apical plasma membrane [GO:0016324]	6
Sphingolipid	gap junction [GO:0005921]	6
Sphingolipid	plasma membrane [GO:0005886]	6
Sphingolipid	endoplasmic reticulum [GO:0005783]	6
Sphingolipid	cytoplasm [GO:0005737]	1
Sphingolipid	late endosome [GO:0005770]	19
Sphingolipid	endoplasmic reticulum [GO:0005783]	19
Sphingolipid	cytoplasm [GO:0005737]	19
Sphingolipid	endosome membrane [GO:0010008]	19
Sphingolipid	lysosome [GO:0005764]	19
Sphingolipid	early endosome [GO:0005769]	19
Sphingolipid	extracellular space [GO:0005615]	19
Sphingolipid	external side of plasma membrane [GO:0009897]	19
Sphingolipid	lysosomal membrane [GO:0005765]	19
Sphingolipid	cell surface [GO:0009986]	19
Sphingolipid	endosome membrane [GO:0010008]	1
Sphingolipid	cytosol [GO:0005829]	1
Sphingolipid	plasma membrane [GO:0005886]	1
Sphingolipid	nuclear outer membrane [GO:0005640]	1
Sphingolipid	Golgi apparatus [GO:0005794]	1
Sphingolipid	endosome membrane [GO:0010008]	0
Sphingolipid	cytosol [GO:0005829]	0
Sphingolipid	plasma membrane [GO:0005886]	0
Sphingolipid	nuclear outer membrane [GO:0005640]	0
Sphingolipid	Golgi apparatus [GO:0005794]	0
Sphingolipid	endoplasmic reticulum membrane [GO:0005789]	12
Sphingolipid	endoplasmic reticulum [GO:0005783]	12
Sphingolipid	endosome membrane [GO:0010008]	15
Sphingolipid	cytosol [GO:0005829]	15
Sphingolipid	intracellular membrane-bounded organelle [GO:0043231]	15
Sphingolipid	plasma membrane [GO:0005886]	15
Sphingolipid	membrane [GO:0016020]	15
Sphingolipid	extracellular space [GO:0005615]	15
Sphingolipid	external side of plasma membrane [GO:0009897]	15
Sphingolipid	lysosomal membrane [GO:0005765]	15
Sphingolipid	cell surface [GO:0009986]	15
Sphingolipid	Golgi apparatus [GO:0005794]	15
Sphingolipid	extracellular region [GO:0005576]	15
Sphingolipid	cytosol [GO:0005829]	18
Sphingolipid	nucleoplasm [GO:0005654]	18
Sphingolipid	endoplasmic reticulum membrane [GO:0005789]	18
Sphingolipid	mitochondrion [GO:0005739]	18
Sphingolipid	Golgi apparatus [GO:0005794]	18
Sphingolipid	late endosome [GO:0005770]	20
Sphingolipid	endoplasmic reticulum [GO:0005783]	20
Sphingolipid	cytoplasm [GO:0005737]	20
Sphingolipid	endosome membrane [GO:0010008]	20
Sphingolipid	lysosome [GO:0005764]	20
Sphingolipid	early endosome [GO:0005769]	20
Sphingolipid	extracellular space [GO:0005615]	20
Sphingolipid	external side of plasma membrane [GO:0009897]	20
Sphingolipid	lysosomal membrane [GO:0005765]	20
Sphingolipid	cell surface [GO:0009986]	20
Sphingolipid	cytosol [GO:0005829]	5
