class	GO_CC	polarity_score
Sterol	late endosome [GO:0005770]	12
Sterol	dendrite [GO:0030425]	12
Sterol	axonal growth cone [GO:0044295]	12
Sterol	endoplasmic reticulum [GO:0005783]	12
Sterol	Golgi apparatus [GO:0005794]	12
Sterol	ciliary membrane [GO:0060170]	12
Sterol	endocytic vesicle membrane [GO:0030666]	12
Sterol	cilium [GO:0005929]	12
Sterol	intracellular membrane-bounded organelle [GO:0043231]	12
Sterol	dendritic growth cone [GO:0044294]	12
Sterol	caveola [GO:0005901]	12
Sterol	plasma membrane [GO:0005886]	12
Sterol	centriole [GO:0005814]	12
Sterol	9+0 non-motile cilium [GO:0097731]	12
Sterol	cytoplasm [GO:0005737]	12
Sterol	endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]	12
Sterol	neuronal cell body [GO:0043025]	12
Sterol	neuron projection terminus [GO:0044306]	2
Sterol	vesicle [GO:0031982]	2
Sterol	cell body [GO:0044297]	2
Sterol	axolemma [GO:0030673]	2
Sterol	glutamatergic synapse [GO:0098978]	2
Sterol	membrane [GO:0016020]	2
Sterol	plasma membrane [GO:0005886]	2
Sterol	astrocyte projection [GO:0097449]	2
Sterol	membrane protein complex [GO:0098796]	2
Sterol	presynaptic membrane [GO:0042734]	2
Sterol	membrane raft [GO:0045121]	2
Sterol	cell surface [GO:0009986]	2
Sterol	mitochondrion [GO:0005739]	0
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	0
Sterol	mitochondrial respirasome [GO:0005746]	0
Sterol	respiratory chain complex IV [GO:0045277]	0
Sterol	nucleoplasm [GO:0005654]	7
Sterol	melanosome [GO:0042470]	5
Sterol	basolateral plasma membrane [GO:0016323]	5
Sterol	plasma membrane [GO:0005886]	5
Sterol	membrane [GO:0016020]	5
Sterol	axon [GO:0030424]	5
Sterol	sarcolemma [GO:0042383]	5
Sterol	sodium:potassium-exchanging ATPase complex [GO:0005890]	5
Sterol	plasma membrane [GO:0005886]	3
Sterol	lysosome [GO:0005764]	3
Sterol	plasma membrane [GO:0005886]	3
Sterol	membrane [GO:0016020]	3
Sterol	heterochromatin [GO:0000792]	14
Sterol	perinuclear region of cytoplasm [GO:0048471]	14
Sterol	dense fibrillar component [GO:0001651]	14
Sterol	receptor complex [GO:0043235]	14
Sterol	euchromatin [GO:0000791]	14
Sterol	nuclear matrix [GO:0016363]	14
Sterol	RNA polymerase II transcription regulator complex [GO:0090575]	14
Sterol	T-tubule [GO:0030315]	14
Sterol	nucleus [GO:0005634]	14
Sterol	respiratory chain complex IV [GO:0045277]	2
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	2
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	0
Sterol	respiratory chain complex IV [GO:0045277]	0
Sterol	mitochondrion [GO:0005739]	0
Sterol	mitochondrial respirasome [GO:0005746]	0
Sterol	membrane [GO:0016020]	6
Sterol	plasma membrane [GO:0005886]	6
