class	GO_CC	pock_vol
Fatty Acyl	cytosol [GO:0005829]	203.52
Fatty Acyl	protein-containing complex [GO:0032991]	203.52
Fatty Acyl	apoptosome [GO:0043293]	203.52
Fatty Acyl	nucleus [GO:0005634]	203.52
Fatty Acyl	cytoplasm [GO:0005737]	1372.23
Fatty Acyl	membrane [GO:0016020]	167.78
Fatty Acyl	membrane [GO:0016020]	261.3
Fatty Acyl	host multivesicular body [GO:0072494]	261.3
Fatty Acyl	viral nucleocapsid [GO:0019013]	261.3
Fatty Acyl	host cell plasma membrane [GO:0020002]	261.3
Fatty Acyl	virion membrane [GO:0055036]	261.3
Fatty Acyl	host cell nucleus [GO:0042025]	261.3
Fatty Acyl	pore complex [GO:0046930]	479.18
Fatty Acyl	cell outer membrane [GO:0009279]	479.18
Fatty Acyl	membrane [GO:0016020]	488.18
Fatty Acyl	cell-cell junction [GO:0005911]	488.18
Fatty Acyl	photoreceptor disc membrane [GO:0097381]	488.18
Fatty Acyl	G protein-coupled receptor complex [GO:0097648]	488.18
Fatty Acyl	plasma membrane [GO:0005886]	488.18
Fatty Acyl	sperm midpiece [GO:0097225]	488.18
Fatty Acyl	photoreceptor inner segment membrane [GO:0060342]	488.18
Fatty Acyl	photoreceptor outer segment [GO:0001750]	488.18
Fatty Acyl	photoreceptor outer segment membrane [GO:0042622]	488.18
Fatty Acyl	Golgi membrane [GO:0000139]	488.18
Fatty Acyl	outer membrane [GO:0019867]	488.18
Fatty Acyl	sperm head plasma membrane [GO:1990913]	488.18
Fatty Acyl	rod photoreceptor outer segment [GO:0120200]	488.18
Fatty Acyl	lysosomal lumen [GO:0043202]	242.91
Fatty Acyl	extracellular exosome [GO:0070062]	242.91
Fatty Acyl	azurophil granule lumen [GO:0035578]	242.91
Fatty Acyl	cytoplasm [GO:0005737]	242.91
Fatty Acyl	lysosome [GO:0005764]	242.91
Fatty Acyl	Golgi apparatus [GO:0005794]	242.91
Fatty Acyl	extracellular region [GO:0005576]	242.91
Fatty Acyl	membrane [GO:0016020]	467.14
Fatty Acyl	cytosol [GO:0005829]	119.6
Fatty Acyl	membrane [GO:0016020]	263.13
Fatty Acyl	plasma membrane [GO:0005886]	263.13
Fatty Acyl	membrane [GO:0016020]	413.38
Fatty Acyl	monoatomic ion channel complex [GO:0034702]	413.38
Fatty Acyl	pore complex [GO:0046930]	413.38
Fatty Acyl	cell outer membrane [GO:0009279]	413.38
Fatty Acyl	neuromuscular junction [GO:0031594]	163.44
Fatty Acyl	perikaryon [GO:0043204]	163.44
Fatty Acyl	membrane [GO:0016020]	163.44
Fatty Acyl	early endosome membrane [GO:0031901]	163.44
Fatty Acyl	synapse [GO:0045202]	163.44
Fatty Acyl	plasma membrane [GO:0005886]	163.44
Fatty Acyl	presynaptic membrane [GO:0042734]	163.44
Fatty Acyl	synaptic vesicle membrane [GO:0030672]	163.44
Fatty Acyl	axon [GO:0030424]	163.44
Fatty Acyl	dendrite [GO:0030425]	163.44
Fatty Acyl	T-tubule [GO:0030315]	871.21
Fatty Acyl	inward rectifying potassium channel [GO:0008282]	871.21
Fatty Acyl	nuclear envelope [GO:0005635]	871.21
Fatty Acyl	sarcolemma [GO:0042383]	871.21
Fatty Acyl	presynaptic membrane [GO:0042734]	871.21
Fatty Acyl	glutamatergic synapse [GO:0098978]	871.21
Fatty Acyl	axolemma [GO:0030673]	871.21
Fatty Acyl	neuronal cell body [GO:0043025]	871.21
Fatty Acyl	intercalated disc [GO:0014704]	871.21
Fatty Acyl	acrosomal vesicle [GO:0001669]	871.21
Fatty Acyl	plasma membrane [GO:0005886]	871.21
Fatty Acyl	cell body fiber [GO:0070852]	871.21
Fatty Acyl	endosome [GO:0005768]	871.21
Fatty Acyl	extracellular exosome [GO:0070062]	782.9
Fatty Acyl	cytoplasm [GO:0005737]	782.9
Fatty Acyl	protein-containing complex [GO:0032991]	782.9
Fatty Acyl	blood microparticle [GO:0072562]	782.9
Fatty Acyl	Golgi apparatus [GO:0005794]	782.9
Fatty Acyl	endoplasmic reticulum lumen [GO:0005788]	782.9
Fatty Acyl	extracellular region [GO:0005576]	782.9
Fatty Acyl	platelet alpha granule lumen [GO:0031093]	782.9
Fatty Acyl	extracellular space [GO:0005615]	782.9
Fatty Acyl	nucleus [GO:0005634]	782.9
Fatty Acyl	endoplasmic reticulum [GO:0005783]	782.9
Fatty Acyl	chloride channel complex [GO:0034707]	367.6
Fatty Acyl	membrane [GO:0016020]	367.6
Fatty Acyl	cytosol [GO:0005829]	367.6
Fatty Acyl	basolateral plasma membrane [GO:0016323]	367.6
Fatty Acyl	dendrite [GO:0030425]	367.6
Fatty Acyl	cytoplasm [GO:0005737]	367.6
Fatty Acyl	recycling endosome [GO:0055037]	367.6
Fatty Acyl	microvillus [GO:0005902]	367.6
Fatty Acyl	neuronal cell body [GO:0043025]	367.6
Fatty Acyl	apical plasma membrane [GO:0016324]	367.6
Fatty Acyl	cell surface [GO:0009986]	367.6
Fatty Acyl	plasma membrane [GO:0005886]	367.6
