class	GO_CC	pock_vol
Glycerolipid	fungal-type vacuole [GO:0000324]	255.25
Glycerolipid	fungal-type vacuole membrane [GO:0000329]	255.25
Glycerolipid	fungal-type vacuole [GO:0000324]	600.46
Glycerolipid	fungal-type vacuole membrane [GO:0000329]	600.46
Glycerolipid	fungal-type vacuole [GO:0000324]	386.47
Glycerolipid	fungal-type vacuole membrane [GO:0000329]	386.47
Glycerolipid	fungal-type vacuole [GO:0000324]	540.81
Glycerolipid	fungal-type vacuole membrane [GO:0000329]	540.81
Glycerolipid	fungal-type vacuole [GO:0000324]	571.35
Glycerolipid	fungal-type vacuole membrane [GO:0000329]	571.35
Glycerolipid	fungal-type vacuole [GO:0000324]	449.94
Glycerolipid	fungal-type vacuole membrane [GO:0000329]	449.94
Glycerolipid	fungal-type vacuole [GO:0000324]	150.21
Glycerolipid	fungal-type vacuole membrane [GO:0000329]	150.21
Glycerolipid	fungal-type vacuole [GO:0000324]	485.29
Glycerolipid	fungal-type vacuole membrane [GO:0000329]	485.29
Glycerolipid	host cell cytoplasm [GO:0030430]	805.01
Glycerolipid	host cell cytoplasm [GO:0030430]	263.19
Glycerolipid	nucleoplasm [GO:0005654]	626.11
Glycerolipid	respiratory chain complex IV [GO:0045277]	626.11
Glycerolipid	cytosol [GO:0005829]	626.11
Glycerolipid	mitochondrial respiratory chain complex IV [GO:0005751]	626.11
Glycerolipid	host cell cytoplasm [GO:0030430]	402.28
Glycerolipid	host cell cytoplasm [GO:0030430]	740.76
Glycerolipid	host cell cytoplasm [GO:0030430]	785.92
Glycerolipid	host cell cytoplasm [GO:0030430]	403.71
Glycerolipid	plasma membrane [GO:0005886]	125.46
Glycerolipid	plasma membrane [GO:0005886]	146.54
Glycerolipid	external side of plasma membrane [GO:0009897]	706.26
Glycerolipid	cell surface [GO:0009986]	706.26
Glycerolipid	plasma membrane [GO:0005886]	706.26
Glycerolipid	cytoplasm [GO:0005737]	706.26
Glycerolipid	endosome [GO:0005768]	706.26
Glycerolipid	external side of plasma membrane [GO:0009897]	262.07
Glycerolipid	cell surface [GO:0009986]	262.07
Glycerolipid	plasma membrane [GO:0005886]	262.07
Glycerolipid	cytoplasm [GO:0005737]	262.07
Glycerolipid	endosome [GO:0005768]	262.07
Glycerolipid	external side of plasma membrane [GO:0009897]	432.55
Glycerolipid	cell surface [GO:0009986]	432.55
Glycerolipid	plasma membrane [GO:0005886]	432.55
Glycerolipid	cytoplasm [GO:0005737]	432.55
Glycerolipid	endosome [GO:0005768]	432.55
Glycerolipid	external side of plasma membrane [GO:0009897]	737.01
Glycerolipid	cell surface [GO:0009986]	737.01
Glycerolipid	plasma membrane [GO:0005886]	737.01
Glycerolipid	cytoplasm [GO:0005737]	737.01
Glycerolipid	endosome [GO:0005768]	737.01
Glycerolipid	respiratory chain complex IV [GO:0045277]	86.19
Glycerolipid	mitochondrial inner membrane [GO:0005743]	86.19
Glycerolipid	external side of plasma membrane [GO:0009897]	761.94
Glycerolipid	cell surface [GO:0009986]	761.94
Glycerolipid	plasma membrane [GO:0005886]	761.94
Glycerolipid	cytoplasm [GO:0005737]	761.94
Glycerolipid	endosome [GO:0005768]	761.94
Glycerolipid	external side of plasma membrane [GO:0009897]	646.91
Glycerolipid	cell surface [GO:0009986]	646.91
Glycerolipid	plasma membrane [GO:0005886]	646.91
Glycerolipid	cytoplasm [GO:0005737]	646.91
Glycerolipid	endosome [GO:0005768]	646.91
Glycerolipid	external side of plasma membrane [GO:0009897]	198.07
Glycerolipid	cell surface [GO:0009986]	198.07
Glycerolipid	plasma membrane [GO:0005886]	198.07
Glycerolipid	cytoplasm [GO:0005737]	198.07
Glycerolipid	endosome [GO:0005768]	198.07
Glycerolipid	external side of plasma membrane [GO:0009897]	360.68
Glycerolipid	cell surface [GO:0009986]	360.68
Glycerolipid	plasma membrane [GO:0005886]	360.68
Glycerolipid	cytoplasm [GO:0005737]	360.68
Glycerolipid	endosome [GO:0005768]	360.68
Glycerolipid	external side of plasma membrane [GO:0009897]	366.91
Glycerolipid	cell surface [GO:0009986]	366.91
