class	GO_CC	pock_vol
Glycerophospholipid	photosystem II [GO:0009523]	1068.41
Glycerophospholipid	chloroplast thylakoid membrane [GO:0009535]	1068.41
Glycerophospholipid	photosystem I [GO:0009522]	1068.41
Glycerophospholipid	plasma membrane-derived chromatophore membrane [GO:0042717]	792.13
Glycerophospholipid	plasma membrane light-harvesting complex [GO:0030077]	792.13
Glycerophospholipid	T-tubule [GO:0030315]	569.14
Glycerophospholipid	inward rectifying potassium channel [GO:0008282]	569.14
Glycerophospholipid	nuclear envelope [GO:0005635]	569.14
Glycerophospholipid	sarcolemma [GO:0042383]	569.14
Glycerophospholipid	presynaptic membrane [GO:0042734]	569.14
Glycerophospholipid	glutamatergic synapse [GO:0098978]	569.14
Glycerophospholipid	axolemma [GO:0030673]	569.14
Glycerophospholipid	neuronal cell body [GO:0043025]	569.14
Glycerophospholipid	intercalated disc [GO:0014704]	569.14
Glycerophospholipid	acrosomal vesicle [GO:0001669]	569.14
Glycerophospholipid	plasma membrane [GO:0005886]	569.14
Glycerophospholipid	cell body fiber [GO:0070852]	569.14
Glycerophospholipid	endosome [GO:0005768]	569.14
Glycerophospholipid	photosystem II [GO:0009523]	328.69
Glycerophospholipid	plasma membrane-derived thylakoid membrane [GO:0031676]	328.69
Glycerophospholipid	photosystem II [GO:0009523]	328.69
Glycerophospholipid	plasma membrane-derived thylakoid membrane [GO:0031676]	328.69
Glycerophospholipid	periplasmic space [GO:0042597]	481.96
Glycerophospholipid	photosystem II reaction center [GO:0009539]	495.19
Glycerophospholipid	plasma membrane-derived thylakoid membrane [GO:0031676]	495.19
Glycerophospholipid	photosystem II reaction center [GO:0009539]	495.19
Glycerophospholipid	plasma membrane-derived thylakoid membrane [GO:0031676]	495.19
Glycerophospholipid	respiratory chain complex IV [GO:0045277]	128.08
Glycerophospholipid	mitochondrial respiratory chain complex IV [GO:0005751]	128.08
Glycerophospholipid	basolateral plasma membrane [GO:0016323]	988.14
Glycerophospholipid	neuronal cell body [GO:0043025]	988.14
Glycerophospholipid	apical plasma membrane [GO:0016324]	988.14
Glycerophospholipid	cell surface [GO:0009986]	988.14
Glycerophospholipid	plasma membrane [GO:0005886]	988.14
Glycerophospholipid	axon terminus [GO:0043679]	988.14
Glycerophospholipid	membrane [GO:0016020]	715.1
Glycerophospholipid	apical plasma membrane [GO:0016324]	715.1
Glycerophospholipid	extracellular exosome [GO:0070062]	715.1
Glycerophospholipid	cytosol [GO:0005829]	715.1
Glycerophospholipid	plasma membrane [GO:0005886]	715.1
Glycerophospholipid	respiratory chain complex I [GO:0045271]	324.71
Glycerophospholipid	plasma membrane [GO:0005886]	324.71
Glycerophospholipid	membrane [GO:0016020]	324.71
Glycerophospholipid	NADH dehydrogenase complex [GO:0030964]	324.71
Glycerophospholipid	plasma membrane respiratory chain complex I [GO:0045272]	324.71
Glycerophospholipid	plasma membrane [GO:0005886]	0.0
Glycerophospholipid	photosystem II reaction center [GO:0009539]	224.48
Glycerophospholipid	plasma membrane-derived thylakoid membrane [GO:0031676]	224.48
Glycerophospholipid	photosystem II reaction center [GO:0009539]	224.48
Glycerophospholipid	plasma membrane-derived thylakoid membrane [GO:0031676]	224.48
Glycerophospholipid	chloroplast thylakoid membrane [GO:0009535]	1274.45
Glycerophospholipid	photosystem I [GO:0009522]	1274.45
Glycerophospholipid	mitochondrial inner membrane [GO:0005743]	500.42
Glycerophospholipid	mitochondrial respiratory chain complex I [GO:0005747]	500.42
Glycerophospholipid	photosystem II [GO:0009523]	1057.48
Glycerophospholipid	plasma membrane-derived thylakoid membrane [GO:0031676]	1057.48
Glycerophospholipid	photosystem II [GO:0009523]	1057.48
Glycerophospholipid	plasma membrane-derived thylakoid membrane [GO:0031676]	1057.48
Glycerophospholipid	postsynaptic density membrane [GO:0098839]	939.4
Glycerophospholipid	postsynaptic membrane [GO:0045211]	939.4
Glycerophospholipid	perikaryon [GO:0043204]	939.4
Glycerophospholipid	membrane [GO:0016020]	939.4
Glycerophospholipid	AMPA glutamate receptor complex [GO:0032281]	939.4
Glycerophospholipid	presynaptic membrane [GO:0042734]	939.4
Glycerophospholipid	dendrite [GO:0030425]	939.4
