class	GO_CC	pock_vol
Polyketide	protein-containing complex [GO:0032991]	796.99
Polyketide	axonal growth cone [GO:0044295]	796.99
Polyketide	perinuclear region of cytoplasm [GO:0048471]	796.99
Polyketide	cytosol [GO:0005829]	796.99
Polyketide	extracellular exosome [GO:0070062]	796.99
Polyketide	nucleoplasm [GO:0005654]	796.99
Polyketide	microtubule [GO:0005874]	796.99
Polyketide	mitochondrion [GO:0005739]	796.99
Polyketide	cytoplasm [GO:0005737]	796.99
Polyketide	neuronal cell body [GO:0043025]	796.99
Polyketide	periplasmic space [GO:0042597]	657.26
Polyketide	intracellular membrane-bounded organelle [GO:0043231]	1529.56
Polyketide	endoplasmic reticulum membrane [GO:0005789]	1529.56
Polyketide	lysosomal lumen [GO:0043202]	660.11
Polyketide	basolateral plasma membrane [GO:0016323]	660.11
Polyketide	secretory granule lumen [GO:0034774]	660.11
Polyketide	extracellular exosome [GO:0070062]	660.11
Polyketide	nucleoplasm [GO:0005654]	660.11
Polyketide	brush border membrane [GO:0031526]	660.11
Polyketide	cytoplasm [GO:0005737]	660.11
Polyketide	cell surface [GO:0009986]	660.11
Polyketide	neuronal cell body [GO:0043025]	660.11
Polyketide	endocytic vesicle lumen [GO:0071682]	660.11
Polyketide	melanosome [GO:0042470]	660.11
Polyketide	protein-containing complex [GO:0032991]	660.11
Polyketide	axonal growth cone [GO:0044295]	660.11
Polyketide	perinuclear region of cytoplasm [GO:0048471]	660.11
Polyketide	cytosol [GO:0005829]	660.11
Polyketide	sperm mitochondrial sheath [GO:0097226]	660.11
Polyketide	membrane [GO:0016020]	660.11
Polyketide	extracellular region [GO:0005576]	660.11
Polyketide	nucleus [GO:0005634]	660.11
Polyketide	sperm plasma membrane [GO:0097524]	660.11
Polyketide	collagen-containing extracellular matrix [GO:0062023]	660.11
Polyketide	myelin sheath [GO:0043209]	660.11
Polyketide	apical plasma membrane [GO:0016324]	660.11
Polyketide	ficolin-1-rich granule lumen [GO:1904813]	660.11
Polyketide	dendritic growth cone [GO:0044294]	660.11
Polyketide	plasma membrane [GO:0005886]	660.11
Polyketide	mitochondrion [GO:0005739]	660.11
Polyketide	DNA-directed RNA polymerase complex [GO:0000428]	1449.46
Polyketide	protein kinase CK2 complex [GO:0005956]	481.41
Polyketide	cytosol [GO:0005829]	481.41
Polyketide	nucleoplasm [GO:0005654]	481.41
Polyketide	chromatin [GO:0000785]	481.41
Polyketide	nucleus [GO:0005634]	481.41
Polyketide	acrosomal vesicle [GO:0001669]	481.41
Polyketide	lysosomal lumen [GO:0043202]	669.24
Polyketide	basolateral plasma membrane [GO:0016323]	669.24
Polyketide	secretory granule lumen [GO:0034774]	669.24
Polyketide	extracellular exosome [GO:0070062]	669.24
Polyketide	nucleoplasm [GO:0005654]	669.24
Polyketide	brush border membrane [GO:0031526]	669.24
Polyketide	cytoplasm [GO:0005737]	669.24
Polyketide	cell surface [GO:0009986]	669.24
Polyketide	neuronal cell body [GO:0043025]	669.24
Polyketide	endocytic vesicle lumen [GO:0071682]	669.24
Polyketide	melanosome [GO:0042470]	669.24
Polyketide	protein-containing complex [GO:0032991]	669.24
Polyketide	axonal growth cone [GO:0044295]	669.24
Polyketide	perinuclear region of cytoplasm [GO:0048471]	669.24
Polyketide	cytosol [GO:0005829]	669.24
Polyketide	sperm mitochondrial sheath [GO:0097226]	669.24
Polyketide	membrane [GO:0016020]	669.24
Polyketide	extracellular region [GO:0005576]	669.24
Polyketide	nucleus [GO:0005634]	669.24
Polyketide	sperm plasma membrane [GO:0097524]	669.24
Polyketide	collagen-containing extracellular matrix [GO:0062023]	669.24
Polyketide	myelin sheath [GO:0043209]	669.24
Polyketide	apical plasma membrane [GO:0016324]	669.24
Polyketide	ficolin-1-rich granule lumen [GO:1904813]	669.24
Polyketide	dendritic growth cone [GO:0044294]	669.24
Polyketide	plasma membrane [GO:0005886]	669.24
Polyketide	mitochondrion [GO:0005739]	669.24
Polyketide	extracellular space [GO:0005615]	263.4
Polyketide	azurophil granule lumen [GO:0035578]	263.4
Polyketide	extracellular region [GO:0005576]	263.4
Polyketide	extracellular exosome [GO:0070062]	263.4
Polyketide	chloride channel complex [GO:0034707]	631.06
Polyketide	postsynaptic membrane [GO:0045211]	631.06
Polyketide	perikaryon [GO:0043204]	631.06
Polyketide	membrane [GO:0016020]	631.06
Polyketide	plasma membrane [GO:0005886]	631.06
Polyketide	dendrite [GO:0030425]	631.06
Polyketide	neuron projection [GO:0043005]	631.06
Polyketide	synapse [GO:0045202]	631.06
Polyketide	cytoplasm [GO:0005737]	839.95
Polyketide	chloroplast stroma [GO:0009570]	412.01
Polyketide	endoplasmic reticulum [GO:0005783]	412.01
Polyketide	chloroplast [GO:0009507]	412.01
Polyketide	cytosol [GO:0005829]	412.01
Polyketide	intracellular membrane-bounded organelle [GO:0043231]	412.01
Polyketide	plasma membrane [GO:0005886]	412.01
Polyketide	apoplast [GO:0048046]	412.01
Polyketide	plasmodesma [GO:0009506]	412.01
Polyketide	plant-type vacuole [GO:0000325]	412.01
Polyketide	extracellular space [GO:0005615]	429.31
Polyketide	azurophil granule lumen [GO:0035578]	429.31
Polyketide	extracellular region [GO:0005576]	429.31
Polyketide	extracellular exosome [GO:0070062]	429.31
Polyketide	postsynaptic density [GO:0014069]	595.33
Polyketide	glutamatergic synapse [GO:0098978]	595.33
Polyketide	plasma membrane [GO:0005886]	595.33
Polyketide	DAPK1-calmodulin complex [GO:1990722]	595.33
Polyketide	actin cytoskeleton [GO:0015629]	595.33
Polyketide	nucleus [GO:0005634]	595.33
Polyketide	cytoplasm [GO:0005737]	595.33
Polyketide	node of Ranvier [GO:0033268]	585.06
Polyketide	synapse [GO:0045202]	585.06
Polyketide	plasma membrane [GO:0005886]	585.06
Polyketide	axon initial segment [GO:0043194]	585.06
Polyketide	voltage-gated potassium channel complex [GO:0008076]	585.06
Polyketide	cell body [GO:0044297]	649.77
Polyketide	actin filament [GO:0005884]	649.77
Polyketide	skeletal muscle myofibril [GO:0098723]	649.77
Polyketide	stress fiber [GO:0001725]	649.77
Polyketide	filamentous actin [GO:0031941]	649.77
Polyketide	actin filament bundle [GO:0032432]	649.77
Polyketide	lamellipodium [GO:0030027]	649.77
Polyketide	striated muscle thin filament [GO:0005865]	649.77
Polyketide	cytoplasm [GO:0005737]	649.77
