class	GO_CC	pock_vol
Prenol	protein-containing complex [GO:0032991]	1133.49
Prenol	Cul3-RING ubiquitin ligase complex [GO:0031463]	1133.49
Prenol	endoplasmic reticulum [GO:0005783]	1133.49
Prenol	centriolar satellite [GO:0034451]	1133.49
Prenol	focal adhesion [GO:0005925]	1133.49
Prenol	actin filament [GO:0005884]	1133.49
Prenol	cytosol [GO:0005829]	1133.49
Prenol	nucleoplasm [GO:0005654]	1133.49
Prenol	inclusion body [GO:0016234]	1133.49
Prenol	adherens junction [GO:0005912]	1133.49
Prenol	midbody [GO:0030496]	1133.49
Prenol	cytoplasm [GO:0005737]	1133.49
Prenol	photosystem II [GO:0009523]	450.28
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	450.28
Prenol	plasma membrane [GO:0005886]	449.14
Prenol	organelle inner membrane [GO:0019866]	449.14
Prenol	plasma membrane light-harvesting complex [GO:0030077]	449.14
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	537.49
Prenol	photosystem I [GO:0009522]	537.49
Prenol	plasma membrane [GO:0005886]	460.56
Prenol	cytosol [GO:0005829]	148.29
Prenol	nucleoplasm [GO:0005654]	148.29
Prenol	receptor complex [GO:0043235]	148.29
Prenol	mitochondrion [GO:0005739]	148.29
Prenol	RNA polymerase II transcription regulator complex [GO:0090575]	148.29
Prenol	chromatin [GO:0000785]	148.29
Prenol	transcription regulator complex [GO:0005667]	148.29
Prenol	nucleus [GO:0005634]	148.29
Prenol	oligosaccharyltransferase complex [GO:0008250]	2055.39
Prenol	oligosaccharyltransferase III complex [GO:0035000]	2055.39
Prenol	membrane [GO:0016020]	2055.39
Prenol	endoplasmic reticulum membrane [GO:0005789]	2055.39
Prenol	photosystem II [GO:0009523]	354.83
Prenol	chloroplast thylakoid membrane [GO:0009535]	354.83
Prenol	photosystem II [GO:0009523]	354.83
Prenol	chloroplast thylakoid membrane [GO:0009535]	354.83
Prenol	periplasmic space [GO:0042597]	501.1
Prenol	photosystem II [GO:0009523]	1194.31
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	1194.31
Prenol	membrane [GO:0016020]	518.34
Prenol	light-harvesting complex [GO:0030076]	518.34
Prenol	plastid [GO:0009536]	518.34
Prenol	photosystem II [GO:0009523]	835.84
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	835.84
Prenol	photosystem II [GO:0009523]	835.84
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	835.84
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	881.82
Prenol	photosystem I [GO:0009522]	881.82
Prenol	nucleoplasm [GO:0005654]	570.38
Prenol	cytoplasm [GO:0005737]	570.38
Prenol	cytosol [GO:0005829]	570.38
Prenol	photosystem II [GO:0009523]	1306.42
Prenol	chloroplast thylakoid membrane [GO:0009535]	1306.42
Prenol	photosystem I [GO:0009522]	1306.42
Prenol	photosystem II [GO:0009523]	706.73
Prenol	chloroplast thylakoid membrane [GO:0009535]	706.73
Prenol	mitochondrion [GO:0005739]	949.79
Prenol	nucleoplasm [GO:0005654]	949.79
Prenol	mitochondrial respiratory chain complex I [GO:0005747]	949.79
Prenol	mitochondrial inner membrane [GO:0005743]	949.79
Prenol	photosystem II [GO:0009523]	786.14
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	786.14
Prenol	photosystem II [GO:0009523]	786.14
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	786.14
