class	GO_CC	pock_vol
Saccharolipid	Golgi medial cisterna [GO:0005797]	1202.67
Saccharolipid	Golgi membrane [GO:0000139]	1202.67
Saccharolipid	perinuclear region of cytoplasm [GO:0048471]	1202.67
Saccharolipid	cytosol [GO:0005829]	995.91
Saccharolipid	cytosol [GO:0005829]	994.14
Saccharolipid	cytoplasm [GO:0005737]	1203.03
Saccharolipid	cytoplasm [GO:0005737]	1137.59
Saccharolipid	cytoplasm [GO:0005737]	1149.0
Saccharolipid	cytosol [GO:0005829]	1012.5
Saccharolipid	cytosol [GO:0005829]	1048.06
Saccharolipid	cytosol [GO:0005829]	1488.49
Saccharolipid	cytosol [GO:0005829]	1049.92
Saccharolipid	cytosol [GO:0005829]	1312.35
Saccharolipid	cytosol [GO:0005829]	1435.71
Saccharolipid	cytosol [GO:0005829]	1137.81
Saccharolipid	cytosol [GO:0005829]	1278.3
Saccharolipid	cytosol [GO:0005829]	1299.6
Saccharolipid	plasma membrane [GO:0005886]	1299.6
Saccharolipid	nucleoplasm [GO:0005654]	1299.6
Saccharolipid	cytosol [GO:0005829]	0.0
Saccharolipid	plasma membrane [GO:0005886]	0.0
Saccharolipid	nucleoplasm [GO:0005654]	0.0
Saccharolipid	cytosol [GO:0005829]	119.54
Saccharolipid	plasma membrane [GO:0005886]	119.54
Saccharolipid	nucleoplasm [GO:0005654]	119.54
Saccharolipid	cytosol [GO:0005829]	997.73
Saccharolipid	plasma membrane [GO:0005886]	997.73
Saccharolipid	nucleoplasm [GO:0005654]	997.73
Saccharolipid	cytosol [GO:0005829]	1082.67
Saccharolipid	plasma membrane [GO:0005886]	1082.67
Saccharolipid	nucleoplasm [GO:0005654]	1082.67
Saccharolipid	cytosol [GO:0005829]	109.45
Saccharolipid	plasma membrane [GO:0005886]	109.45
Saccharolipid	nucleoplasm [GO:0005654]	109.45
Saccharolipid	cytosol [GO:0005829]	161.1
Saccharolipid	plasma membrane [GO:0005886]	161.1
Saccharolipid	nucleoplasm [GO:0005654]	161.1
Saccharolipid	cytosol [GO:0005829]	1064.14
Saccharolipid	plasma membrane [GO:0005886]	1064.14
Saccharolipid	nucleoplasm [GO:0005654]	1064.14
Saccharolipid	cytosol [GO:0005829]	1133.19
Saccharolipid	cytoplasm [GO:0005737]	1133.19
Saccharolipid	cytosol [GO:0005829]	1574.96
Saccharolipid	cytoplasm [GO:0005737]	1574.96
Saccharolipid	plasma membrane [GO:0005886]	1171.15
Saccharolipid	plasma membrane [GO:0005886]	1172.51
Saccharolipid	cytosol [GO:0005829]	1266.82
Saccharolipid	nucleoplasm [GO:0005654]	1266.82
Saccharolipid	endoplasmic reticulum [GO:0005783]	1266.82
Saccharolipid	endoplasmic reticulum membrane [GO:0005789]	1266.82
Saccharolipid	cytosol [GO:0005829]	1457.55
Saccharolipid	nucleoplasm [GO:0005654]	1457.55
Saccharolipid	endoplasmic reticulum [GO:0005783]	1457.55
Saccharolipid	endoplasmic reticulum membrane [GO:0005789]	1457.55
Saccharolipid	cytosol [GO:0005829]	1226.55
Saccharolipid	cytosol [GO:0005829]	1267.99
Saccharolipid	cytosol [GO:0005829]	1093.71
Saccharolipid	receptor complex [GO:0043235]	1530.32
Saccharolipid	extracellular region [GO:0005576]	1530.32
Saccharolipid	endosome membrane [GO:0010008]	1530.32
Saccharolipid	plasma membrane [GO:0005886]	1530.32
Saccharolipid	lipopolysaccharide receptor complex [GO:0046696]	1530.32
Saccharolipid	cytosol [GO:0005829]	602.18
Saccharolipid	cytoplasm [GO:0005737]	602.18
Saccharolipid	cytosol [GO:0005829]	1004.63
Saccharolipid	cytosol [GO:0005829]	998.58
Saccharolipid	cytosol [GO:0005829]	1070.32
Saccharolipid	cytosol [GO:0005829]	1051.83
Saccharolipid	cytosol [GO:0005829]	953.84
Saccharolipid	cytosol [GO:0005829]	1045.15
Saccharolipid	cytosol [GO:0005829]	912.88
Saccharolipid	cytoplasm [GO:0005737]	912.88
Saccharolipid	cytoplasm [GO:0005737]	1410.37
Saccharolipid	cytoplasm [GO:0005737]	1293.56
Saccharolipid	cytoplasm [GO:0005737]	1050.26
Saccharolipid	cytoplasm [GO:0005737]	962.6
Saccharolipid	cytoplasm [GO:0005737]	1083.02
Saccharolipid	cytoplasm [GO:0005737]	1142.93
Saccharolipid	cytoplasm [GO:0005737]	1256.68
Saccharolipid	cytoplasm [GO:0005737]	1226.2
Saccharolipid	cytosol [GO:0005829]	1174.49
Saccharolipid	cytosol [GO:0005829]	1213.34
Saccharolipid	cytoplasm [GO:0005737]	1281.36
Saccharolipid	extracellular region [GO:0005576]	1429.13
Saccharolipid	extracellular region [GO:0005576]	1446.04
Saccharolipid	plasma membrane [GO:0005886]	1531.18
Saccharolipid	early endosome [GO:0005769]	1531.18
Saccharolipid	recycling endosome [GO:0055037]	1531.18
Saccharolipid	specific granule [GO:0042581]	1531.18
Saccharolipid	extracellular space [GO:0005615]	1531.18
Saccharolipid	extracellular region [GO:0005576]	859.97
Saccharolipid	plasma membrane [GO:0005886]	861.89
Saccharolipid	cytoplasm [GO:0005737]	1153.44
Saccharolipid	cytoplasm [GO:0005737]	1168.78
Saccharolipid	cytoplasm [GO:0005737]	1363.04
