class	GO_CC	pock_vol
Sphingolipid	endocytic vesicle lumen [GO:0071682]	242.9
Sphingolipid	tertiary granule lumen [GO:1904724]	242.9
Sphingolipid	cytosol [GO:0005829]	242.9
Sphingolipid	ficolin-1-rich granule lumen [GO:1904813]	242.9
Sphingolipid	extracellular exosome [GO:0070062]	242.9
Sphingolipid	blood microparticle [GO:0072562]	242.9
Sphingolipid	extracellular region [GO:0005576]	242.9
Sphingolipid	extracellular space [GO:0005615]	242.9
Sphingolipid	hemoglobin complex [GO:0005833]	242.9
Sphingolipid	haptoglobin-hemoglobin complex [GO:0031838]	242.9
Sphingolipid	axon terminus [GO:0043679]	972.13
Sphingolipid	voltage-gated potassium channel complex [GO:0008076]	972.13
Sphingolipid	endoplasmic reticulum [GO:0005783]	972.13
Sphingolipid	cell surface [GO:0009986]	972.13
Sphingolipid	apical plasma membrane [GO:0016324]	972.13
Sphingolipid	plasma membrane [GO:0005886]	972.13
Sphingolipid	astrocyte projection [GO:0097449]	972.13
Sphingolipid	axon [GO:0030424]	972.13
Sphingolipid	calyx of Held [GO:0044305]	972.13
Sphingolipid	neuronal cell body [GO:0043025]	972.13
Sphingolipid	membrane raft [GO:0045121]	1961.27
Sphingolipid	endosome membrane [GO:0010008]	1961.27
Sphingolipid	plasma membrane [GO:0005886]	1961.27
Sphingolipid	extracellular space [GO:0005615]	1961.27
Sphingolipid	external side of plasma membrane [GO:0009897]	1961.27
Sphingolipid	endoplasmic reticulum [GO:0005783]	829.17
Sphingolipid	secretory granule membrane [GO:0030667]	829.17
Sphingolipid	plasma membrane [GO:0005886]	829.17
Sphingolipid	endoplasmic reticulum membrane [GO:0005789]	829.17
Sphingolipid	SPOTS complex [GO:0035339]	829.17
Sphingolipid	specific granule membrane [GO:0035579]	829.17
Sphingolipid	cytoplasm [GO:0005737]	832.85
Sphingolipid	apical plasma membrane [GO:0016324]	975.53
Sphingolipid	gap junction [GO:0005921]	975.53
Sphingolipid	plasma membrane [GO:0005886]	975.53
Sphingolipid	endoplasmic reticulum [GO:0005783]	975.53
Sphingolipid	cytoplasm [GO:0005737]	91.36
Sphingolipid	late endosome [GO:0005770]	2077.72
Sphingolipid	endoplasmic reticulum [GO:0005783]	2077.72
Sphingolipid	cytoplasm [GO:0005737]	2077.72
Sphingolipid	endosome membrane [GO:0010008]	2077.72
Sphingolipid	lysosome [GO:0005764]	2077.72
Sphingolipid	early endosome [GO:0005769]	2077.72
Sphingolipid	extracellular space [GO:0005615]	2077.72
Sphingolipid	external side of plasma membrane [GO:0009897]	2077.72
Sphingolipid	lysosomal membrane [GO:0005765]	2077.72
Sphingolipid	cell surface [GO:0009986]	2077.72
Sphingolipid	endosome membrane [GO:0010008]	33.53
Sphingolipid	cytosol [GO:0005829]	33.53
Sphingolipid	plasma membrane [GO:0005886]	33.53
Sphingolipid	nuclear outer membrane [GO:0005640]	33.53
Sphingolipid	Golgi apparatus [GO:0005794]	33.53
Sphingolipid	endosome membrane [GO:0010008]	309.37
Sphingolipid	cytosol [GO:0005829]	309.37
Sphingolipid	plasma membrane [GO:0005886]	309.37
Sphingolipid	nuclear outer membrane [GO:0005640]	309.37
Sphingolipid	Golgi apparatus [GO:0005794]	309.37
Sphingolipid	endoplasmic reticulum membrane [GO:0005789]	1247.52
Sphingolipid	endoplasmic reticulum [GO:0005783]	1247.52
Sphingolipid	endosome membrane [GO:0010008]	1385.06
Sphingolipid	cytosol [GO:0005829]	1385.06
Sphingolipid	intracellular membrane-bounded organelle [GO:0043231]	1385.06
Sphingolipid	plasma membrane [GO:0005886]	1385.06
Sphingolipid	membrane [GO:0016020]	1385.06
Sphingolipid	extracellular space [GO:0005615]	1385.06
Sphingolipid	external side of plasma membrane [GO:0009897]	1385.06
Sphingolipid	lysosomal membrane [GO:0005765]	1385.06
Sphingolipid	cell surface [GO:0009986]	1385.06
Sphingolipid	Golgi apparatus [GO:0005794]	1385.06
Sphingolipid	extracellular region [GO:0005576]	386.57
Sphingolipid	cytosol [GO:0005829]	1270.92
Sphingolipid	nucleoplasm [GO:0005654]	1270.92
Sphingolipid	endoplasmic reticulum membrane [GO:0005789]	1270.92
Sphingolipid	mitochondrion [GO:0005739]	1270.92
Sphingolipid	Golgi apparatus [GO:0005794]	1270.92
Sphingolipid	late endosome [GO:0005770]	2288.2
Sphingolipid	endoplasmic reticulum [GO:0005783]	2288.2
Sphingolipid	cytoplasm [GO:0005737]	2288.2
Sphingolipid	endosome membrane [GO:0010008]	2288.2
Sphingolipid	lysosome [GO:0005764]	2288.2
Sphingolipid	early endosome [GO:0005769]	2288.2
Sphingolipid	extracellular space [GO:0005615]	2288.2
Sphingolipid	external side of plasma membrane [GO:0009897]	2288.2
Sphingolipid	lysosomal membrane [GO:0005765]	2288.2
Sphingolipid	cell surface [GO:0009986]	2288.2
