class	GO_CC	pock_vol
Sterol	late endosome [GO:0005770]	1005.37
Sterol	dendrite [GO:0030425]	1005.37
Sterol	axonal growth cone [GO:0044295]	1005.37
Sterol	endoplasmic reticulum [GO:0005783]	1005.37
Sterol	Golgi apparatus [GO:0005794]	1005.37
Sterol	ciliary membrane [GO:0060170]	1005.37
Sterol	endocytic vesicle membrane [GO:0030666]	1005.37
Sterol	cilium [GO:0005929]	1005.37
Sterol	intracellular membrane-bounded organelle [GO:0043231]	1005.37
Sterol	dendritic growth cone [GO:0044294]	1005.37
Sterol	caveola [GO:0005901]	1005.37
Sterol	plasma membrane [GO:0005886]	1005.37
Sterol	centriole [GO:0005814]	1005.37
Sterol	9+0 non-motile cilium [GO:0097731]	1005.37
Sterol	cytoplasm [GO:0005737]	1005.37
Sterol	endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]	1005.37
Sterol	neuronal cell body [GO:0043025]	1005.37
Sterol	neuron projection terminus [GO:0044306]	439.82
Sterol	vesicle [GO:0031982]	439.82
Sterol	cell body [GO:0044297]	439.82
Sterol	axolemma [GO:0030673]	439.82
Sterol	glutamatergic synapse [GO:0098978]	439.82
Sterol	membrane [GO:0016020]	439.82
Sterol	plasma membrane [GO:0005886]	439.82
Sterol	astrocyte projection [GO:0097449]	439.82
Sterol	membrane protein complex [GO:0098796]	439.82
Sterol	presynaptic membrane [GO:0042734]	439.82
Sterol	membrane raft [GO:0045121]	439.82
Sterol	cell surface [GO:0009986]	439.82
Sterol	mitochondrion [GO:0005739]	0.0
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	0.0
Sterol	mitochondrial respirasome [GO:0005746]	0.0
Sterol	respiratory chain complex IV [GO:0045277]	0.0
Sterol	nucleoplasm [GO:0005654]	421.26
Sterol	melanosome [GO:0042470]	706.94
Sterol	basolateral plasma membrane [GO:0016323]	706.94
Sterol	plasma membrane [GO:0005886]	706.94
Sterol	membrane [GO:0016020]	706.94
Sterol	axon [GO:0030424]	706.94
Sterol	sarcolemma [GO:0042383]	706.94
Sterol	sodium:potassium-exchanging ATPase complex [GO:0005890]	706.94
Sterol	plasma membrane [GO:0005886]	491.89
Sterol	lysosome [GO:0005764]	491.89
Sterol	plasma membrane [GO:0005886]	448.12
Sterol	membrane [GO:0016020]	448.12
Sterol	heterochromatin [GO:0000792]	906.45
Sterol	perinuclear region of cytoplasm [GO:0048471]	906.45
Sterol	dense fibrillar component [GO:0001651]	906.45
Sterol	receptor complex [GO:0043235]	906.45
Sterol	euchromatin [GO:0000791]	906.45
Sterol	nuclear matrix [GO:0016363]	906.45
Sterol	RNA polymerase II transcription regulator complex [GO:0090575]	906.45
Sterol	T-tubule [GO:0030315]	906.45
Sterol	nucleus [GO:0005634]	906.45
Sterol	respiratory chain complex IV [GO:0045277]	344.75
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	344.75
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	0.0
Sterol	respiratory chain complex IV [GO:0045277]	0.0
Sterol	mitochondrion [GO:0005739]	0.0
Sterol	mitochondrial respirasome [GO:0005746]	0.0
Sterol	membrane [GO:0016020]	1218.49
Sterol	plasma membrane [GO:0005886]	1218.49
Sterol	plasma membrane [GO:0005886]	1225.66
Sterol	apical plasma membrane [GO:0016324]	1225.66
Sterol	plasma membrane [GO:0005886]	1652.9
Sterol	membrane [GO:0016020]	919.19
Sterol	endoplasmic reticulum membrane [GO:0005789]	919.19
Sterol	GPI-anchor transamidase complex [GO:0042765]	919.19
Sterol	plasma membrane [GO:0005886]	585.55
Sterol	membrane [GO:0016020]	585.55
Sterol	melanosome [GO:0042470]	327.06
Sterol	basolateral plasma membrane [GO:0016323]	327.06
Sterol	plasma membrane [GO:0005886]	327.06
Sterol	membrane [GO:0016020]	327.06
Sterol	axon [GO:0030424]	327.06
Sterol	sarcolemma [GO:0042383]	327.06
Sterol	sodium:potassium-exchanging ATPase complex [GO:0005890]	327.06
Sterol	plasma membrane [GO:0005886]	589.4
Sterol	lysosome [GO:0005764]	589.4
Sterol	endoplasmic reticulum-plasma membrane contact site [GO:0140268]	1196.93
