pdb_file	ccd_id	expected_atom_count	observed_atom_count	missing_atom_count	extra_atom_count	missing_atoms	extra_atoms
/Volumes/GigiMurin/plip/sterol_lipids/BD1a27-A-A-EST1/BD1a27-A-A-EST1_protonated.pdb	EST	20	20	0	0		
/Volumes/GigiMurin/plip/sterol_lipids/BD1a28-A-A-STR1/BD1a28-A-A-STR1_protonated.pdb	STR	23	23	0	0		
/Volumes/GigiMurin/plip/sterol_lipids/BD1a52-A-A-EST1/BD1a52-A-A-EST1_protonated.pdb	EST	20	20	0	0		
/Volumes/GigiMurin/plip/sterol_lipids/BD1a52-B-B-EST1/BD1a52-B-B-EST1_protonated.pdb	EST	20	20	0	0		
/Volumes/GigiMurin/plip/sterol_lipids/BD1afs-A-A-TES1/BD1afs-A-A-TES1_protonated.pdb	TES	21	21	0	0		
/Volumes/GigiMurin/plip/sterol_lipids/BD1ahi-A-A-CHO1/BD1ahi-A-A-CHO1_protonated.pdb	CHO	32	28	4	0	C26,C27,OT1,OT2	
/Volumes/GigiMurin/plip/sterol_lipids/BD1ahi-B-B-CHO1/BD1ahi-B-B-CHO1_protonated.pdb	CHO	32	28	4	0	C26,C27,OT1,OT2	
/Volumes/GigiMurin/plip/sterol_lipids/BD1aql-A-A-TCH1/BD1aql-A-A-TCH1_protonated.pdb	TCH	35	35	0	0		
/Volumes/GigiMurin/plip/sterol_lipids/BD1aql-A-A-TCH2/BD1aql-A-A-TCH2_protonated.pdb	TCH	35	35	0	0		
/Volumes/GigiMurin/plip/sterol_lipids/BD1aql-A-B-TCH1/plipfixed.BD1aql-A-B-TCH1_wmaohs4u.pdb	TCH	35	35	0	0		
/Volumes/GigiMurin/plip/sterol_lipids/BD1aql-A-B-TCH1/BD1aql-A-B-TCH1_protonated.pdb	TCH	35	35	0	0		
/Volumes/GigiMurin/plip/sterol_lipids/BD1aql-B-A-TCH1/plipfixed.BD1aql-B-A-TCH1_1zdtgo8o.pdb	TCH	35	35	0	0		
/Volumes/GigiMurin/plip/sterol_lipids/BD1aql-B-A-TCH1/BD1aql-B-A-TCH1_protonated.pdb	TCH	35	35	0	0		
/Volumes/GigiMurin/plip/sterol_lipids/BD1aql-B-B-TCH1/BD1aql-B-B-TCH1_protonated.pdb	TCH	35	35	0	0		
/Volumes/GigiMurin/plip/sterol_lipids/BD1aql-B-B-TCH2/BD1aql-B-B-TCH2_protonated.pdb	TCH	35	35	0	0		
/Volumes/GigiMurin/plip/sterol_lipids/BD1aqu-A-A-EST1/BD1aqu-A-A-EST1_protonated.pdb	EST	20	20	0	0		
/Volumes/GigiMurin/plip/sterol_lipids/BD1aqu-A-B-EST1/plipfixed.BD1aqu-A-B-EST1_5364irkx.pdb	EST	20	20	0	0		
/Volumes/GigiMurin/plip/sterol_lipids/BD1aqu-A-B-EST1/BD1aqu-A-B-EST1_protonated.pdb	EST	20	20	0	0		
/Volumes/GigiMurin/plip/sterol_lipids/BD1aqu-B-B-EST1/BD1aqu-B-B-EST1_protonated.pdb	EST	20	20	0	0		
/Volumes/GigiMurin/plip/sterol_lipids/BD1bfv-H-H-STG1/BD1bfv-H-H-STG1_protonated.pdb	STG	33	33	0	0		
/Volumes/GigiMurin/plip/sterol_lipids/BD1bfv-L-H-STG1/plipfixed.BD1bfv-L-H-STG1_2fytmtic.pdb	STG	33	33	0	0		
/Volumes/GigiMurin/plip/sterol_lipids/BD1bfv-L-H-STG1/BD1bfv-L-H-STG1_protonated.pdb	STG	33	33	0	0		
/Volumes/GigiMurin/plip/sterol_lipids/BD1bxm-A-A-ERG1/BD1bxm-A-A-ERG1_protonated.pdb	ERG	29	29	0	0		
/Volumes/GigiMurin/plip/sterol_lipids/BD1cfv-H-H-E3G1/BD1cfv-H-H-E3G1_protonated.pdb	E3G	37	32	14	9	"C1'","C2'","C3'","C4'","C5'","C6'","H1'","H2'","H3'","H4'","H5'","O7'","O8'","O9'"	C1',C2',C3',C4',C5',C6',O7',O8',O9'
/Volumes/GigiMurin/plip/sterol_lipids/BD1cfv-L-H-E3G1/plipfixed.BD1cfv-L-H-E3G1_kqnl5uhh.pdb	E3G	37	32	14	9	"C1'","C2'","C3'","C4'","C5'","C6'","H1'","H2'","H3'","H4'","H5'","O7'","O8'","O9'"	C1',C2',C3',C4',C5',C6',O7',O8',O9'
/Volumes/GigiMurin/plip/sterol_lipids/BD1cfv-L-H-E3G1/BD1cfv-L-H-E3G1_protonated.pdb	E3G	37	32	14	9	"C1'","C2'","C3'","C4'","C5'","C6'","H1'","H2'","H3'","H4'","H5'","O7'","O8'","O9'"	C1',C2',C3',C4',C5',C6',O7',O8',O9'
/Volumes/GigiMurin/plip/sterol_lipids/BD1cle-A-A-CLL1/BD1cle-A-A-CLL1_protonated.pdb	CLL	47	47	0	0		
/Volumes/GigiMurin/plip/sterol_lipids/BD1coy-A-A-AND1/BD1coy-A-A-AND1_protonated.pdb	AND	21	21	0	0		
/Volumes/GigiMurin/plip/sterol_lipids/BD1cqs-A-A-EQU1/BD1cqs-A-A-EQU1_protonated.pdb	EQU	20	20	0	0		
/Volumes/GigiMurin/plip/sterol_lipids/BD1cqs-B-B-EQU1/BD1cqs-B-B-EQU1_protonated.pdb	EQU	20	20	0	0		
/Volumes/GigiMurin/plip/sterol_lipids/BD1d2s-A-A-DHT1/BD1d2s-A-A-DHT1_protonated.pdb	DHT	21	21	0	0		
/Volumes/GigiMurin/plip/sterol_lipids/BD1db1-A-A-VDX1/BD1db1-A-A-VDX1_protonated.pdb	VDX	30	30	0	0		
