group_1	group_2	U_statistic	p_value	n1	n2	p_adj_FDR_BH	significant_FDR_0.05
sterol	Polyketide	242.0	0.03416469563697101	4	74	0.08541173909242752	False
sterol	Prenol	69.0	0.18568986568986567	4	24	0.2652712366998081	False
sterol	Spingo lipid	0.0	0.13333333333333333	4	2	0.2652712366998081	False
sterol	Fatty Acyl	24.0	0.21414141414141416	4	8	0.2676767676767677	False
Polyketide	Prenol	627.0	0.03138909734939213	74	24	0.08541173909242752	False
Polyketide	Spingo lipid	3.0	0.02215089888495415	74	2	0.08541173909242752	False
Polyketide	Fatty Acyl	225.0	0.27056610209433574	74	8	0.3006290023270397	False
Prenol	Spingo lipid	1.0	0.012307692307692308	24	2	0.08541173909242752	False
Prenol	Fatty Acyl	94.0	0.9490214198111864	24	8	0.9490214198111864	False
Spingo lipid	Fatty Acyl	14.0	0.17777777777777778	2	8	0.2652712366998081	False
