class	acceptor_angle
sterol	131.6
sterol	129.92
sterol	118.32
sterol	128.66
Polyketide	99.82
Polyketide	102.18
Polyketide	106.44
Polyketide	147.96
Polyketide	146.5
Polyketide	123.3
Polyketide	114.8
Polyketide	140.12
Polyketide	111.22
Polyketide	137.38
Polyketide	134.56
Polyketide	133.63
Polyketide	132.35
Polyketide	113.44
Polyketide	91.69
Polyketide	92.92
Polyketide	90.57
Polyketide	90.28
Polyketide	93.14
Polyketide	121.37
Polyketide	124.83
Polyketide	118.09
Polyketide	122.59
Polyketide	118.29
Polyketide	91.47
Polyketide	93.65
Polyketide	90.35
Polyketide	104.37
Polyketide	95.91
Polyketide	108.3
Polyketide	100.74
Polyketide	102.56
Polyketide	102.22
Polyketide	100.12
Polyketide	99.38
Polyketide	99.74
Polyketide	103.88
Polyketide	100.94
Polyketide	98.25
Polyketide	96.08
Polyketide	101.72
Polyketide	102.09
Polyketide	100.95
Polyketide	104.47
Polyketide	104.06
Polyketide	101.5
Polyketide	102.48
Polyketide	100.12
Polyketide	102.81
Polyketide	108.01
Polyketide	104.91
Polyketide	101.77
Polyketide	111.22
Polyketide	99.62
Polyketide	100.92
Polyketide	102.8
Polyketide	105.1
Polyketide	93.79
Polyketide	117.51
Polyketide	125.93
Polyketide	103.83
Polyketide	129.11
Polyketide	105.1
Polyketide	102.88
Polyketide	94.05
Polyketide	136.91
Polyketide	129.59
Polyketide	120.2
Polyketide	105.67
Polyketide	139.74
Polyketide	145.38
Polyketide	101.03
Polyketide	90.7
Polyketide	140.36
Prenol	119.12
Prenol	106.48
Prenol	140.79
Prenol	90.43
Prenol	104.75
Prenol	95.92
Prenol	123.03
Prenol	97.25
Prenol	92.54
Prenol	122.97
Prenol	127.68
Prenol	104.54
Prenol	109.61
Prenol	107.82
Prenol	105.55
Prenol	122.3
Prenol	107.5
Prenol	109.78
Prenol	139.24
Prenol	142.64
Prenol	143.88
Prenol	142.9
Prenol	123.41
Prenol	120.39
Spingo lipid	148.49
Spingo lipid	143.16
Fatty Acyl	145.18
Fatty Acyl	108.37
Fatty Acyl	146.83
Fatty Acyl	109.41
Fatty Acyl	95.35
Fatty Acyl	112.14
Fatty Acyl	98.5
Fatty Acyl	116.24
