group_1	group_2	U_statistic	p_value	n1	n2	p_adj_FDR_BH	significant_FDR_0.05
sterol	Polyketide	81.0	0.13194845671852307	4	74	0.8785389394503416	False
sterol	Prenol	35.0	0.4268620268620269	4	24	0.8785389394503416	False
sterol	Spingo lipid	2.0	0.5333333333333333	4	2	0.8785389394503416	False
sterol	Fatty Acyl	9.0	0.2828282828282829	4	8	0.8785389394503416	False
Polyketide	Prenol	1040.5	0.20921071523300572	74	24	0.8785389394503416	False
Polyketide	Spingo lipid	90.0	0.614977257615239	74	2	0.8785389394503416	False
Polyketide	Fatty Acyl	311.0	0.8207333530921095	74	8	0.9600000000000002	False
Prenol	Spingo lipid	23.0	0.9600000000000002	24	2	0.9600000000000002	False
Prenol	Fatty Acyl	83.0	0.5934595894773871	24	8	0.8785389394503416	False
Spingo lipid	Fatty Acyl	7.0	0.888888888888889	2	8	0.9600000000000002	False
