class	donor_angle
sterol	136.26
sterol	138.33
sterol	154.83
sterol	150.14
Polyketide	150.59
Polyketide	150.1
Polyketide	143.51
Polyketide	136.1
Polyketide	135.51
Polyketide	163.44
Polyketide	136.59
Polyketide	137.16
Polyketide	169.56
Polyketide	144.76
Polyketide	168.71
Polyketide	172.3
Polyketide	174.2
Polyketide	142.92
Polyketide	177.85
Polyketide	140.1
Polyketide	143.48
Polyketide	137.31
Polyketide	143.14
Polyketide	158.48
Polyketide	158.13
Polyketide	161.81
Polyketide	158.06
Polyketide	163.78
Polyketide	137.73
Polyketide	137.14
Polyketide	141.25
Polyketide	148.87
Polyketide	146.16
Polyketide	138.5
Polyketide	152.26
Polyketide	155.42
Polyketide	158.11
Polyketide	155.01
Polyketide	151.56
Polyketide	156.0
Polyketide	145.96
Polyketide	152.28
Polyketide	140.13
Polyketide	157.33
Polyketide	154.5
Polyketide	158.34
Polyketide	154.6
Polyketide	159.27
Polyketide	153.62
Polyketide	160.01
Polyketide	156.8
Polyketide	153.95
Polyketide	155.37
Polyketide	153.62
Polyketide	151.92
Polyketide	153.33
Polyketide	142.79
Polyketide	164.48
Polyketide	161.04
Polyketide	160.98
Polyketide	159.18
Polyketide	172.11
Polyketide	148.41
Polyketide	156.37
Polyketide	150.06
Polyketide	146.93
Polyketide	166.19
Polyketide	175.43
Polyketide	144.64
Polyketide	156.02
Polyketide	169.64
Polyketide	163.54
Polyketide	161.58
Polyketide	146.49
Polyketide	140.6
Polyketide	137.16
Polyketide	141.71
Polyketide	149.39
Prenol	139.16
Prenol	135.22
Prenol	152.41
Prenol	138.05
Prenol	137.14
Prenol	143.43
Prenol	142.1
Prenol	149.79
Prenol	140.87
Prenol	138.68
Prenol	172.09
Prenol	140.29
Prenol	155.2
Prenol	165.43
Prenol	162.65
Prenol	146.79
Prenol	164.81
Prenol	151.42
Prenol	147.66
Prenol	136.34
Prenol	146.76
Prenol	162.23
Prenol	164.33
Prenol	159.88
Spingo lipid	155.6
Spingo lipid	142.07
Fatty Acyl	149.29
Fatty Acyl	146.74
Fatty Acyl	151.84
Fatty Acyl	164.71
Fatty Acyl	155.57
Fatty Acyl	150.78
Fatty Acyl	159.19
Fatty Acyl	137.07
