group_1	group_2	U_statistic	p_value	n1	n2	p_adj_FDR_BH	significant_FDR_0.05
sterol	Polyketide	194.5	0.29719543820955974	4	74	0.37149429776194964	False
sterol	Prenol	89.0	0.007829874625133614	4	24	0.019574686562834034	True
sterol	Spingo lipid	4.0	1.0	4	2	1.0	False
sterol	Fatty Acyl	32.0	0.00404040404040404	4	8	0.01346801346801347	True
Polyketide	Prenol	1456.5	2.6817715217555413e-06	74	24	2.6817715217555412e-05	True
Polyketide	Spingo lipid	51.0	0.4651340335362014	74	2	0.5168155928180016	False
Polyketide	Fatty Acyl	564.5	2.7959265199293902e-05	74	8	0.0001397963259964695	True
Prenol	Spingo lipid	4.5	0.06741440674381342	24	2	0.0963062953483049	False
Prenol	Fatty Acyl	142.0	0.04762740078134797	24	8	0.07937900130224662	False
Spingo lipid	Fatty Acyl	16.0	0.044444444444444446	2	8	0.07937900130224662	False
