class	halogenbond_dist
sterol	3.56
sterol	3.71
sterol	3.75
sterol	3.95
Polyketide	3.42
Polyketide	3.35
Polyketide	3.2
Polyketide	3.24
Polyketide	3.34
Polyketide	3.06
Polyketide	3.89
Polyketide	3.62
Polyketide	3.88
Polyketide	3.71
Polyketide	3.63
Polyketide	3.56
Polyketide	3.58
Polyketide	3.31
Polyketide	3.64
Polyketide	3.48
Polyketide	3.4
Polyketide	3.77
Polyketide	3.57
Polyketide	3.52
Polyketide	3.38
Polyketide	3.59
Polyketide	3.55
Polyketide	3.36
Polyketide	3.84
Polyketide	3.72
Polyketide	3.67
Polyketide	3.52
Polyketide	3.46
Polyketide	3.84
Polyketide	3.76
Polyketide	3.79
Polyketide	3.59
Polyketide	3.76
Polyketide	3.93
Polyketide	3.9
Polyketide	3.55
Polyketide	3.75
Polyketide	3.58
Polyketide	3.86
Polyketide	3.72
Polyketide	3.56
Polyketide	3.8
Polyketide	3.57
Polyketide	3.68
Polyketide	3.68
Polyketide	3.6
Polyketide	3.81
Polyketide	3.7
Polyketide	3.57
Polyketide	3.75
Polyketide	3.8
Polyketide	3.31
Polyketide	3.83
Polyketide	3.57
Polyketide	3.73
Polyketide	3.66
Polyketide	3.14
Polyketide	3.24
Polyketide	3.0
Polyketide	3.84
Polyketide	3.78
Polyketide	2.99
Polyketide	3.2
Polyketide	3.82
Polyketide	3.51
Polyketide	3.44
Polyketide	3.84
Polyketide	3.65
Polyketide	3.9
Polyketide	3.84
Polyketide	3.81
Polyketide	3.57
Polyketide	3.78
Prenol	3.74
Prenol	2.9
Prenol	3.24
Prenol	2.48
Prenol	2.24
Prenol	3.6
Prenol	3.1
Prenol	3.48
Prenol	3.4
Prenol	3.1
Prenol	3.15
Prenol	3.18
Prenol	3.82
Prenol	3.52
Prenol	3.57
Prenol	3.55
Prenol	3.2
Prenol	3.14
Prenol	2.87
Prenol	3.54
Prenol	2.94
Prenol	2.95
Prenol	3.34
Prenol	3.23
Spingo lipid	3.55
Spingo lipid	3.96
Fatty Acyl	3.08
Fatty Acyl	2.94
Fatty Acyl	3.4
Fatty Acyl	2.82
Fatty Acyl	3.33
Fatty Acyl	2.67
Fatty Acyl	2.84
Fatty Acyl	2.92
